id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ecard1-1,1,Simsala,100,Psycho,,Rang 2,Selten,Hajime Kusajima,"reverse, holo",Expedition,e-Card,165
ecard1-2,2,Ampharos,100,Elektro,,Rang 2,Selten,Atsuko Nishida,"reverse, holo",Expedition,e-Card,165
ecard1-3,3,Arbok,70,Pflanze,,Rang 1,Selten,Kyoko Umemoto,"reverse, holo",Expedition,e-Card,165
ecard1-4,4,Turtok,100,Wasser,,Rang 2,Selten,Kimiya Masago,"reverse, holo",Expedition,e-Card,165
ecard1-5,5,Smettbo,80,Pflanze,,Rang 2,Selten,Sumiyoshi Kizuki,"reverse, holo",Expedition,e-Card,165
ecard1-6,6,Glurak,120,Feuer,,Rang 2,Selten,Hiromichi Sugiyama,"reverse, holo",Expedition,e-Card,165
ecard1-7,7,Pixi,70,Farblos,,Rang 1,Selten,Kagemaru Himeno,"reverse, holo",Expedition,e-Card,165
ecard1-8,8,Austos,80,Wasser,,Rang 1,Selten,Kyoko Umemoto,"reverse, holo",Expedition,e-Card,165
ecard1-9,9,Dragoran,100,Farblos,,Rang 2,Selten,Kagemaru Himeno,"reverse, holo",Expedition,e-Card,165
ecard1-10,10,Digdri,70,Kampf,,Rang 1,Selten,Masako Yamashita,"reverse, holo",Expedition,e-Card,165
ecard1-11,11,Ibitak,70,Farblos,,Rang 1,Selten,Kyoko Umemoto,"reverse, holo",Expedition,e-Card,165
ecard1-12,12,Impergator,120,Wasser,,Rang 2,Selten,Mitsuhiro Arita,"reverse, holo",Expedition,e-Card,165
ecard1-13,13,Gengar,90,Psycho,,Rang 2,Selten,Yukiko Baba,"reverse, holo",Expedition,e-Card,165
ecard1-14,14,Geowaz,100,Kampf,,Rang 2,Selten,Aya Kusube,"reverse, holo",Expedition,e-Card,165
ecard1-15,15,Kingler,80,Wasser,,Rang 1,Selten,Shin-ichi Yoshida,"reverse, holo",Expedition,e-Card,165
ecard1-16,16,Machomei,120,Kampf,,Rang 2,Selten,Shin-ichi Yoshida,"reverse, holo",Expedition,e-Card,165
ecard1-17,17,Magby,30,Feuer,,Basis,Selten,Mitsuhiro Arita,"reverse, holo",Expedition,e-Card,165
ecard1-18,18,Meganie,100,Pflanze,,Rang 2,Selten,Hajime Kusajima,"reverse, holo",Expedition,e-Card,165
ecard1-19,19,Mew,50,Psycho,,Basis,Selten,Hajime Kusajima,"reverse, holo",Expedition,e-Card,165
ecard1-20,20,Mewtu,70,Psycho,,Basis,Selten,Kimiya Masago,"reverse, holo",Expedition,e-Card,165
ecard1-21,21,Vulnona,80,Feuer,,Rang 1,Selten,Atsuko Nishida,"reverse, holo",Expedition,e-Card,165
ecard1-22,22,Pichu,30,Elektro,,Basis,Selten,Atsuko Nishida,"reverse, holo",Expedition,e-Card,165
ecard1-23,23,Tauboss,80,Farblos,,Rang 2,Selten,Tomokazu Komiya,"reverse, holo",Expedition,e-Card,165
ecard1-24,24,Quappo,100,Wasser,,Rang 2,Selten,Yuka Morii,"reverse, holo",Expedition,e-Card,165
ecard1-25,25,Raichu,80,Elektro,,Rang 1,Selten,Atsuko Nishida,"reverse, holo",Expedition,e-Card,165
ecard1-26,26,Gallopa,70,Feuer,,Rang 1,Selten,Kagemaru Himeno,"reverse, holo",Expedition,e-Card,165
ecard1-27,27,Panzaeron,60,Metall,,Basis,Selten,Kimiya Masago,"reverse, holo",Expedition,e-Card,165
ecard1-28,28,Tornupto,100,Feuer,,Rang 2,Selten,K.  Hoshiba,"reverse, holo",Expedition,e-Card,165
ecard1-29,29,Despotar,120,Unlicht,,Rang 2,Selten,Kimiya Masago,"reverse, holo",Expedition,e-Card,165
ecard1-30,30,Bisaflor,100,Pflanze,,Rang 2,Selten,Shin-ichi Yoshida,"reverse, holo",Expedition,e-Card,165
ecard1-31,31,Giflor,90,Pflanze,,Rang 2,Selten,Miki Tanaka,"reverse, holo",Expedition,e-Card,165
ecard1-32,32,Smogmog,80,Pflanze,,Rang 1,Selten,Hajime Kusajima,"reverse, holo",Expedition,e-Card,165
ecard1-33,33,Simsala,100,Psycho,,Rang 2,Selten,Hajime Kusajima,"normal, reverse",Expedition,e-Card,165
ecard1-34,34,Ampharos,100,Elektro,,Rang 2,Selten,Atsuko Nishida,"normal, reverse",Expedition,e-Card,165
ecard1-35,35,Arbok,70,Pflanze,,Rang 1,Selten,Kyoko Umemoto,"normal, reverse",Expedition,e-Card,165
ecard1-36,36,Turtok,100,Wasser,,Rang 2,Selten,Hiromichi Sugiyama,"normal, reverse",Expedition,e-Card,165
ecard1-37,37,Turtok,100,Wasser,,Rang 2,Selten,Kimiya Masago,"normal, reverse",Expedition,e-Card,165
ecard1-38,38,Smettbo,80,Pflanze,,Rang 2,Selten,Sumiyoshi Kizuki,"normal, reverse",Expedition,e-Card,165
ecard1-39,39,Glurak,100,Feuer,,Rang 2,Selten,Atsuko Nishida,"normal, reverse",Expedition,e-Card,165
ecard1-40,40,Glurak,120,Feuer,,Rang 2,Selten,Hiromichi Sugiyama,"normal, reverse",Expedition,e-Card,165
ecard1-41,41,Pixi,70,Farblos,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",Expedition,e-Card,165
ecard1-42,42,Austos,80,Wasser,,Rang 1,Selten,Kyoko Umemoto,"normal, reverse",Expedition,e-Card,165
ecard1-43,43,Dragoran,100,Farblos,,Rang 2,Selten,Kagemaru Himeno,"normal, reverse",Expedition,e-Card,165
ecard1-44,44,Digdri,70,Kampf,,Rang 1,Selten,Masako Yamashita,"normal, reverse",Expedition,e-Card,165
ecard1-45,45,Ibitak,70,Farblos,,Rang 1,Selten,Kyoko Umemoto,"normal, reverse",Expedition,e-Card,165
ecard1-46,46,Impergator,100,Wasser,,Rang 2,Selten,Hiromichi Sugiyama,"normal, reverse",Expedition,e-Card,165
ecard1-47,47,Impergator,120,Wasser,,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse",Expedition,e-Card,165
ecard1-48,48,Gengar,90,Psycho,,Rang 2,Selten,Yukiko Baba,"normal, reverse",Expedition,e-Card,165
ecard1-49,49,Geowaz,100,Kampf,,Rang 2,Selten,Aya Kusube,"normal, reverse",Expedition,e-Card,165
ecard1-50,50,Kingler,80,Wasser,,Rang 1,Selten,Shin-ichi Yoshida,"normal, reverse",Expedition,e-Card,165
ecard1-51,51,Machomei,120,Kampf,,Rang 2,Selten,Shin-ichi Yoshida,"normal, reverse",Expedition,e-Card,165
ecard1-52,52,Magby,30,Feuer,,Basis,Selten,Mitsuhiro Arita,"normal, reverse",Expedition,e-Card,165
ecard1-53,53,Meganie,100,Pflanze,,Rang 2,Selten,Kagemaru Himeno,"normal, reverse",Expedition,e-Card,165
ecard1-54,54,Meganie,100,Pflanze,,Rang 2,Selten,Hajime Kusajima,"normal, reverse",Expedition,e-Card,165
ecard1-55,55,Mew,50,Psycho,,Basis,Selten,Hajime Kusajima,"normal, reverse",Expedition,e-Card,165
ecard1-56,56,Mewtu,70,Psycho,,Basis,Selten,Kimiya Masago,"normal, reverse",Expedition,e-Card,165
ecard1-57,57,Vulnona,80,Feuer,,Rang 1,Selten,Atsuko Nishida,"normal, reverse",Expedition,e-Card,165
ecard1-58,58,Pichu,30,Elektro,,Basis,Selten,Atsuko Nishida,"normal, reverse",Expedition,e-Card,165
ecard1-59,59,Tauboss,80,Farblos,,Rang 2,Selten,Tomokazu Komiya,"normal, reverse",Expedition,e-Card,165
ecard1-60,60,Quappo,100,Wasser,,Rang 2,Selten,Yuka Morii,"normal, reverse",Expedition,e-Card,165
ecard1-61,61,Raichu,80,Elektro,,Rang 1,Selten,Atsuko Nishida,"normal, reverse",Expedition,e-Card,165
ecard1-62,62,Gallopa,70,Feuer,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",Expedition,e-Card,165
ecard1-63,63,Panzaeron,60,Metall,,Basis,Selten,Kimiya Masago,"normal, reverse",Expedition,e-Card,165
ecard1-64,64,Tornupto,100,Feuer,,Rang 2,Selten,Hiroaki Ito,"normal, reverse",Expedition,e-Card,165
ecard1-65,65,Tornupto,100,Feuer,,Rang 2,Selten,K.  Hoshiba,"normal, reverse",Expedition,e-Card,165
ecard1-66,66,Despotar,120,Unlicht,,Rang 2,Selten,Kimiya Masago,"normal, reverse",Expedition,e-Card,165
ecard1-67,67,Bisaflor,100,Pflanze,,Rang 2,Selten,Atsuko Nishida,"normal, reverse",Expedition,e-Card,165
ecard1-68,68,Bisaflor,100,Pflanze,,Rang 2,Selten,Shin-ichi Yoshida,"normal, reverse",Expedition,e-Card,165
ecard1-69,69,Giflor,90,Pflanze,,Rang 2,Selten,Miki Tanaka,"normal, reverse",Expedition,e-Card,165
ecard1-70,70,Smogmog,80,Pflanze,,Rang 1,Selten,Hajime Kusajima,"normal, reverse",Expedition,e-Card,165
ecard1-71,71,Lorblatt,70,Pflanze,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse",Expedition,e-Card,165
ecard1-72,72,Chaneira,90,Farblos,,Basis,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse",Expedition,e-Card,165
ecard1-73,73,Glutexo,80,Feuer,,Rang 1,Ungewöhnlich,Tomokazu Komiya,"normal, reverse",Expedition,e-Card,165
ecard1-74,74,Tyracroc,80,Wasser,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse",Expedition,e-Card,165
ecard1-75,75,Dragonir,70,Farblos,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse",Expedition,e-Card,165
ecard1-76,76,Elektek,60,Elektro,,Basis,Ungewöhnlich,Hiroaki Ito,"normal, reverse",Expedition,e-Card,165
ecard1-77,77,Waaty,80,Elektro,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse",Expedition,e-Card,165
ecard1-78,78,Duflor,70,Pflanze,,Rang 1,Ungewöhnlich,Yuichi Sawayama,"normal, reverse",Expedition,e-Card,165
ecard1-79,79,Georok,80,Kampf,,Rang 1,Ungewöhnlich,Aya Kusube,"normal, reverse",Expedition,e-Card,165
ecard1-80,80,Alpollo,70,Psycho,,Rang 1,Ungewöhnlich,Yukiko Baba,"normal, reverse",Expedition,e-Card,165
ecard1-81,81,Kicklee,60,Kampf,,Basis,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Expedition,e-Card,165
ecard1-82,82,Bisaknosp,80,Pflanze,,Rang 1,Ungewöhnlich,Miki Tanaka,"normal, reverse",Expedition,e-Card,165
ecard1-83,83,Rossana,60,Wasser,,Basis,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse",Expedition,e-Card,165
ecard1-84,84,Kadabra,70,Psycho,,Rang 1,Ungewöhnlich,Hajime Kusajima,"normal, reverse",Expedition,e-Card,165
ecard1-85,85,Maschock,80,Kampf,,Rang 1,Ungewöhnlich,Shin-ichi Yoshida,"normal, reverse",Expedition,e-Card,165
ecard1-86,86,Magmar,60,Feuer,,Basis,Ungewöhnlich,Miki Tanaka,"normal, reverse",Expedition,e-Card,165
ecard1-87,87,Safcon,60,Pflanze,,Rang 1,Ungewöhnlich,Yuichi Sawayama,"normal, reverse",Expedition,e-Card,165
ecard1-88,88,Tauboga,90,Farblos,,Rang 1,Ungewöhnlich,Tomokazu Komiya,"normal, reverse",Expedition,e-Card,165
ecard1-89,89,Quaputzi,70,Wasser,,Rang 1,Ungewöhnlich,Yuka Morii,"normal, reverse",Expedition,e-Card,165
ecard1-90,90,Pupitar,70,Kampf,,Rang 1,Ungewöhnlich,Yukiko Baba,"normal, reverse",Expedition,e-Card,165
ecard1-91,91,Igelavar,70,Feuer,,Rang 1,Ungewöhnlich,Asuka Iwashita,"normal, reverse",Expedition,e-Card,165
ecard1-92,92,Schillok,80,Wasser,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Expedition,e-Card,165
ecard1-93,93,Abra,40,Psycho,,Basis,Häufig,Hajime Kusajima,"normal, reverse",Expedition,e-Card,165
ecard1-94,94,Bisasam,50,Pflanze,,Basis,Häufig,Sachi Matoba,"normal, reverse",Expedition,e-Card,165
ecard1-95,95,Bisasam,40,Pflanze,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Expedition,e-Card,165
ecard1-96,96,Raupy,40,Pflanze,,Basis,Häufig,Miki Tanaka,"normal, reverse",Expedition,e-Card,165
ecard1-97,97,Glumanda,50,Feuer,,Basis,Häufig,Masako Yamashita,"normal, reverse",Expedition,e-Card,165
ecard1-98,98,Glumanda,50,Feuer,,Basis,Häufig,Yuichi Sawayama,"normal, reverse",Expedition,e-Card,165
ecard1-99,99,Endivie,40,Pflanze,,Basis,Häufig,Miki Tanaka,"normal, reverse",Expedition,e-Card,165
ecard1-100,100,Endivie,50,Pflanze,,Basis,Häufig,Motofumi Fujiwara,"normal, reverse",Expedition,e-Card,165
ecard1-101,101,Piepi,50,Farblos,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Expedition,e-Card,165
ecard1-102,102,Corasonn,60,Wasser,,Basis,Häufig,Miki Tanaka,"normal, reverse",Expedition,e-Card,165
ecard1-103,103,Tragosso,40,Kampf,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Expedition,e-Card,165
ecard1-104,104,Feurigel,40,Feuer,,Basis,Häufig,Sachi Matoba,"normal, reverse",Expedition,e-Card,165
ecard1-105,105,Feurigel,50,Feuer,,Basis,Häufig,Kyoko Umemoto,"normal, reverse",Expedition,e-Card,165
ecard1-106,106,Digda,40,Kampf,,Basis,Häufig,Masako Yamashita,"normal, reverse",Expedition,e-Card,165
ecard1-107,107,Dratini,40,Farblos,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Expedition,e-Card,165
ecard1-108,108,Rettan,50,Pflanze,,Basis,Häufig,Kyoko Umemoto,"normal, reverse",Expedition,e-Card,165
ecard1-109,109,Nebulak,40,Psycho,,Basis,Häufig,Yukiko Baba,"normal, reverse",Expedition,e-Card,165
ecard1-110,110,Kleinstein,50,Kampf,,Basis,Häufig,Aya Kusube,"normal, reverse",Expedition,e-Card,165
ecard1-111,111,Goldini,50,Wasser,,Basis,Häufig,Masako Yamashita,"normal, reverse",Expedition,e-Card,165
ecard1-112,112,Hoppspross,40,Pflanze,,Basis,Häufig,Toshinao Aoki,"normal, reverse",Expedition,e-Card,165
ecard1-113,113,Hunduster,50,Unlicht,,Basis,Häufig,Mitsuhiro Arita,"normal, reverse",Expedition,e-Card,165
ecard1-114,114,Smogon,50,Pflanze,,Basis,Häufig,Hajime Kusajima,"normal, reverse",Expedition,e-Card,165
ecard1-115,115,Krabby,50,Wasser,,Basis,Häufig,Shin-ichi Yoshida,"normal, reverse",Expedition,e-Card,165
