id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy10-1,1,Shuckle,80,Grass,,Basic,Uncommon,sui,"normal, reverse, holo",Fates Collide,XY,129
xy10-2,2,Burmy,60,Grass,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Fates Collide,XY,129
xy10-3,3,Wormadam,120,Grass,Burmy,Stage1,Uncommon,kawayoo,"normal, reverse, holo",Fates Collide,XY,129
xy10-4,4,Mothim,90,Grass,Burmy,Stage1,Rare,MAHOU,"normal, reverse, holo",Fates Collide,XY,129
xy10-5,5,Snivy,60,Grass,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Fates Collide,XY,129
xy10-6,6,Servine,70,Grass,Snivy,Stage1,Uncommon,Sumiyoshi Kizuki,"normal, reverse, holo",Fates Collide,XY,129
xy10-7,7,Serperior,140,Grass,Servine,Stage2,Rare,You Iribi,"normal, reverse, holo",Fates Collide,XY,129
xy10-8,8,Deerling,60,Grass,,Basic,Common,Kanako Eo,"normal, reverse, holo",Fates Collide,XY,129
xy10-9,9,Moltres,120,Fire,,Basic,Rare,OOYAMA,"normal, reverse, holo",Fates Collide,XY,129
xy10-10,10,Fennekin,60,Fire,,Basic,Common,Akira Komayama,"normal, reverse, holo",Fates Collide,XY,129
xy10-11,11,Fennekin,50,Fire,,Basic,Common,kirisAki,"normal, reverse, holo",Fates Collide,XY,129
xy10-12,12,Braixen,80,Fire,Fennekin,Stage1,Uncommon,kirisAki,"normal, reverse, holo",Fates Collide,XY,129
xy10-13,13,Delphox,140,Fire,Braixen,Stage2,Rare,Kagemaru Himeno,"normal, reverse, holo",Fates Collide,XY,129
xy10-14,14,Delphox BREAK,180,Fire,Delphox,BREAK,Ultra Rare,5ban Graphics,"normal, reverse, holo",Fates Collide,XY,129
xy10-15,15,Seel,80,Water,,Basic,Common,Hasuno,"normal, reverse, holo",Fates Collide,XY,129
xy10-16,16,Dewgong,120,Water,Seel,Stage1,Uncommon,Naoyo Kimura,"normal, reverse, holo",Fates Collide,XY,129
xy10-17,17,Omanyte,80,Water,Helix Fossil Omanyte,RESTORED,Uncommon,Shigenori Negishi,"normal, reverse, holo",Fates Collide,XY,129
xy10-18,18,Omastar,120,Water,Omanyte,Stage1,Rare,Hasuno,"normal, reverse, holo",Fates Collide,XY,129
xy10-19,19,Omastar BREAK,140,Water,Omastar,BREAK,Ultra Rare,5ban Graphics,"normal, reverse, holo",Fates Collide,XY,129
xy10-20,20,Glaceon EX,170,Water,,Basic,Ultra Rare,Ayaka Yoshida,"normal, reverse, holo",Fates Collide,XY,129
xy10-21,21,White Kyurem,130,Water,,Basic,Rare,kawayoo,"normal, reverse, holo",Fates Collide,XY,129
xy10-22,22,Binacle,60,Water,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Fates Collide,XY,129
xy10-23,23,Barbaracle,100,Water,Binacle,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",Fates Collide,XY,129
xy10-24,24,Rotom,70,Lightning,,Basic,Rare,Tomokazu Komiya,"normal, reverse, holo",Fates Collide,XY,129
xy10-25,25,Alakazam EX,160,Psychic,,Basic,Ultra Rare,PLANETA,"normal, reverse, holo",Fates Collide,XY,129
xy10-26,26,M Alakazam EX,210,Psychic,Alakazam-EX,MEGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Fates Collide,XY,129
xy10-27,27,Koffing,60,Psychic,,Basic,Common,sui,"normal, reverse, holo",Fates Collide,XY,129
xy10-28,28,Weezing,110,Psychic,Koffing,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Fates Collide,XY,129
xy10-29,29,Mew,50,Psychic,,Basic,Rare,Mitsuhiro Arita,"normal, reverse, holo",Fates Collide,XY,129
xy10-30,30,Spoink,60,Psychic,,Basic,Common,TOKIYA,"normal, reverse, holo",Fates Collide,XY,129
xy10-31,31,Grumpig,100,Psychic,Spoink,Stage1,Rare,Sanosuke Sakuma,"normal, reverse, holo",Fates Collide,XY,129
xy10-32,32,Gothita,60,Psychic,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Fates Collide,XY,129
xy10-33,33,Solosis,30,Psychic,,Basic,Common,match,"normal, reverse, holo",Fates Collide,XY,129
xy10-34,34,Duosion,60,Psychic,Solosis,Stage1,Uncommon,Sumiyoshi Kizuki,"normal, reverse, holo",Fates Collide,XY,129
xy10-35,35,Reuniclus,90,Psychic,Duosion,Stage2,Rare,Yukiko Baba,"normal, reverse, holo",Fates Collide,XY,129
xy10-36,36,Diglett,40,Fighting,,Basic,Common,TOKIYA,"normal, reverse, holo",Fates Collide,XY,129
xy10-37,37,Marowak,100,Fighting,Cubone,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",Fates Collide,XY,129
xy10-38,38,Kabuto,80,Fighting,Dome Fossil Kabuto,RESTORED,Uncommon,MAHOU,"normal, reverse, holo",Fates Collide,XY,129
xy10-39,39,Kabutops,150,Fighting,Kabuto,Stage1,Rare,Kyoko Umemoto,"normal, reverse, holo",Fates Collide,XY,129
xy10-40,40,Larvitar,60,Fighting,,Basic,Common,Suwama Chiaki,"normal, reverse, holo",Fates Collide,XY,129
xy10-41,41,Larvitar,50,Fighting,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",Fates Collide,XY,129
