id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy10-1,1,Caratroc,80,Plante,,De base,Peu Commune,sui,"normal, reverse, holo",Impact des Destins,XY,129
xy10-2,2,Cheniti,60,Plante,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Impact des Destins,XY,129
xy10-3,3,Cheniselle,120,Plante,Cheniti,Niveau 1,Peu Commune,kawayoo,"normal, reverse, holo",Impact des Destins,XY,129
xy10-4,4,Papilord,90,Plante,Cheniti,Niveau 1,Rare,MAHOU,"normal, reverse, holo",Impact des Destins,XY,129
xy10-5,5,Vipélierre,60,Plante,,De base,Commune,Atsuko Nishida,"normal, reverse, holo",Impact des Destins,XY,129
xy10-6,6,Lianaja,70,Plante,Vipélierre,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Impact des Destins,XY,129
xy10-7,7,Majaspic,140,Plante,Lianaja,Niveau 2,Rare,You Iribi,"normal, reverse, holo",Impact des Destins,XY,129
xy10-8,8,Vivaldaim,60,Plante,,De base,Commune,Kanako Eo,"normal, reverse, holo",Impact des Destins,XY,129
xy10-9,9,Sulfura,120,Feu,,De base,Rare,OOYAMA,"normal, reverse, holo",Impact des Destins,XY,129
xy10-10,10,Feunnec,60,Feu,,De base,Commune,Akira Komayama,"normal, reverse, holo",Impact des Destins,XY,129
xy10-11,11,Feunnec,50,Feu,,De base,Commune,kirisAki,"normal, reverse, holo",Impact des Destins,XY,129
xy10-12,12,Roussil,80,Feu,Feunnec,Niveau 1,Peu Commune,kirisAki,"normal, reverse, holo",Impact des Destins,XY,129
xy10-13,13,Goupelin,140,Feu,Roussil,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse, holo",Impact des Destins,XY,129
xy10-14,14,Goupelin TURBO,180,Feu,Goupelin,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-15,15,Otaria,80,Eau,,De base,Commune,Hasuno,"normal, reverse, holo",Impact des Destins,XY,129
xy10-16,16,Lamantine,120,Eau,Otaria,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse, holo",Impact des Destins,XY,129
xy10-17,17,Amonita,80,Eau,Fossile Nautile Amonita,Restauré,Peu Commune,Shigenori Negishi,"normal, reverse, holo",Impact des Destins,XY,129
xy10-18,18,Amonistar,120,Eau,Amonita,Niveau 1,Rare,Hasuno,"normal, reverse, holo",Impact des Destins,XY,129
xy10-19,19,Amonistar TURBO,140,Eau,Amonistar,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-20,20,Givrali EX,170,Eau,,De base,Ultra Rare,Ayaka Yoshida,"normal, reverse, holo",Impact des Destins,XY,129
xy10-21,21,Kyurem Blanc,130,Eau,,De base,Rare,kawayoo,"normal, reverse, holo",Impact des Destins,XY,129
xy10-22,22,Opermine,60,Eau,,De base,Commune,Tomokazu Komiya,"normal, reverse, holo",Impact des Destins,XY,129
xy10-23,23,Golgopathe,100,Eau,Opermine,Niveau 1,Rare,Shin Nagasawa,"normal, reverse, holo",Impact des Destins,XY,129
xy10-24,24,Motisma,70,Électrique,,De base,Rare,Tomokazu Komiya,"normal, reverse, holo",Impact des Destins,XY,129
xy10-25,25,Alakazam EX,160,Psy,,De base,Ultra Rare,PLANETA,"normal, reverse, holo",Impact des Destins,XY,129
xy10-26,26,M-Alakazam EX,210,Psy,Alakazam-EX,MÉGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-27,27,Smogo,60,Psy,,De base,Commune,sui,"normal, reverse, holo",Impact des Destins,XY,129
xy10-28,28,Smogogo,110,Psy,Smogo,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse, holo",Impact des Destins,XY,129
xy10-29,29,Mew,50,Psy,,De base,Rare,Mitsuhiro Arita,"normal, reverse, holo",Impact des Destins,XY,129
xy10-30,30,Spoink,60,Psy,,De base,Commune,TOKIYA,"normal, reverse, holo",Impact des Destins,XY,129
xy10-31,31,Groret,100,Psy,Spoink,Niveau 1,Rare,Sanosuke Sakuma,"normal, reverse, holo",Impact des Destins,XY,129
xy10-32,32,Scrutella,60,Psy,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Impact des Destins,XY,129
xy10-33,33,Nucléos,30,Psy,,De base,Commune,match,"normal, reverse, holo",Impact des Destins,XY,129
xy10-34,34,Méios,60,Psy,Nucléos,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Impact des Destins,XY,129
xy10-35,35,Symbios,90,Psy,Méios,Niveau 2,Rare,Yukiko Baba,"normal, reverse, holo",Impact des Destins,XY,129
xy10-36,36,Taupiqueur,40,Combat,,De base,Commune,TOKIYA,"normal, reverse, holo",Impact des Destins,XY,129
xy10-37,37,Ossatueur,100,Combat,Osselait,Niveau 1,Rare,Shin Nagasawa,"normal, reverse, holo",Impact des Destins,XY,129
xy10-38,38,Kabuto,80,Combat,Fossile Dôme Kabuto,Restauré,Peu Commune,MAHOU,"normal, reverse, holo",Impact des Destins,XY,129
xy10-39,39,Kabutops,150,Combat,Kabuto,Niveau 1,Rare,Kyoko Umemoto,"normal, reverse, holo",Impact des Destins,XY,129
xy10-40,40,Embrylex,60,Combat,,De base,Commune,Suwama Chiaki,"normal, reverse, holo",Impact des Destins,XY,129
xy10-41,41,Embrylex,50,Combat,,De base,Commune,Masakazu Fukuda,"normal, reverse, holo",Impact des Destins,XY,129
xy10-42,42,Ymphect,80,Combat,Embrylex,Niveau 1,Peu Commune,match,"normal, reverse, holo",Impact des Destins,XY,129
xy10-43,43,Regirock EX,180,Combat,,De base,Ultra Rare,PLANETA,"normal, reverse, holo",Impact des Destins,XY,129
xy10-43a,43a,Regirock EX,180,Combat,,De base,Rare,PLANETA,"normal, reverse, holo",Impact des Destins,XY,129
xy10-44,44,Cheniselle,110,Combat,Cheniti,Niveau 1,Peu Commune,Hajime Kusajima,"normal, reverse, holo",Impact des Destins,XY,129
xy10-45,45,Riolu,70,Combat,,De base,Commune,You Iribi,"normal, reverse, holo",Impact des Destins,XY,129
xy10-46,46,Riolu,60,Combat,,De base,Commune,match,"normal, reverse, holo",Impact des Destins,XY,129
xy10-47,47,Lucario,110,Combat,Riolu,Niveau 1,Rare,Shin Nagasawa,"normal, reverse, holo",Impact des Destins,XY,129
xy10-48,48,Brutalibré,70,Combat,,De base,Peu Commune,Kouki Saitou,"normal, reverse, holo",Impact des Destins,XY,129
xy10-49,49,Strassie,80,Combat,,De base,Rare,Yuka Morii,"normal, reverse, holo",Impact des Destins,XY,129
xy10-50,50,Strassie,90,Combat,,De base,Commune,kawayoo,"normal, reverse, holo",Impact des Destins,XY,129
xy10-51,51,Strassie TURBO,110,Combat,Strassie,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-52,52,Zygarde,90,Combat,,De base,Peu Commune,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-53,53,Zygarde,120,Combat,,De base,Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-54,54,Zygarde EX,190,Combat,,De base,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-54a,54a,Zygarde EX,190,Combat,,De base,Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-55,55,Noctali EX,170,Obscurité,,De base,Ultra Rare,Ayaka Yoshida,"normal, reverse, holo",Impact des Destins,XY,129
xy10-56,56,Tyranocif,160,Obscurité,Ymphect,Niveau 2,Rare,Satoshi Shirai,"normal, reverse, holo",Impact des Destins,XY,129
xy10-57,57,Vostourno,60,Obscurité,,De base,Commune,Midori Harada,"normal, reverse, holo",Impact des Destins,XY,129
xy10-58,58,Vaututrice,110,Obscurité,Vostourno,Niveau 1,Rare,Masakazu Fukuda,"normal, reverse, holo",Impact des Destins,XY,129
xy10-59,59,Cheniselle,100,Métal,Cheniti,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse, holo",Impact des Destins,XY,129
xy10-60,60,Archéomire,60,Métal,,De base,Commune,Hajime Kusajima,"normal, reverse, holo",Impact des Destins,XY,129
xy10-61,61,Archéodong,100,Métal,Archéomire,Niveau 1,Rare,Naoki Saito,"normal, reverse, holo",Impact des Destins,XY,129
xy10-62,62,Archéodong TURBO,130,Métal,Archéodong,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-63,63,Lucario,110,Métal,Riolu,Niveau 1,Rare,Hitoshi Ariga,"normal, reverse, holo",Impact des Destins,XY,129
xy10-64,64,Genesect EX,180,Métal,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Impact des Destins,XY,129
xy10-65,65,Rondoudou,70,Fée,,De base,Commune,Midori Harada,"normal, reverse, holo",Impact des Destins,XY,129
xy10-66,66,Grodoudou,100,Fée,Rondoudou,Niveau 1,Peu Commune,Mizue,"normal, reverse, holo",Impact des Destins,XY,129
xy10-67,67,M. Mime,80,Fée,,De base,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Impact des Destins,XY,129
xy10-68,68,Snubbull,70,Fée,,De base,Commune,Aya Kusube,"normal, reverse, holo",Impact des Destins,XY,129
xy10-69,69,M-Altaria EX,220,Fée,Altaria-EX,MÉGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-70,70,Doudouvet,50,Fée,,De base,Commune,MAHOU,"normal, reverse, holo",Impact des Destins,XY,129
xy10-71,71,Farfaduvet,90,Fée,Doudouvet,Niveau 1,Peu Commune,sui,"normal, reverse, holo",Impact des Destins,XY,129
xy10-72,72,Diancie EX,150,Fée,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Impact des Destins,XY,129
xy10-73,73,Hyporoi EX,170,Dragon,,De base,Ultra Rare,hatachu,"normal, reverse, holo",Impact des Destins,XY,129
xy10-74,74,Miaouss,70,Incolore,,De base,Commune,Shigenori Negishi,"normal, reverse, holo",Impact des Destins,XY,129
xy10-75,75,Kangourex,120,Incolore,,De base,Peu Commune,Masakazu Fukuda,"normal, reverse, holo",Impact des Destins,XY,129
xy10-76,76,Ptéra,120,Incolore,Vieil Ambre Ptéra,Restauré,Rare,kawayoo,"normal, reverse, holo",Impact des Destins,XY,129
xy10-77,77,Ronflex,140,Incolore,,De base,Rare,Tomokazu Komiya,"normal, reverse, holo",Impact des Destins,XY,129
xy10-78,78,Lugia,120,Incolore,,De base,Rare,TOKIYA,"normal, reverse, holo",Impact des Destins,XY,129
xy10-79,79,Lugia TURBO,150,Incolore,Lugia,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
xy10-80,80,Chuchmur,60,Incolore,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Impact des Destins,XY,129
xy10-81,81,Ramboum,90,Incolore,Chuchmur,Niveau 1,Peu Commune,TOKIYA,"normal, reverse, holo",Impact des Destins,XY,129
xy10-82,82,Brouhabam,140,Incolore,Ramboum,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse, holo",Impact des Destins,XY,129
xy10-83,83,Altaria EX,170,Incolore,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Impact des Destins,XY,129
xy10-84,84,Nanméouïe EX,180,Incolore,,De base,Ultra Rare,Ayaka Yoshida,"normal, reverse, holo",Impact des Destins,XY,129
xy10-85,85,M-Nanméouïe EX,220,Incolore,Nanméouïe-EX,MÉGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Impact des Destins,XY,129
