id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex6-1,1,Bibor,90,Pflanze,,Rang 2,Selten,Hajime Kusajima,holo,EX Feuerrot & Blattgrün,EX,116
ex6-2,2,Smettbo,100,Pflanze,,Rang 2,Selten,Atsuko Nishida,holo,EX Feuerrot & Blattgrün,EX,116
ex6-3,3,Jugong,80,Wasser,,Rang 1,Selten,Toshinao Aoki,holo,EX Feuerrot & Blattgrün,EX,116
ex6-4,4,Ditto,60,Farblos,,Basis,Selten,MikiTanaka,holo,EX Feuerrot & Blattgrün,EX,116
ex6-5,5,Kokowei,80,Psycho,,Rang 1,Selten,Tomokazu Komiya,holo,EX Feuerrot & Blattgrün,EX,116
ex6-6,6,Kangama,80,Farblos,,Basis,Selten,Naoyo Kimura,holo,EX Feuerrot & Blattgrün,EX,116
ex6-7,7,Knogga,80,Kampf,,Rang 1,Selten,Aya Kusube,holo,EX Feuerrot & Blattgrün,EX,116
ex6-8,8,Nidoking,120,Kampf,,Rang 2,Selten,Hisao Nakamura,holo,EX Feuerrot & Blattgrün,EX,116
ex6-9,9,Nidoqueen,120,Kampf,,Rang 2,Selten,Naoyo Kimura,holo,EX Feuerrot & Blattgrün,EX,116
ex6-10,10,Tauboss,100,Farblos,,Rang 2,Selten,Midori Harada,holo,EX Feuerrot & Blattgrün,EX,116
ex6-11,11,Quappo,120,Wasser,,Rang 2,Selten,Ken Sugimori,holo,EX Feuerrot & Blattgrün,EX,116
ex6-12,12,Raichu,80,Elektro,,Rang 1,Selten,Midori Harada,holo,EX Feuerrot & Blattgrün,EX,116
ex6-13,13,Gallopa,80,Feuer,,Rang 1,Selten,Ken Sugimori,holo,EX Feuerrot & Blattgrün,EX,116
ex6-14,14,Lahmus,60,Psycho,,Rang 1,Selten,Yuka Morii,holo,EX Feuerrot & Blattgrün,EX,116
ex6-15,15,Relaxo,90,Farblos,,Basis,Selten,Kagemaru Himeno,holo,EX Feuerrot & Blattgrün,EX,116
ex6-16,16,Tauros,70,Farblos,,Basis,Selten,Masakazu Fukuda,holo,EX Feuerrot & Blattgrün,EX,116
ex6-17,17,Sarzenia,110,Pflanze,,Rang 2,Selten,Tomokazu Komiya,holo,EX Feuerrot & Blattgrün,EX,116
ex6-18,18,Arkani,90,Feuer,,Rang 1,Selten,Ken Sugimori,"normal, holo",EX Feuerrot & Blattgrün,EX,116
ex6-19,19,Chaneira,90,Farblos,,Basis,Selten,Miki Tanaka,"normal, holo",EX Feuerrot & Blattgrün,EX,116
ex6-20,20,Austos,70,Wasser,,Rang 1,Selten,Aya Kusube,"normal, holo",EX Feuerrot & Blattgrün,EX,116
