id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex6-1,1,Beedrill,90,Grass,Kakuna,Stage2,Rare,Hajime Kusajima,holo,FireRed & LeafGreen,EX,116
ex6-2,2,Butterfree,100,Grass,Metapod,Stage2,Rare,Atsuko Nishida,holo,FireRed & LeafGreen,EX,116
ex6-3,3,Dewgong,80,Water,Seel,Stage1,Rare,Toshinao Aoki,holo,FireRed & LeafGreen,EX,116
ex6-4,4,Ditto,60,Colorless,,Basic,Rare,MikiTanaka,holo,FireRed & LeafGreen,EX,116
ex6-5,5,Exeggutor,80,Psychic,Exeggcute,Stage1,Rare,Tomokazu Komiya,holo,FireRed & LeafGreen,EX,116
ex6-6,6,Kangaskhan,80,Colorless,,Basic,Rare,Naoyo Kimura,holo,FireRed & LeafGreen,EX,116
ex6-7,7,Marowak,80,Fighting,Cubone,Stage1,Rare,Aya Kusube,holo,FireRed & LeafGreen,EX,116
ex6-8,8,Nidoking,120,Fighting,Nidorino,Stage2,Rare,Hisao Nakamura,holo,FireRed & LeafGreen,EX,116
ex6-9,9,Nidoqueen,120,Fighting,Nidorina,Stage2,Rare,Naoyo Kimura,holo,FireRed & LeafGreen,EX,116
ex6-10,10,Pidgeot,100,Colorless,Pidgeotto,Stage2,Rare,Midori Harada,holo,FireRed & LeafGreen,EX,116
ex6-11,11,Poliwrath,120,Water,Poliwhirl,Stage2,Rare,Ken Sugimori,holo,FireRed & LeafGreen,EX,116
ex6-12,12,Raichu,80,Lightning,Pikachu,Stage1,Rare,Midori Harada,holo,FireRed & LeafGreen,EX,116
ex6-13,13,Rapidash,80,Fire,Ponyta,Stage1,Rare,Ken Sugimori,holo,FireRed & LeafGreen,EX,116
ex6-14,14,Slowbro,60,Psychic,Slowpoke,Stage1,Rare,Yuka Morii,holo,FireRed & LeafGreen,EX,116
ex6-15,15,Snorlax,90,Colorless,,Basic,Rare,Kagemaru Himeno,holo,FireRed & LeafGreen,EX,116
ex6-16,16,Tauros,70,Colorless,,Basic,Rare,Masakazu Fukuda,holo,FireRed & LeafGreen,EX,116
ex6-17,17,Victreebel,110,Grass,Weepinbell,Stage2,Rare,Tomokazu Komiya,holo,FireRed & LeafGreen,EX,116
ex6-18,18,Arcanine,90,Fire,Growlithe,Stage1,Rare,Ken Sugimori,"normal, holo",FireRed & LeafGreen,EX,116
ex6-19,19,Chansey,90,Colorless,,Basic,Rare,Miki Tanaka,"normal, holo",FireRed & LeafGreen,EX,116
ex6-20,20,Cloyster,70,Water,Shellder,Stage1,Rare,Aya Kusube,"normal, holo",FireRed & LeafGreen,EX,116
ex6-21,21,Dodrio,70,Colorless,Doduo,Stage1,Rare,Kagemaru Himeno,"normal, holo",FireRed & LeafGreen,EX,116
ex6-22,22,Dugtrio,80,Fighting,Diglett,Stage1,Rare,Hajime Kusajima,"normal, holo",FireRed & LeafGreen,EX,116
ex6-23,23,Farfetch'd,70,Colorless,,Basic,Rare,Yukiko Baba,"normal, holo",FireRed & LeafGreen,EX,116
ex6-24,24,Fearow,80,Colorless,Spearow,Stage1,Rare,Hisao Nakamura,"normal, holo",FireRed & LeafGreen,EX,116
ex6-25,25,Hypno,80,Psychic,Drowsee,Stage1,Rare,Yukiko Baba,"normal, holo",FireRed & LeafGreen,EX,116
ex6-26,26,Kingler,80,Water,Krabby,Stage1,Rare,Kouki Saitou,"normal, holo",FireRed & LeafGreen,EX,116
ex6-27,27,Magneton,80,Lightning,Magnemite,Stage1,Rare,Ken Sugimori,"normal, holo",FireRed & LeafGreen,EX,116
ex6-28,28,Primeape,70,Fighting,Mankey,Stage1,Rare,Miki Tanaka,"normal, holo",FireRed & LeafGreen,EX,116
ex6-29,29,Scyther,60,Grass,,Basic,Rare,Kouki Saitou,"normal, holo",FireRed & LeafGreen,EX,116
ex6-30,30,Tangela,60,Grass,,Basic,Rare,Yuka Morii,"normal, holo",FireRed & LeafGreen,EX,116
