id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy2-1,1,Raupy,40,Pflanze,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse, holo",Flammenmeer,XY,110
xy2-2,2,Safcon,70,Pflanze,Raupy,Rang 1,Ungewöhnlich,kawayoo,"normal, reverse, holo",Flammenmeer,XY,110
xy2-3,3,Smettbo,130,Pflanze,Safcon,Rang 2,Selten,sui,"normal, reverse, holo",Flammenmeer,XY,110
xy2-4,4,Tannza,60,Pflanze,,Basis,Häufig,Suwama Chiaki,"normal, reverse, holo",Flammenmeer,XY,110
xy2-5,5,Samurzel,50,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Flammenmeer,XY,110
xy2-6,6,Blanas,80,Pflanze,Samurzel,Rang 1,Ungewöhnlich,Midori Harada,"normal, reverse, holo",Flammenmeer,XY,110
xy2-7,7,Tengulist,140,Pflanze,Blanas,Rang 2,Selten,Kouki Saitou,"normal, reverse, holo",Flammenmeer,XY,110
xy2-8,8,Roselia,60,Pflanze,,Basis,Häufig,kirisAki,"normal, reverse, holo",Flammenmeer,XY,110
xy2-9,9,Roserade,90,Pflanze,Roselia,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Flammenmeer,XY,110
xy2-10,10,Maracamba,90,Pflanze,,Basis,Ungewöhnlich,match,"normal, reverse, holo",Flammenmeer,XY,110
xy2-11,11,Glurak EX,180,Feuer,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Flammenmeer,XY,110
xy2-12,12,Glurak EX,180,Feuer,,Basis,Ultra Selten,PLANETA,"normal, reverse, holo",Flammenmeer,XY,110
xy2-13,13,M-Glurak EX,220,Feuer,Glurak-EX,MEGA,Ultra Selten,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-14,14,Ponita,60,Feuer,,Basis,Häufig,Tomokazu Komiya,"normal, reverse, holo",Flammenmeer,XY,110
xy2-15,15,Gallopa,90,Feuer,Ponita,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse, holo",Flammenmeer,XY,110
xy2-16,16,Qurtel,100,Feuer,,Basis,Ungewöhnlich,Akira Komayama,"normal, reverse, holo",Flammenmeer,XY,110
xy2-17,17,Dartignis,80,Feuer,Dartiri,Rang 1,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-18,18,Leufeo,70,Feuer,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-19,19,Leufeo,60,Feuer,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-20,20,Pyroleo,110,Feuer,Leufeo,Rang 1,Selten,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-21,21,Baldorfish,80,Wasser,,Basis,Selten,Kouki Saitou,"normal, reverse, holo",Flammenmeer,XY,110
xy2-22,22,Barschwa,30,Wasser,,Basis,Häufig,Shigenori Negishi,"normal, reverse, holo",Flammenmeer,XY,110
xy2-23,23,Milotic,100,Wasser,Barschwa,Rang 1,Selten,Shin Nagasawa,"normal, reverse, holo",Flammenmeer,XY,110
xy2-24,24,Seemops,70,Wasser,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Flammenmeer,XY,110
xy2-25,25,Seejong,90,Wasser,Seemops,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse, holo",Flammenmeer,XY,110
xy2-26,26,Walraisa,150,Wasser,Seejong,Rang 2,Selten,Naoki Saito,"normal, reverse, holo",Flammenmeer,XY,110
xy2-27,27,Liebiskus,60,Wasser,,Basis,Ungewöhnlich,Atsuko Nishida,"normal, reverse, holo",Flammenmeer,XY,110
xy2-28,28,Bamelin,60,Wasser,,Basis,Häufig,sui,"normal, reverse, holo",Flammenmeer,XY,110
xy2-29,29,Bojelin,90,Wasser,Bamelin,Rang 1,Selten,Kanako Eo,"normal, reverse, holo",Flammenmeer,XY,110
xy2-30,30,Arktip,70,Wasser,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-31,31,Arktilas,130,Wasser,Arktip,Rang 1,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-32,32,Sheinux,60,Elektro,,Basis,Häufig,Sanosuke Sakuma,"normal, reverse, holo",Flammenmeer,XY,110
xy2-33,33,Luxio,80,Elektro,Sheinux,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse, holo",Flammenmeer,XY,110
xy2-34,34,Luxtra,140,Elektro,Luxio,Rang 2,Selten,Hitoshi Ariga,"normal, reverse, holo",Flammenmeer,XY,110
xy2-35,35,Magnezone EX,180,Elektro,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Flammenmeer,XY,110
xy2-36,36,Eguana,60,Elektro,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-37,37,Elezard,90,Elektro,Eguana,Rang 1,Selten,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-38,38,Zwirrlicht,50,Psycho,,Basis,Häufig,match,"normal, reverse, holo",Flammenmeer,XY,110
xy2-39,39,Zwirrklop,80,Psycho,Zwirrlicht,Rang 1,Ungewöhnlich,MAHOU,"normal, reverse, holo",Flammenmeer,XY,110
xy2-40,40,Zwirrfinst,130,Psycho,Zwirrklop,Rang 2,Selten,Suwama Chiaki,"normal, reverse, holo",Flammenmeer,XY,110
xy2-41,41,Toxiquak EX,170,Psycho,,Basis,Ultra Selten,PLANETA,"normal, reverse, holo",Flammenmeer,XY,110
xy2-42,42,Psiau,60,Psycho,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-43,43,Psiaugon,90,Psycho,Psiau,Rang 1,Selten,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-44,44,Algitt,50,Psycho,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-45,45,Kleinstein,60,Kampf,,Basis,Häufig,MAHOU,"normal, reverse, holo",Flammenmeer,XY,110
xy2-46,46,Georok,100,Kampf,Kleinstein,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse, holo",Flammenmeer,XY,110
xy2-47,47,Geowaz,150,Kampf,Georok,Rang 2,Selten,Sumiyoshi Kizuki,"normal, reverse, holo",Flammenmeer,XY,110
xy2-48,48,Bithora,70,Kampf,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
xy2-49,49,Thanathora,110,Kampf,Bithora,Rang 1,Selten,5ban Graphics,"normal, reverse, holo",Flammenmeer,XY,110
