id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy2-1,1,Caterpie,40,Grass,,Basic,Common,Sumiyoshi Kizuki,"normal, reverse, holo",Flashfire,XY,110
xy2-2,2,Metapod,70,Grass,Caterpie,Stage1,Uncommon,kawayoo,"normal, reverse, holo",Flashfire,XY,110
xy2-3,3,Butterfree,130,Grass,Metapod,Stage2,Rare,sui,"normal, reverse, holo",Flashfire,XY,110
xy2-4,4,Pineco,60,Grass,,Basic,Common,Suwama Chiaki,"normal, reverse, holo",Flashfire,XY,110
xy2-5,5,Seedot,50,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Flashfire,XY,110
xy2-6,6,Nuzleaf,80,Grass,Seedot,Stage1,Uncommon,Midori Harada,"normal, reverse, holo",Flashfire,XY,110
xy2-7,7,Shiftry,140,Grass,Nuzleaf,Stage2,Rare,Kouki Saitou,"normal, reverse, holo",Flashfire,XY,110
xy2-8,8,Roselia,60,Grass,,Basic,Common,kirisAki,"normal, reverse, holo",Flashfire,XY,110
xy2-9,9,Roserade,90,Grass,Roselia,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Flashfire,XY,110
xy2-10,10,Maractus,90,Grass,,Basic,Uncommon,match,"normal, reverse, holo",Flashfire,XY,110
xy2-11,11,Charizard EX,180,Fire,,Basic,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Flashfire,XY,110
xy2-12,12,Charizard EX,180,Fire,,Basic,Ultra Rare,PLANETA,"normal, reverse, holo",Flashfire,XY,110
xy2-13,13,M Charizard EX,220,Fire,Charizard-EX,MEGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-14,14,Ponyta,60,Fire,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Flashfire,XY,110
xy2-15,15,Rapidash,90,Fire,Ponyta,Stage1,Uncommon,Akira Komayama,"normal, reverse, holo",Flashfire,XY,110
xy2-16,16,Torkoal,100,Fire,,Basic,Uncommon,Akira Komayama,"normal, reverse, holo",Flashfire,XY,110
xy2-17,17,Fletchinder,80,Fire,Fletchling,Stage1,Uncommon,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-18,18,Litleo,70,Fire,,Basic,Common,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-19,19,Litleo,60,Fire,,Basic,Common,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-20,20,Pyroar,110,Fire,Litleo,Stage1,Rare,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-21,21,Qwilfish,80,Water,,Basic,Rare,Kouki Saitou,"normal, reverse, holo",Flashfire,XY,110
xy2-22,22,Feebas,30,Water,,Basic,Common,Shigenori Negishi,"normal, reverse, holo",Flashfire,XY,110
xy2-23,23,Milotic,100,Water,Feebas,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",Flashfire,XY,110
xy2-24,24,Spheal,70,Water,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Flashfire,XY,110
xy2-25,25,Sealeo,90,Water,Spheal,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse, holo",Flashfire,XY,110
xy2-26,26,Walrein,150,Water,Sealeo,Stage2,Rare,Naoki Saito,"normal, reverse, holo",Flashfire,XY,110
xy2-27,27,Luvdisc,60,Water,,Basic,Uncommon,Atsuko Nishida,"normal, reverse, holo",Flashfire,XY,110
xy2-28,28,Buizel,60,Water,,Basic,Common,sui,"normal, reverse, holo",Flashfire,XY,110
xy2-29,29,Floatzel,90,Water,Buizel,Stage1,Rare,Kanako Eo,"normal, reverse, holo",Flashfire,XY,110
xy2-30,30,Bergmite,70,Water,,Basic,Common,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-31,31,Avalugg,130,Water,Bergmite,Stage1,Uncommon,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-32,32,Shinx,60,Lightning,,Basic,Common,Sanosuke Sakuma,"normal, reverse, holo",Flashfire,XY,110
xy2-33,33,Luxio,80,Lightning,Shinx,Stage1,Uncommon,Akira Komayama,"normal, reverse, holo",Flashfire,XY,110
xy2-34,34,Luxray,140,Lightning,Luxio,Stage2,Rare,Hitoshi Ariga,"normal, reverse, holo",Flashfire,XY,110
xy2-35,35,Magnezone EX,180,Lightning,,Basic,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Flashfire,XY,110
xy2-36,36,Helioptile,60,Lightning,,Basic,Common,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-37,37,Heliolisk,90,Lightning,Helioptile,Stage1,Rare,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-38,38,Duskull,50,Psychic,,Basic,Common,match,"normal, reverse, holo",Flashfire,XY,110
xy2-39,39,Dusclops,80,Psychic,Duskull,Stage1,Uncommon,MAHOU,"normal, reverse, holo",Flashfire,XY,110
xy2-40,40,Dusknoir,130,Psychic,Dusclops,Stage2,Rare,Suwama Chiaki,"normal, reverse, holo",Flashfire,XY,110
xy2-41,41,Toxicroak EX,170,Psychic,,Basic,Ultra Rare,PLANETA,"normal, reverse, holo",Flashfire,XY,110
xy2-42,42,Espurr,60,Psychic,,Basic,Common,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-43,43,Meowstic,90,Psychic,Espurr,Stage1,Rare,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-44,44,Skrelp,50,Psychic,,Basic,Common,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-45,45,Geodude,60,Fighting,,Basic,Common,MAHOU,"normal, reverse, holo",Flashfire,XY,110
xy2-46,46,Graveler,100,Fighting,Geodude,Stage1,Uncommon,Naoyo Kimura,"normal, reverse, holo",Flashfire,XY,110
xy2-47,47,Golem,150,Fighting,Graveler,Stage2,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Flashfire,XY,110
xy2-48,48,Binacle,70,Fighting,,Basic,Common,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
xy2-49,49,Barbaracle,110,Fighting,Binacle,Stage1,Rare,5ban Graphics,"normal, reverse, holo",Flashfire,XY,110
