id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy3-1,1,Knofensa,50,Pflanze,,Basis,Häufig,Kanako Eo,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-2,2,Ultrigaria,80,Pflanze,Knofensa,Rang 1,Ungewöhnlich,Mizue,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-3,3,Sarzenia,130,Pflanze,Ultrigaria,Rang 2,Selten,Sanosuke Sakuma,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-4,4,Skaraborn EX,170,Pflanze,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-5,5,M Skaraborn EX,220,Pflanze,Skaraborn-EX,MEGA,Ultra Selten,5ban Graphics,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-6,6,Knilz,60,Pflanze,,Basis,Häufig,Kyoko Umemoto,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-7,7,Folipurba,90,Pflanze,Evoli,Rang 1,Selten,Naoyo Kimura,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-8,8,Schnuthelm,60,Pflanze,,Basis,Häufig,sui,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-9,9,Hydragil,90,Pflanze,Schnuthelm,Rang 1,Ungewöhnlich,Shin Nagasawa,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-10,10,Magmar,80,Feuer,,Basis,Häufig,MAHOU,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-11,11,Magbrant,120,Feuer,Magmar,Rang 1,Selten,PLANETA,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-12,12,Flemmli,60,Feuer,,Basis,Häufig,Sanosuke Sakuma,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-13,13,Jungglut,80,Feuer,Flemmli,Rang 1,Ungewöhnlich,Shin Nagasawa,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-14,14,Lohgock,140,Feuer,Jungglut,Rang 2,Selten,PLANETA,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-15,15,Quapsel,60,Wasser,,Basis,Häufig,MAHOU,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-16,16,Quaputzi,80,Wasser,Quapsel,Rang 1,Ungewöhnlich,Kanako Eo,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-17,17,Quappo,140,Wasser,Quaputzi,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-18,18,Quaxo,130,Wasser,Quaputzi,Rang 2,Selten,Atsuko Nishida,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-19,19,Glaziola,90,Wasser,Evoli,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-20,20,Branawarz EX,180,Wasser,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-21,21,Petznief,70,Wasser,,Basis,Häufig,kirisAki,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-22,22,Siberio,130,Wasser,Petznief,Rang 1,Selten,PLANETA,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-23,23,Scampisto,60,Wasser,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-24,24,Wummer,100,Wasser,Scampisto,Rang 1,Selten,5ban Graphics,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-25,25,Amarino,90,Wasser,Flossenfossil,Erweckt,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-26,26,Amagarga,130,Wasser,Amarino,Rang 1,Selten,5ban Graphics,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-27,27,Pikachu,60,Elektro,,Basis,Häufig,Sanosuke Sakuma,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-28,28,Raichu,90,Elektro,Pikachu,Rang 1,Ungewöhnlich,Sanosuke Sakuma,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-29,29,Elektek,80,Elektro,,Basis,Häufig,Naoki Saito,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-30,30,Elevoltek,120,Elektro,Elektek,Rang 1,Selten,PLANETA,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-31,31,Plusle,70,Elektro,,Basis,Häufig,Akira Komayama,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-32,32,Minun,70,Elektro,,Basis,Häufig,Akira Komayama,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-33,33,Voltolos,120,Elektro,,Basis,Selten,Hajime Kusajima,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-34,34,Dedenne,70,Elektro,,Basis,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-35,35,Traumato,70,Psycho,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-36,36,Hypno,90,Psycho,Traumato,Rang 1,Selten,Shigenori Negishi,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-37,37,Rossana,70,Psycho,,Basis,Selten,Naoki Saito,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-38,38,Pionskora,70,Psycho,,Basis,Häufig,Naoki Saito,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-39,39,Mollimorba,50,Psycho,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-40,40,Hypnomorba,80,Psycho,Mollimorba,Rang 1,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-41,41,Morbitesse,130,Psycho,Hypnomorba,Rang 2,Selten,kirisAki,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-42,42,Golbit,90,Psycho,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-43,43,Golgantes,130,Psycho,Golbit,Rang 1,Selten,PLANETA,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-44,44,Machollo,70,Kampf,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-45,45,Maschock,90,Kampf,Machollo,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-46,46,Machomei,150,Kampf,Maschock,Rang 2,Selten,PLANETA,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-47,47,Kicklee,90,Kampf,,Basis,Ungewöhnlich,Hitoshi Ariga,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-48,48,Nockchan,90,Kampf,,Basis,Ungewöhnlich,match,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-49,49,Kapoera,90,Kampf,,Basis,Ungewöhnlich,kawayoo,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-50,50,Kapilz,100,Kampf,Knilz,Rang 1,Selten,Hitoshi Ariga,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-51,51,Makuhita,80,Kampf,,Basis,Häufig,Masakazu Fukuda,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-52,52,Hariyama,120,Kampf,Makuhita,Rang 1,Selten,TOKIYA,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-53,53,Knacklion,60,Kampf,,Basis,Häufig,Mizue,"normal, reverse, holo",Fliegende Fäuste,XY,114
xy3-54,54,Lucario EX,180,Kampf,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Fliegende Fäuste,XY,114
