id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy3-1,1,Chétiflor,50,Plante,,De base,Commune,Kanako Eo,"normal, reverse, holo",Poings Furieux,XY,114
xy3-2,2,Boustiflor,80,Plante,Chétiflor,Niveau 1,Peu Commune,Mizue,"normal, reverse, holo",Poings Furieux,XY,114
xy3-3,3,Empiflor,130,Plante,Boustiflor,Niveau 2,Rare,Sanosuke Sakuma,"normal, reverse, holo",Poings Furieux,XY,114
xy3-4,4,Scarhino EX,170,Plante,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Poings Furieux,XY,114
xy3-5,5,M-Scarhino EX,220,Plante,Scarhino-EX,MÉGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Poings Furieux,XY,114
xy3-6,6,Balignon,60,Plante,,De base,Commune,Kyoko Umemoto,"normal, reverse, holo",Poings Furieux,XY,114
xy3-7,7,Phyllali,90,Plante,Évoli,Niveau 1,Rare,Naoyo Kimura,"normal, reverse, holo",Poings Furieux,XY,114
xy3-8,8,Escargaume,60,Plante,,De base,Commune,sui,"normal, reverse, holo",Poings Furieux,XY,114
xy3-9,9,Limaspeed,90,Plante,Escargaume,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse, holo",Poings Furieux,XY,114
xy3-10,10,Magmar,80,Feu,,De base,Commune,MAHOU,"normal, reverse, holo",Poings Furieux,XY,114
xy3-11,11,Maganon,120,Feu,Magmar,Niveau 1,Rare,PLANETA,"normal, reverse, holo",Poings Furieux,XY,114
xy3-12,12,Poussifeu,60,Feu,,De base,Commune,Sanosuke Sakuma,"normal, reverse, holo",Poings Furieux,XY,114
xy3-13,13,Galifeu,80,Feu,Poussifeu,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse, holo",Poings Furieux,XY,114
xy3-14,14,Braségali,140,Feu,Galifeu,Niveau 2,Rare,PLANETA,"normal, reverse, holo",Poings Furieux,XY,114
xy3-15,15,Ptitard,60,Eau,,De base,Commune,MAHOU,"normal, reverse, holo",Poings Furieux,XY,114
xy3-16,16,Têtarte,80,Eau,Ptitard,Niveau 1,Peu Commune,Kanako Eo,"normal, reverse, holo",Poings Furieux,XY,114
xy3-17,17,Tartard,140,Eau,Têtarte,Niveau 2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Poings Furieux,XY,114
xy3-18,18,Tarpaud,130,Eau,Têtarte,Niveau 2,Rare,Atsuko Nishida,"normal, reverse, holo",Poings Furieux,XY,114
xy3-19,19,Givrali,90,Eau,Évoli,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse, holo",Poings Furieux,XY,114
