id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh8-1,1,Raupy,50,Pflanze,,Basis,Häufig,Mitsuhiro Arita,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-2,2,Safcon,80,Pflanze,Raupy,Rang 1,Ungewöhnlich,Saya Tsuruta,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-3,3,Smettbo,120,Pflanze,Safcon,Rang 2,Holografisch Selten,ryoma uratsuka,"reverse, holo",Fusions Angriff,Schwert & Schild,284
swsh8-4,4,Knilz,60,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-5,5,Kapilz,120,Pflanze,Knilz,Rang 1,Ungewöhnlich,Yukiko Baba,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-6,6,Kapilz V,210,Pflanze,,Basis,Holografisch Selten V,PLANETA Mochizuki,holo,Fusions Angriff,Schwert & Schild,284
swsh8-7,7,Vegimak,60,Pflanze,,Basis,Häufig,Nagomi Nijo,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-8,8,Vegichita,100,Pflanze,Vegimak,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-9,9,Strawickl,50,Pflanze,,Basis,Häufig,Akira Komayama,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-10,10,Folikon,80,Pflanze,Strawickl,Rang 1,Ungewöhnlich,0313,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-11,11,Matrifol,130,Pflanze,Folikon,Rang 2,Selten,kodama,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-12,12,Maracamba,110,Pflanze,,Basis,Selten,0313,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-13,13,Schnuthelm,70,Pflanze,,Basis,Häufig,Shibuzoh.,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-14,14,Hydragil,90,Pflanze,Schnuthelm,Rang 1,Selten,nagimiso,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-15,15,Viridium,110,Pflanze,,Basis,Selten,Kagemaru Himeno,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-16,16,Paragoni,60,Pflanze,,Basis,Häufig,OKACHEKE,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-17,17,Trombork,120,Pflanze,Paragoni,Rang 1,Ungewöhnlich,Narumi Sato,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-18,18,Mabula,70,Pflanze,,Basis,Häufig,Asako Ito,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-19,19,Araqua,50,Pflanze,,Basis,Häufig,Miki Tanaka,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-20,20,Aranestro,120,Pflanze,Araqua,Rang 1,Selten,KIYOTAKA OSHIYAMA,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-21,21,Fruyal V,200,Pflanze,,Basis,Holografisch Selten V,PLANETA Mochizuki,holo,Fusions Angriff,Schwert & Schild,284
swsh8-22,22,Gortrom V,220,Pflanze,,Basis,Holografisch Selten V,5ban Graphics,holo,Fusions Angriff,Schwert & Schild,284
swsh8-23,23,Gortrom VMAX,330,Pflanze,Gortrom-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Fusions Angriff,Schwert & Schild,284
swsh8-24,24,Cottini,50,Pflanze,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-25,25,Cottomi,90,Pflanze,Cottini,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-26,26,Schlapfel V,210,Pflanze,,Basis,Holografisch Selten V,aky CG Works,holo,Fusions Angriff,Schwert & Schild,284
swsh8-27,27,Zarude,110,Pflanze,,Basis,Ungewöhnlich,Anesaki Dynamic,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-28,28,Vulpix,70,Feuer,,Basis,Häufig,Sekio,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-29,29,Vulpix,70,Feuer,,Basis,Häufig,Megumi Mizutani,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-30,30,Vulnona,110,Feuer,Vulpix,Rang 1,Ungewöhnlich,kirisAki,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-31,31,Vulnona,120,Feuer,Vulpix,Rang 1,Ungewöhnlich,Tika Matsuno,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-32,32,Fukano,80,Feuer,,Basis,Häufig,Narumi Sato,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-33,33,Arkani,130,Feuer,Fukano,Rang 1,Selten,Yuu Nishida,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-34,34,Schneckmag,80,Feuer,,Basis,Häufig,otumami,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-35,35,Magcargo,130,Feuer,Schneckmag,Rang 1,Ungewöhnlich,Eri Yamaki,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-36,36,Victini,80,Feuer,,Basis,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-37,37,Grillmak,60,Feuer,,Basis,Häufig,Misa Tsutsui,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-38,38,Grillchita,100,Feuer,Grillmak,Rang 1,Ungewöhnlich,Tomokazu Komiya,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-39,39,Skelabra V,200,Feuer,,Basis,Holografisch Selten V,Saki Hayashiro,holo,Fusions Angriff,Schwert & Schild,284
swsh8-40,40,Skelabra VMAX,320,Feuer,Skelabra-V,VMAX,Holografisch Selten VMAX,AKIRA EGAWA,holo,Fusions Angriff,Schwert & Schild,284
swsh8-41,41,Furnifraß,110,Feuer,,Basis,Ungewöhnlich,Oswaldo KATO,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-42,42,Choreogel,90,Feuer,,Basis,Selten,Oswaldo KATO,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-43,43,Liberlo V,220,Feuer,,Basis,Holografisch Selten V,5ban Graphics,holo,Fusions Angriff,Schwert & Schild,284
swsh8-44,44,Liberlo V,210,Feuer,,Basis,Holografisch Selten V,aky CG Works,holo,Fusions Angriff,Schwert & Schild,284
swsh8-45,45,Liberlo VMAX,320,Feuer,Liberlo-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Fusions Angriff,Schwert & Schild,284
swsh8-46,46,Thermopod,80,Feuer,,Basis,Häufig,miki kudo,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-47,47,Thermopod,70,Feuer,,Basis,Häufig,Narumi Sato,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-48,48,Infernopod,130,Feuer,Thermopod,Rang 1,Selten,Hasuno,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-49,49,Infernopod,130,Feuer,Thermopod,Rang 1,Ungewöhnlich,Misa Tsutsui,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-50,50,Muschas,70,Wasser,,Basis,Häufig,kawayoo,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-51,51,Austos,130,Wasser,Muschas,Rang 1,Selten,nagimiso,"normal, reverse",Fusions Angriff,Schwert & Schild,284
swsh8-52,52,Sterndu,60,Wasser,,Basis,Häufig,tetsuya koizumi,"normal, reverse",Fusions Angriff,Schwert & Schild,284
