id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh8-1,1,Caterpie,50,Grass,,Basic,Common,Mitsuhiro Arita,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-2,2,Metapod,80,Grass,Caterpie,Stage1,Uncommon,Saya Tsuruta,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-3,3,Butterfree,120,Grass,Metapod,Stage2,Holo Rare,ryoma uratsuka,"reverse, holo",Fusion Strike,Sword & Shield,284
swsh8-4,4,Shroomish,60,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-5,5,Breloom,120,Grass,Shroomish,Stage1,Uncommon,Yukiko Baba,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-6,6,Breloom V,210,Grass,,Basic,Holo Rare V,PLANETA Mochizuki,holo,Fusion Strike,Sword & Shield,284
swsh8-7,7,Pansage,60,Grass,,Basic,Common,Nagomi Nijo,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-8,8,Simisage,100,Grass,Pansage,Stage1,Uncommon,Akira Komayama,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-9,9,Sewaddle,50,Grass,,Basic,Common,Akira Komayama,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-10,10,Swadloon,80,Grass,Sewaddle,Stage1,Uncommon,0313,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-11,11,Leavanny,130,Grass,Swadloon,Stage2,Rare,kodama,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-12,12,Maractus,110,Grass,,Basic,Rare,0313,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-13,13,Shelmet,70,Grass,,Basic,Common,Shibuzoh.,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-14,14,Accelgor,90,Grass,Shelmet,Stage1,Rare,nagimiso,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-15,15,Virizion,110,Grass,,Basic,Rare,Kagemaru Himeno,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-16,16,Phantump,60,Grass,,Basic,Common,OKACHEKE,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-17,17,Trevenant,120,Grass,Phantump,Stage1,Uncommon,Narumi Sato,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-18,18,Grubbin,70,Grass,,Basic,Common,Asako Ito,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-19,19,Dewpider,50,Grass,,Basic,Common,Miki Tanaka,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-20,20,Araquanid,120,Grass,Dewpider,Stage1,Rare,KIYOTAKA OSHIYAMA,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-21,21,Tsareena V,200,Grass,,Basic,Holo Rare V,PLANETA Mochizuki,holo,Fusion Strike,Sword & Shield,284
swsh8-22,22,Rillaboom V,220,Grass,,Basic,Holo Rare V,5ban Graphics,holo,Fusion Strike,Sword & Shield,284
swsh8-23,23,Rillaboom VMAX,330,Grass,Rillaboom V,VMAX,Holo Rare VMAX,5ban Graphics,holo,Fusion Strike,Sword & Shield,284
swsh8-24,24,Gossifleur,50,Grass,,Basic,Common,Kagemaru Himeno,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-25,25,Eldegoss,90,Grass,Gossifleur,Stage1,Uncommon,Akira Komayama,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-26,26,Appletun V,210,Grass,,Basic,Holo Rare V,aky CG Works,holo,Fusion Strike,Sword & Shield,284
swsh8-27,27,Zarude,110,Grass,,Basic,Uncommon,Anesaki Dynamic,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-28,28,Vulpix,70,Fire,,Basic,Common,Sekio,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-29,29,Vulpix,70,Fire,,Basic,Common,Megumi Mizutani,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-30,30,Ninetales,110,Fire,Vulpix,Stage1,Uncommon,kirisAki,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-31,31,Ninetales,120,Fire,Vulpix,Stage1,Uncommon,Tika Matsuno,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-32,32,Growlithe,80,Fire,,Basic,Common,Narumi Sato,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-33,33,Arcanine,130,Fire,Growlithe,Stage1,Rare,Yuu Nishida,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-34,34,Slugma,80,Fire,,Basic,Common,otumami,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-35,35,Magcargo,130,Fire,Slugma,Stage1,Uncommon,Eri Yamaki,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-36,36,Victini,80,Fire,,Basic,Uncommon,Mitsuhiro Arita,"normal, reverse",Fusion Strike,Sword & Shield,284
swsh8-37,37,Pansear,60,Fire,,Basic,Common,Misa Tsutsui,"normal, reverse",Fusion Strike,Sword & Shield,284
