id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh8-1,1,Chenipan,50,Plante,,De base,Commune,Mitsuhiro Arita,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-2,2,Chrysacier,80,Plante,Chenipan,Niveau 1,Peu Commune,Saya Tsuruta,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-3,3,Papilusion,120,Plante,Chrysacier,Niveau 2,Holo Rare,ryoma uratsuka,"reverse, holo",Poing de Fusion,Épée et Bouclier,284
swsh8-4,4,Balignon,60,Plante,,De base,Commune,Naoyo Kimura,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-5,5,Chapignon,120,Plante,Balignon,Niveau 1,Peu Commune,Yukiko Baba,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-6,6,Chapignon V,210,Plante,,De base,Holo Rare V,PLANETA Mochizuki,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-7,7,Feuillajou,60,Plante,,De base,Commune,Nagomi Nijo,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-8,8,Feuiloutan,100,Plante,Feuillajou,Niveau 1,Peu Commune,Akira Komayama,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-9,9,Larveyette,50,Plante,,De base,Commune,Akira Komayama,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-10,10,Couverdure,80,Plante,Larveyette,Niveau 1,Peu Commune,0313,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-11,11,Manternel,130,Plante,Couverdure,Niveau 2,Rare,kodama,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-12,12,Maracachi,110,Plante,,De base,Rare,0313,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-13,13,Escargaume,70,Plante,,De base,Commune,Shibuzoh.,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-14,14,Limaspeed,90,Plante,Escargaume,Niveau 1,Rare,nagimiso,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-15,15,Viridium,110,Plante,,De base,Rare,Kagemaru Himeno,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-16,16,Brocélôme,60,Plante,,De base,Commune,OKACHEKE,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-17,17,Desséliande,120,Plante,Brocélôme,Niveau 1,Peu Commune,Narumi Sato,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-18,18,Larvibule,70,Plante,,De base,Commune,Asako Ito,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-19,19,Araqua,50,Plante,,De base,Commune,Miki Tanaka,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-20,20,Tarenbulle,120,Plante,Araqua,Niveau 1,Rare,KIYOTAKA OSHIYAMA,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-21,21,Sucreine V,200,Plante,,De base,Holo Rare V,PLANETA Mochizuki,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-22,22,Gorythmic V,220,Plante,,De base,Holo Rare V,5ban Graphics,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-23,23,Gorythmic VMAX,330,Plante,Gorythmic-V,ESCOUADE,Holo Rare VMAX,5ban Graphics,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-24,24,Tournicoton,50,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-25,25,Blancoton,90,Plante,Tournicoton,Niveau 1,Peu Commune,Akira Komayama,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-26,26,Dratatin V,210,Plante,,De base,Holo Rare V,aky CG Works,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-27,27,Zarude,110,Plante,,De base,Peu Commune,Anesaki Dynamic,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-28,28,Goupix,70,Feu,,De base,Commune,Sekio,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-29,29,Goupix,70,Feu,,De base,Commune,Megumi Mizutani,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-30,30,Feunard,110,Feu,Goupix,Niveau 1,Peu Commune,kirisAki,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-31,31,Feunard,120,Feu,Goupix,Niveau 1,Peu Commune,Tika Matsuno,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-32,32,Caninos,80,Feu,,De base,Commune,Narumi Sato,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-33,33,Arcanin,130,Feu,Caninos,Niveau 1,Rare,Yuu Nishida,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-34,34,Limagma,80,Feu,,De base,Commune,otumami,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-35,35,Volcaropod,130,Feu,Limagma,Niveau 1,Peu Commune,Eri Yamaki,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-36,36,Victini,80,Feu,,De base,Peu Commune,Mitsuhiro Arita,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-37,37,Flamajou,60,Feu,,De base,Commune,Misa Tsutsui,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-38,38,Flamoutan,100,Feu,Flamajou,Niveau 1,Peu Commune,Tomokazu Komiya,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-39,39,Lugulabre V,200,Feu,,De base,Holo Rare V,Saki Hayashiro,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-40,40,Lugulabre VMAX,320,Feu,Lugulabre-V,ESCOUADE,Holo Rare VMAX,AKIRA EGAWA,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-41,41,Aflamanoir,110,Feu,,De base,Peu Commune,Oswaldo KATO,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-42,42,Plumeline,90,Feu,,De base,Rare,Oswaldo KATO,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-43,43,Pyrobut V,220,Feu,,De base,Holo Rare V,5ban Graphics,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-44,44,Pyrobut V,210,Feu,,De base,Holo Rare V,aky CG Works,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-45,45,Pyrobut VMAX,320,Feu,Pyrobut-V,ESCOUADE,Holo Rare VMAX,5ban Graphics,holo,Poing de Fusion,Épée et Bouclier,284
swsh8-46,46,Grillepattes,80,Feu,,De base,Commune,miki kudo,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-47,47,Grillepattes,70,Feu,,De base,Commune,Narumi Sato,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-48,48,Scolocendre,130,Feu,Grillepattes,Niveau 1,Rare,Hasuno,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-49,49,Scolocendre,130,Feu,Grillepattes,Niveau 1,Peu Commune,Misa Tsutsui,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-50,50,Kokiyas,70,Eau,,De base,Commune,kawayoo,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-51,51,Crustabri,130,Eau,Kokiyas,Niveau 1,Rare,nagimiso,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-52,52,Stari,60,Eau,,De base,Commune,tetsuya koizumi,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-53,53,Staross,90,Eau,Stari,Niveau 1,Holo Rare,Megumi Mizutani,"reverse, holo",Poing de Fusion,Épée et Bouclier,284
swsh8-54,54,Lokhlass,120,Eau,,De base,Peu Commune,Naoki Saito,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-55,55,Kaiminus,70,Eau,,De base,Commune,Mizue,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-56,56,Crocrodil,100,Eau,Kaiminus,Niveau 1,Peu Commune,Tomokazu Komiya,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-57,57,Aligatueur,170,Eau,Crocrodil,Niveau 2,Holo Rare,Anesaki Dynamic,"reverse, holo",Poing de Fusion,Épée et Bouclier,284
swsh8-58,58,Marill,50,Eau,,De base,Commune,sowsow,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-59,59,Azumarill,120,Eau,Marill,Niveau 1,Rare,Sanosuke Sakuma,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-60,60,Qwilfish,80,Eau,,De base,Commune,HYOGONOSUKE,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-61,61,Démanta,110,Eau,,De base,Commune,Saya Tsuruta,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-62,62,Gobou,70,Eau,,De base,Commune,KIYOTAKA OSHIYAMA,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-63,63,Flobio,90,Eau,Gobou,Niveau 1,Peu Commune,tetsuya koizumi,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-64,64,Laggron,170,Eau,Flobio,Niveau 2,Holo Rare,Masakazu Fukuda,"reverse, holo",Poing de Fusion,Épée et Bouclier,284
swsh8-65,65,Coquiperl,60,Eau,,De base,Commune,Anesaki Dynamic,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-66,66,Serpang,110,Eau,Coquiperl,Niveau 1,Rare,otumami,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-67,67,Rosabyss,110,Eau,Coquiperl,Niveau 1,Rare,Misa Tsutsui,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-68,68,Flotajou,60,Eau,,De base,Commune,Sekio,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-69,69,Flotoutan,100,Eau,Flotajou,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-70,70,Bargantua,80,Eau,,De base,Commune,Souichirou Gunjima,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-71,71,Darumarond de Galar,80,Eau,,De base,Commune,Atsuko Nishida,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
swsh8-72,72,Darumacho de Galar,130,Eau,Darumarond de Galar,Niveau 1,Peu Commune,SATOSHI NAKAI,"normal, reverse",Poing de Fusion,Épée et Bouclier,284
