id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
g1-1,1,Venusaur EX,180,Grass,,,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Generations,XY,117
g1-2,2,M Venusaur EX,230,Grass,Venusaur-EX,MEGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Generations,XY,117
g1-3,3,Caterpie,40,Grass,,Basic,Common,Sumiyoshi Kizuki,"normal, reverse, holo",Generations,XY,117
g1-4,4,Metapod,70,Grass,Caterpie,Stage1,Uncommon,kawayoo,"normal, reverse, holo",Generations,XY,117
g1-5,5,Butterfree,130,Grass,Metapod,Stage2,Rare,miki kudo,"normal, reverse, holo",Generations,XY,117
g1-6,6,Paras,60,Grass,,Basic,Common,Aya Kusube,"normal, reverse, holo",Generations,XY,117
g1-7,7,Parasect,100,Grass,Paras,Stage1,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Generations,XY,117
g1-8,8,Tangela,80,Grass,,Basic,Common,match,"normal, reverse, holo",Generations,XY,117
g1-9,9,Pinsir,100,Grass,,Basic,Rare,Satoshi Shirai,"normal, reverse, holo",Generations,XY,117
g1-10,10,Leafeon EX,170,Grass,,,Ultra Rare,Naoki Saito,"normal, reverse, holo",Generations,XY,117
g1-11,11,Charizard EX,180,Fire,,,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Generations,XY,117
g1-12,12,M Charizard EX,220,Fire,Charizard-EX,MEGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Generations,XY,117
g1-13,13,Ninetales EX,170,Fire,,,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Generations,XY,117
g1-14,14,Ponyta,60,Fire,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Generations,XY,117
g1-15,15,Rapidash,90,Fire,Ponyta,Stage1,Rare,DemizuPosuka,"normal, reverse, holo",Generations,XY,117
g1-16,16,Magmar,80,Fire,,Basic,Common,Hideki Ishikawa,"normal, reverse, holo",Generations,XY,117
g1-17,17,Blastoise EX,180,Water,,,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Generations,XY,117
g1-18,18,M Blastoise EX,220,Water,Blastoise-EX,MEGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Generations,XY,117
g1-19,19,Shellder,60,Water,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Generations,XY,117
g1-20,20,Cloyster,100,Water,Shellder,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Generations,XY,117
