id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
g1-1,1,Florizarre-EX,180,Plante,,,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Générations,XY,115
g1-2,2,M-Florizarre-EX,230,Plante,Florizarre-EX,MÉGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Générations,XY,115
g1-3,3,Chenipan,40,Plante,,De base,Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Générations,XY,115
g1-4,4,Chrysacier,70,Plante,Chenipan,Niveau 1,Peu Commune,kawayoo,"normal, reverse, holo",Générations,XY,115
g1-5,5,Papilusion,130,Plante,Chrysacier,Niveau 2,Rare,miki kudo,"normal, reverse, holo",Générations,XY,115
g1-6,6,Paras,60,Plante,,De base,Commune,Aya Kusube,"normal, reverse, holo",Générations,XY,115
g1-7,7,Parasect,100,Plante,Paras,Niveau 1,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Générations,XY,115
g1-8,8,Saquedeneu,80,Plante,,De base,Commune,match,"normal, reverse, holo",Générations,XY,115
g1-9,9,Scarabrute,100,Plante,,De base,Rare,Satoshi Shirai,"normal, reverse, holo",Générations,XY,115
g1-10,10,Phyllali-EX,170,Plante,,,Ultra Rare,Naoki Saito,"normal, reverse, holo",Générations,XY,115
g1-11,11,Dracaufeu-EX,180,Feu,,,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Générations,XY,115
g1-12,12,M-Dracaufeu-EX,220,Feu,Dracaufeu-EX,MÉGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Générations,XY,115
g1-13,13,Feunard-EX,170,Feu,,,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Générations,XY,115
g1-14,14,Ponyta,60,Feu,,De base,Commune,Tomokazu Komiya,"normal, reverse, holo",Générations,XY,115
g1-15,15,Galopa,90,Feu,Ponyta,Niveau 1,Rare,DemizuPosuka,"normal, reverse, holo",Générations,XY,115
g1-16,16,Magmar,80,Feu,,De base,Commune,Hideki Ishikawa,"normal, reverse, holo",Générations,XY,115
