id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp4-1,1,Blaziken,130,Fire,Combusken,Stage2,Rare Holo,Kagemaru Himeno,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-2,2,Cresselia,80,Psychic,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-3,3,Darkrai,70,Darkness,,Basic,Rare Holo,Masakazu Fukuda,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-4,4,Darkrai,80,Darkness,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-5,5,Pachirisu,70,Lightning,,Basic,Rare Holo,Hironobu Yoshida,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-6,6,Porygon-Z,110,Colorless,Porygon2,Stage2,Rare Holo,Kent Kanetsuna,"normal, reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-7,7,Rotom,70,Lightning,,Basic,Rare Holo,Daisuke Ito,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-8,8,Sceptile,100,Grass,Grovyle,Stage2,Rare Holo,Masakazu Fukuda,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-9,9,Swampert,130,Water,Marshtomp,Stage2,Rare Holo,Kouki Saitou,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-10,10,Tangrowth,110,Grass,Tangela,Stage1,Rare Holo,Kent Kanetsuna,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-11,11,Togekiss,120,Colorless,Togetic,Stage2,Rare Holo,Kent Kanetsuna,"reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-12,12,Altaria,80,Colorless,Swablu,Stage1,Rare,Kagemaru Himeno,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-13,13,Beedrill,110,Grass,Kakuna,Stage2,Rare,Kouki Saitou,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-14,14,Butterfree,120,Grass,Metapod,Stage2,Rare,Sumiyoshi Kizuki,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-15,15,Claydol,80,Fighting,Baltoy,Stage1,Rare,Midori Harada,"normal, reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-16,16,Dialga,90,Metal,,Basic,Rare,Daisuke Ito,"normal, reverse, holo",Great Encounters,Diamond & Pearl,106
dp4-17,17,Exploud,130,Colorless,Loudred,Stage2,Rare,Daisuke Ito,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-18,18,Houndoom,90,Darkness,Houndour,Stage1,Rare,Ken Sugimori,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-19,19,Hypno,80,Psychic,Drowzee,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-20,20,Kingler,90,Water,Krabby,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-21,21,Lapras,80,Water,,Basic,Rare,Atsuko Nishida,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-22,22,Latias,80,Colorless,,Basic,Rare,Daisuke Ito,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-23,23,Latios,90,Colorless,,Basic,Rare,Daisuke Ito,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-24,24,Mawile,70,Metal,,Basic,Rare,Midori Harada,"normal, reverse",Great Encounters,Diamond & Pearl,106
dp4-25,25,Milotic,90,Water,Feebas,Stage1,Rare,Suwama Chiaki,"normal, reverse",Great Encounters,Diamond & Pearl,106
