id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp4-1,1,Brasegali,130,Feu,Galifeu,Niveau 2,Rare Holo,Kagemaru Himeno,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-2,2,Cresselia,80,Psy,,De base,Rare Holo,Ryo Ueda,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-3,3,Darkrai,70,Obscurité,,De base,Rare Holo,Masakazu Fukuda,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-4,4,Darkrai,80,Obscurité,,De base,Rare Holo,Ryo Ueda,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-5,5,Pachirisu,70,Électrique,,De base,Rare Holo,Hironobu Yoshida,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-6,6,Porygon-Z,110,Incolore,Porygon2,Niveau 2,Rare Holo,Kent Kanetsuna,"normal, reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-7,7,Motisma,70,Électrique,,De base,Rare Holo,Daisuke Ito,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-8,8,Jungko,100,Plante,Massko,Niveau 2,Rare Holo,Masakazu Fukuda,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-9,9,Laggron,130,Eau,Flobio,Niveau 2,Rare Holo,Kouki Saitou,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-10,10,Bouldeneu,110,Plante,Saquedeneu,Niveau 1,Rare Holo,Kent Kanetsuna,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-11,11,Togekiss,120,Incolore,Togetic,Niveau 2,Rare Holo,Kent Kanetsuna,"reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-12,12,Altaria,80,Incolore,Tylton,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse",Duels au Sommets,Diamant & Perle,106
dp4-13,13,Dardargnan,110,Plante,Coconfort,Niveau 2,Rare,Kouki Saitou,"normal, reverse",Duels au Sommets,Diamant & Perle,106
dp4-14,14,Papilusion,120,Plante,Chrysacier,Niveau 2,Rare,Sumiyoshi Kizuki,"normal, reverse",Duels au Sommets,Diamant & Perle,106
dp4-15,15,Kaorine,80,Combat,Balbuto,Niveau 1,Rare,Midori Harada,"normal, reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-16,16,Dialga,90,Métal,,De base,Rare,Daisuke Ito,"normal, reverse, holo",Duels au Sommets,Diamant & Perle,106
dp4-17,17,Brouhabam,130,Incolore,Ramboum,Niveau 2,Rare,Daisuke Ito,"normal, reverse",Duels au Sommets,Diamant & Perle,106
dp4-18,18,Demolosse,90,Obscurité,Malosse,Niveau 1,Rare,Ken Sugimori,"normal, reverse",Duels au Sommets,Diamant & Perle,106
