id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm2-1,1,Bellsprout,60,Grass,,Basic,Common,Aya Kusube,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-2,2,Weepinbell,80,Grass,Bellsprout,Stage1,Uncommon,Mina Nakai,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-3,3,Victreebel,140,Grass,Weepinbell,Stage2,Rare,TOKIYA,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-4,4,Petilil,50,Grass,,Basic,Common,Naoki Saito,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-5,5,Lilligant,90,Grass,Petilil,Stage1,Rare,You Iribi,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-6,6,Phantump,60,Grass,,Basic,Common,Sanosuke Sakuma,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-7,7,Trevenant,120,Grass,Phantump,Stage1,Rare,Hiroyuki Yamamoto,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-8,8,Wimpod,70,Grass,,Basic,Common,match,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-9,9,Golisopod,130,Grass,Wimpod,Stage1,Rare,Kouki Saitou,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-10,10,Victini,70,Fire,,Basic,Rare,kodama,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-11,11,Litwick,50,Fire,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-12,12,Lampent,80,Fire,Litwick,Stage1,Uncommon,0313,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-13,13,Chandelure,140,Fire,Lampent,Stage2,Rare,Kouki Saitou,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-14,14,Oricorio,90,Fire,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-15,15,Salandit,70,Fire,,Basic,Common,TOKIYA,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-16,16,Salazzle,110,Fire,Salandit,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-17,17,Turtonator,110,Fire,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-18,18,Turtonator GX,190,Fire,,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-19,19,Alolan Sandshrew,60,Water,,Basic,Common,Mizue,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-20,20,Alolan Sandslash,110,Water,Alolan Sandshrew,Stage1,Rare,TOKIYA,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-21,21,Alolan Vulpix,60,Water,,Basic,Common,You Iribi,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-22,22,Alolan Ninetales GX,210,Water,Alolan Vulpix,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-23,23,Tentacool,60,Water,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-24,24,Tentacruel,110,Water,Tentacool,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-25,25,Politoed,130,Water,Poliwhirl,Stage2,Rare,Saya Tsuruta,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-26,26,Delibird,90,Water,,Basic,Common,sui,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-27,27,Carvanha,50,Water,,Basic,Common,Hideki Ishikawa,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-28,28,Sharpedo,90,Water,Carvanha,Stage1,Rare,5ban Graphics,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
sm2-29,29,Wailmer,120,Water,,Basic,Common,Miki Tanaka,"normal, reverse, holo",Guardians Rising,Sun & Moon,169
