id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
hgssp-HGSS01,HGSS01,Ho-Oh,100,Fire,,Basic,Common,Takashi Yamaguchi,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS02,HGSS02,Lugia,90,Water,,Basic,Common,Takashi Yamaguchi,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS03,HGSS03,Pikachu,70,Lightning,,Basic,Common,Kanako Eo,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS04,HGSS04,Wobbuffet,90,Psychic,,Basic,Common,match,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS05,HGSS05,Hoothoot,50,Colorless,,Basic,Common,Masakazu Fukuda,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS06,HGSS06,Noctowl,90,Colorless,Hoothoot,Stage1,Common,Masakazu Fukuda,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS07,HGSS07,Feraligatr,140,Water,Croconaw,Stage2,Common,Kent Kanetsuna,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS08,HGSS08,Meganium,150,Grass,Bayleef,Stage2,Common,Noriko Hotta,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS09,HGSS09,Typhlosion,140,Fire,Quilava,Stage2,Common,Wataru Kawahara,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS10,HGSS10,Latias,80,Colorless,,Basic,Common,Wataru Kawahara,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS11,HGSS11,Latios,90,Colorless,,Basic,Common,Wataru Kawahara,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS12,HGSS12,Cleffa,30,Colorless,,Basic,Common,Masakazu Fukuda,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS13,HGSS13,Smoochum,30,Psychic,,Basic,Common,Midori Harada,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS14,HGSS14,Lapras,90,Water,,Basic,Common,Masakazu Fukuda,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS15,HGSS15,Shuckle,60,Fighting,,Basic,Common,match,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS16,HGSS16,Plusle,60,Lightning,,Basic,Common,Kouki Saitou,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS17,HGSS17,Minun,60,Lightning,,Basic,Common,Kouki Saitou,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS18,HGSS18,Tropical Tidal Wave,,,,,Common,Sumiyoshi Kizuki,normal,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS19,HGSS19,Raikou,80,Lightning,,Basic,Common,Noriko Hotta,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS20,HGSS20,Entei,80,Fire,,Basic,Common,Yuri Umemura,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS21,HGSS21,Suicune,80,Water,,Basic,Common,Hideaki Hakozaki,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS22,HGSS22,Porygon,50,Colorless,,Basic,Common,TOKIYA,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS23,HGSS23,Porygon2,80,Colorless,Porygon,Stage1,Common,TOKIYA,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS24,HGSS24,Hitmonchan,70,Fighting,,Basic,Common,Kouki Saitou,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
hgssp-HGSS25,HGSS25,Hitmonlee,80,Fighting,,Basic,Common,Kouki Saitou,holo,HGSS Black Star Promos,HeartGold & SoulSilver,25
