id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex5-1,1,Banette,70,Psychic,Shuppet,Stage1,Rare,Midori Harada,holo,Hidden Legends,EX,102
ex5-2,2,Claydol,80,Psychic,Baltoy,Stage1,Rare,Kyoko Umemoto,holo,Hidden Legends,EX,102
ex5-3,3,Crobat,90,Grass,Golbat,Stage2,Rare,Midori Harada,holo,Hidden Legends,EX,102
ex5-4,4,Dark Celebi,70,"Grass, Darkness",,Basic,Rare,Ken Ikuji,holo,Hidden Legends,EX,102
ex5-5,5,Electrode,70,Lightning,Voltorb,Stage1,Rare,Kyoko Umemoto,holo,Hidden Legends,EX,102
ex5-6,6,Exploud,120,Colorless,Loudred,Stage2,Rare,Tomokazu Komiya,holo,Hidden Legends,EX,102
ex5-7,7,Heracross,70,Grass,,Basic,Rare,Hajime Kusajima,holo,Hidden Legends,EX,102
ex5-8,8,Jirachi,70,"Psychic, Metal",,Basic,Rare,Ryo Ueda,"reverse, holo",Hidden Legends,EX,102
ex5-9,9,Machamp,120,Fighting,Machoke,Stage2,Rare,Hajime Kusajima,"normal, holo",Hidden Legends,EX,102
ex5-10,10,Medicham,80,Fighting,Meditite,Stage1,Rare,Atsuko Nishida,holo,Hidden Legends,EX,102
ex5-11,11,Metagross,100,"Psychic, Metal",Metang,Stage2,Rare,Kouki Saitou,"normal, holo",Hidden Legends,EX,102
ex5-12,12,Milotic,100,Water,Feebas,Stage1,Rare,Atsuko Nishida,holo,Hidden Legends,EX,102
ex5-13,13,Pinsir,70,Grass,,Basic,Rare,Hajime Kusajima,holo,Hidden Legends,EX,102
ex5-14,14,Shiftry,110,Darkness,Nuzleaf,Stage2,Rare,Hisao Nakamura,holo,Hidden Legends,EX,102
ex5-15,15,Walrein,120,Water,Sealeo,Stage2,Rare,Atsuko Nishida,holo,Hidden Legends,EX,102
ex5-16,16,Bellossom,100,Grass,Gloom,Stage2,Rare,Yuka Morii,"normal, holo",Hidden Legends,EX,102
ex5-17,17,Chimecho,60,Psychic,,Basic,Rare,Miki Tanaka,"normal, holo",Hidden Legends,EX,102
ex5-18,18,Gorebyss,70,Water,Clamperl,Stage1,Rare,Kagemaru Himeno,"normal, holo",Hidden Legends,EX,102
ex5-19,19,Huntail,80,Water,Clamperl,Stage1,Rare,Kagemaru Himeno,"normal, holo",Hidden Legends,EX,102
ex5-20,20,Masquerain,70,Grass,Surskit,Stage1,Rare,Toshinao Aoki,"normal, holo",Hidden Legends,EX,102
ex5-21,21,Metang,80,Metal,Beldum,Stage1,Rare,Mitsuhiro Arita,"normal, holo",Hidden Legends,EX,102
ex5-22,22,Ninetales,70,Fighting,Vulpix,Stage1,Rare,Toshinao Aoki,"normal, holo",Hidden Legends,EX,102
ex5-23,23,Rain Castform,60,Water,,Basic,Rare,Jungo Suzuki,"normal, holo",Hidden Legends,EX,102
ex5-24,24,Relicanth,60,Water,,Basic,Rare,Kagemaru Himeno,"normal, holo",Hidden Legends,EX,102
ex5-25,25,Snow-cloud Castform,70,Water,,Basic,Rare,Sumiyoshi Kizuki,"normal, holo",Hidden Legends,EX,102
ex5-26,26,Sunny Castform,70,Fire,,Basic,Rare,Sumiyoshi Kizuki,"normal, holo",Hidden Legends,EX,102
ex5-27,27,Tropius,80,Grass,,Basic,Rare,Kouki Saitou,"normal, holo",Hidden Legends,EX,102
ex5-28,28,Beldum,50,Metal,,Basic,Uncommon,Ken Sugimori,"normal, holo",Hidden Legends,EX,102
ex5-29,29,Beldum,50,Metal,,Basic,Uncommon,Mitsuhiro Arita,"normal, holo",Hidden Legends,EX,102
ex5-30,30,Castform,60,Colorless,,Basic,Uncommon,Sumiyoshi Kizuki,"normal, holo",Hidden Legends,EX,102
ex5-31,31,Claydol,80,Fighting,Baltoy,Stage1,Uncommon,Ken Sugimori,"normal, holo",Hidden Legends,EX,102
ex5-32,32,Corsola,70,Water,,Basic,Uncommon,Naoyo Kimura,"normal, holo",Hidden Legends,EX,102
ex5-33,33,Dodrio,80,Colorless,Doduo,Stage1,Uncommon,Miki Tanaka,"normal, holo",Hidden Legends,EX,102
ex5-34,34,Glalie,80,Water,Snorunt,Stage1,Uncommon,Midori Harada,"normal, holo",Hidden Legends,EX,102
ex5-35,35,Gloom,70,Grass,Oddish,Stage1,Uncommon,Yuka Morii,"normal, holo",Hidden Legends,EX,102
ex5-36,36,Golbat,70,Grass,Zubat,Stage1,Uncommon,Midori Harada,"normal, holo",Hidden Legends,EX,102
ex5-37,37,Igglybuff,50,Colorless,,Basic,Uncommon,Naoyo Kimura,"normal, holo",Hidden Legends,EX,102
ex5-38,38,Lanturn,80,Lightning,Chinchou,Stage1,Uncommon,Aya Kusube,"normal, holo",Hidden Legends,EX,102
ex5-39,39,Loudred,80,Colorless,Whismur,Stage2,Uncommon,Tomokazu Komiya,"normal, holo",Hidden Legends,EX,102
ex5-40,40,Luvdisc,60,Water,,Basic,Uncommon,Miki Tanaka,"normal, holo",Hidden Legends,EX,102
ex5-41,41,Machoke,80,Fighting,Machop,Stage1,Uncommon,Hajime Kusajima,"normal, holo",Hidden Legends,EX,102
ex5-42,42,Medicham,80,Fighting,Meditite,Stage1,Uncommon,Ken Sugimori,"normal, holo",Hidden Legends,EX,102
ex5-43,43,Metang,80,Psychic,Beldum,Stage1,Uncommon,Kouki Saitou,"normal, holo",Hidden Legends,EX,102
ex5-44,44,Metang,70,Metal,Beldum,Stage1,Uncommon,Ken Sugimori,"normal, holo",Hidden Legends,EX,102
ex5-45,45,Nuzleaf,70,Darkness,Seedot,Stage1,Uncommon,Hisao Nakamura,"normal, holo",Hidden Legends,EX,102
ex5-46,46,Rhydon,90,Fighting,Rhyhorn,Stage1,Uncommon,Atsuko Nishida,"normal, holo",Hidden Legends,EX,102
ex5-47,47,Sealeo,70,Water,Spheal,Stage1,Uncommon,Atsuko Nishida,"normal, holo",Hidden Legends,EX,102
ex5-48,48,Spinda,60,Colorless,,Basic,Uncommon,Kagemaru Himeno,"normal, holo",Hidden Legends,EX,102
ex5-49,49,Starmie,80,Psychic,Staryu,Stage1,Uncommon,Aya Kusube,"normal, holo",Hidden Legends,EX,102
ex5-50,50,Swalot,80,Grass,Gulpin,Stage1,Uncommon,Yuka Morii,"normal, holo",Hidden Legends,EX,102
ex5-51,51,Tentacruel,70,Water,Tentacool,Stage1,Uncommon,Hisao Nakamura,"normal, holo",Hidden Legends,EX,102
ex5-52,52,Baltoy,50,Psychic,,Basic,Common,Kyoko Umemoto,"normal, holo",Hidden Legends,EX,102
ex5-53,53,Baltoy,50,Fighting,,Basic,Common,Ken Sugimori,"normal, holo",Hidden Legends,EX,102
ex5-54,54,Beldum,50,Psychic,,Basic,Common,Kouki Saitou,"normal, holo",Hidden Legends,EX,102
ex5-55,55,Chikorita,50,Grass,,Basic,Common,Shin-ichi Yoshikawa,"normal, holo",Hidden Legends,EX,102
ex5-56,56,Chinchou,50,Lightning,,Basic,Common,Aya Kusube,"normal, holo",Hidden Legends,EX,102
ex5-57,57,Chinchou,50,Lightning,,Basic,Common,Nakaoka,"normal, holo",Hidden Legends,EX,102
ex5-58,58,Clamperl,40,Water,,Basic,Common,Kagemaru Himeno,"normal, holo",Hidden Legends,EX,102
ex5-59,59,Cyndaquil,50,Fire,,Basic,Common,Ken Ikuji,"normal, holo",Hidden Legends,EX,102
ex5-60,60,Doduo,40,Colorless,,Basic,Common,Miki Tanaka,"normal, holo",Hidden Legends,EX,102
ex5-61,61,Feebas,30,Water,,Basic,Common,Tomokazu Komiya,"normal, holo",Hidden Legends,EX,102
ex5-62,62,Gulpin,50,Grass,,Basic,Common,Yuka Morii,"normal, holo",Hidden Legends,EX,102
ex5-63,63,Jigglypuff,50,Colorless,,Basic,Common,Naoyo Kimura,"normal, holo",Hidden Legends,EX,102
ex5-64,64,Machop,50,Fighting,,Basic,Common,Hajime Kusajima,"normal, holo",Hidden Legends,EX,102
ex5-65,65,Meditite,50,Psychic,,Basic,Common,Ken Sugimori,"normal, holo",Hidden Legends,EX,102
ex5-66,66,Meditite,50,Fighting,,Basic,Common,Atsuko Nishida,"normal, holo",Hidden Legends,EX,102
ex5-67,67,Minun,50,Lightning,,Basic,Common,Kagemaru Himeno,"normal, holo",Hidden Legends,EX,102
ex5-68,68,Oddish,50,Grass,,Basic,Common,Yuka Morii,"normal, holo",Hidden Legends,EX,102
ex5-69,69,Plusle,50,Lightning,,Basic,Common,Kagemaru Himeno,"normal, holo",Hidden Legends,EX,102
ex5-70,70,Rhyhorn,60,Fighting,,Basic,Common,Atsuko Nishida,"normal, holo",Hidden Legends,EX,102
ex5-71,71,Seedot,40,Grass,,Basic,Common,Hisao Nakamura,"normal, holo",Hidden Legends,EX,102
ex5-72,72,Shuppet,40,Psychic,,Basic,Common,Midori Harada,"normal, holo",Hidden Legends,EX,102
ex5-73,73,Snorunt,50,Water,,Basic,Common,Midori Harada,"normal, holo",Hidden Legends,EX,102
ex5-74,74,Spheal,40,Water,,Basic,Common,Atsuko Nishida,"normal, holo",Hidden Legends,EX,102
ex5-75,75,Staryu,50,Water,,Basic,Common,Aya Kusube,"normal, holo",Hidden Legends,EX,102
ex5-76,76,Surskit,50,Grass,,Basic,Common,Toshinao Aoki,"normal, holo",Hidden Legends,EX,102
ex5-77,77,Tentacool,50,Water,,Basic,Common,Hisao Nakamura,"normal, holo",Hidden Legends,EX,102
ex5-78,78,Togepi,50,Colorless,,Basic,Common,Nakaoka,"normal, holo",Hidden Legends,EX,102
ex5-79,79,Totodile,50,Water,,Basic,Common,Shin-ichi Yoshikawa,"normal, holo",Hidden Legends,EX,102
ex5-80,80,Voltorb,40,Lightning,,Basic,Common,Kyoko Umemoto,"normal, holo",Hidden Legends,EX,102
