id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex5-1,1,Branette,70,Psy,,Niveau 1,Rare,Midori Harada,holo,EX Légendes Oubliées,EX,102
ex5-2,2,Kaorine,80,Psy,,Niveau 1,Rare,Kyoko Umemoto,holo,EX Légendes Oubliées,EX,102
ex5-3,3,Nostenfer,90,Plante,,Niveau 2,Rare,Midori Harada,holo,EX Légendes Oubliées,EX,102
ex5-4,4,Celebi Obscur,70,"Plante, Obscurité",,De base,Rare,Ken Ikuji,holo,EX Légendes Oubliées,EX,102
ex5-5,5,Electrode,70,Électrique,,Niveau 1,Rare,Kyoko Umemoto,holo,EX Légendes Oubliées,EX,102
ex5-6,6,Brouhabam,120,Incolore,,Niveau 2,Rare,Tomokazu Komiya,holo,EX Légendes Oubliées,EX,102
ex5-7,7,Scarhino,70,Plante,,De base,Rare,Hajime Kusajima,holo,EX Légendes Oubliées,EX,102
ex5-8,8,Jirachi,70,"Psy, Métal",,De base,Rare,Ryo Ueda,"reverse, holo",EX Légendes Oubliées,EX,102
ex5-9,9,Mackogneur,120,Combat,,Niveau 2,Rare,Hajime Kusajima,"normal, holo",EX Légendes Oubliées,EX,102
ex5-10,10,Charmina,80,Combat,,Niveau 1,Rare,Atsuko Nishida,holo,EX Légendes Oubliées,EX,102
ex5-11,11,Metalosse,100,"Psy, Métal",,Niveau 2,Rare,Kouki Saitou,"normal, holo",EX Légendes Oubliées,EX,102
ex5-12,12,Milobellus,100,Eau,,Niveau 1,Rare,Atsuko Nishida,holo,EX Légendes Oubliées,EX,102
ex5-13,13,Scarabrute,70,Plante,,De base,Rare,Hajime Kusajima,holo,EX Légendes Oubliées,EX,102
ex5-14,14,Tengalice,110,Obscurité,,Niveau 2,Rare,Hisao Nakamura,holo,EX Légendes Oubliées,EX,102
ex5-15,15,Kaimorse,120,Eau,,Niveau 2,Rare,Atsuko Nishida,holo,EX Légendes Oubliées,EX,102
ex5-16,16,Joliflor,100,Plante,,Niveau 2,Rare,Yuka Morii,"normal, holo",EX Légendes Oubliées,EX,102
ex5-17,17,Eoko,60,Psy,,De base,Rare,Miki Tanaka,"normal, holo",EX Légendes Oubliées,EX,102
ex5-18,18,Rosabyss,70,Eau,,Niveau 1,Rare,Kagemaru Himeno,"normal, holo",EX Légendes Oubliées,EX,102
ex5-19,19,Serpang,80,Eau,,Niveau 1,Rare,Kagemaru Himeno,"normal, holo",EX Légendes Oubliées,EX,102
ex5-20,20,Maskadra,70,Plante,,Niveau 1,Rare,Toshinao Aoki,"normal, holo",EX Légendes Oubliées,EX,102
ex5-21,21,Metang,80,Métal,,Niveau 1,Rare,Mitsuhiro Arita,"normal, holo",EX Légendes Oubliées,EX,102
ex5-22,22,Feunard,70,Combat,,Niveau 1,Rare,Toshinao Aoki,"normal, holo",EX Légendes Oubliées,EX,102
ex5-23,23,Morpheo Pluie,60,Eau,,De base,Rare,Jungo Suzuki,"normal, holo",EX Légendes Oubliées,EX,102
ex5-24,24,Relicanth,60,Eau,,De base,Rare,Kagemaru Himeno,"normal, holo",EX Légendes Oubliées,EX,102
