id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex13-1,1,Armaldo,110,"Kampf, Metall",,Rang 2,Selten,Masakazu Fukuda,holo,EX Holon Phantoms,EX,111
ex13-2,2,Wielie,100,"Unlicht, Metall",,Rang 2,Selten,Kouki Saitou,holo,EX Holon Phantoms,EX,111
ex13-3,3,Deoxys,70,Unlicht,,Basis,Selten,Mitsuhiro Arita,holo,EX Holon Phantoms,EX,111
ex13-4,4,Deoxys,80,Metall,,Basis,Selten,Kagemaru Himeno,holo,EX Holon Phantoms,EX,111
ex13-5,5,Deoxys,70,Farblos,,Basis,Selten,Kouki Saitou,holo,EX Holon Phantoms,EX,111
ex13-6,6,Deoxys,60,Elektro,,Basis,Selten,Masakazu Fukuda,holo,EX Holon Phantoms,EX,111
ex13-7,7,Libelldra,110,"Pflanze, Metall",,Rang 2,Selten,Kagemaru Himeno,normal,EX Holon Phantoms,EX,111
ex13-8,8,Garados,90,"Elektro, Metall",,Rang 1,Selten,Hajime Kusajima,holo,EX Holon Phantoms,EX,111
ex13-9,9,Kabutops,100,Elektro,,Rang 2,Selten,Masakazu Fukuda,holo,EX Holon Phantoms,EX,111
ex13-10,10,Seedraking,110,"Feuer, Metall",,Rang 2,Selten,Masakazu Fukuda,holo,EX Holon Phantoms,EX,111
ex13-11,11,Latias,70,Feuer,,Basis,Selten,Masakazu Fukuda,holo,EX Holon Phantoms,EX,111
ex13-12,12,Latios,80,Wasser,,Basis,Selten,Mitsuhiro Arita,holo,EX Holon Phantoms,EX,111
ex13-13,13,Amoroso,110,Psycho,,Rang 2,Selten,Midori Harada,holo,EX Holon Phantoms,EX,111
ex13-14,14,Tauboss,100,"Elektro, Metall",,Rang 2,Selten,Kouki Saitou,holo,EX Holon Phantoms,EX,111
ex13-15,15,Raichu,70,Metall,,Rang 1,Selten,Masakazu Fukuda,holo,EX Holon Phantoms,EX,111
ex13-16,16,Rayquaza,80,"Wasser, Metall",,Basis,Selten,Mitsuhiro Arita,holo,EX Holon Phantoms,EX,111
ex13-17,17,Giflor,90,"Psycho, Metall",,Rang 2,Selten,Mitsuhiro Arita,holo,EX Holon Phantoms,EX,111
ex13-18,18,Absol,70,Unlicht,,Basis,Selten,Masakazu Fukuda,normal,EX Holon Phantoms,EX,111
ex13-19,19,Blubella,100,Wasser,,Rang 2,Selten,Kagemaru Himeno,normal,EX Holon Phantoms,EX,111
ex13-20,20,Lohgock,100,Feuer,,Rang 2,Selten,Hiromichi Sugiyama,normal,EX Holon Phantoms,EX,111
ex13-21,21,Latias,70,Feuer,,Basis,Selten,Mitsuhiro Arita,"normal, holo",EX Holon Phantoms,EX,111
ex13-22,22,Latios,80,Wasser,,Basis,Selten,Masakazu Fukuda,"normal, holo",EX Holon Phantoms,EX,111
ex13-23,23,Flunkifer,60,Metall,,Basis,Selten,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-24,24,Mewtu,70,Elektro,,Basis,Selten,Ryo Ueda,normal,EX Holon Phantoms,EX,111
ex13-25,25,Nasgnet,60,Kampf,,Basis,Selten,Kagemaru Himeno,normal,EX Holon Phantoms,EX,111
ex13-26,26,Rayquaza,80,Feuer,,Basis,Selten,Ryo Ueda,normal,EX Holon Phantoms,EX,111
ex13-27,27,Regice,80,Wasser,,Basis,Selten,Ken Sugimori,normal,EX Holon Phantoms,EX,111
ex13-28,28,Regirock,80,Kampf,,Basis,Selten,Ken Sugimori,normal,EX Holon Phantoms,EX,111
ex13-29,29,Registeel,80,Metall,,Basis,Selten,Ken Sugimori,normal,EX Holon Phantoms,EX,111
ex13-30,30,Relicanth,70,Wasser,,Basis,Selten,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-31,31,Zobiris,60,Unlicht,,Basis,Selten,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-32,32,Vipitis,70,Pflanze,,Basis,Selten,Kagemaru Himeno,normal,EX Holon Phantoms,EX,111
ex13-33,33,Qurtel,80,Feuer,,Basis,Selten,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-34,34,Sengo,70,Farblos,,Basis,Selten,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-35,35,Aerodactyl,70,Feuer,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-36,36,Camerupt,90,Feuer,,Rang 1,Ungewöhnlich,Atsuko Nishida,normal,EX Holon Phantoms,EX,111
ex13-37,37,Palimpalim,60,Metall,,Basis,Ungewöhnlich,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-38,38,Lepumentas,80,Psycho,,Rang 1,Ungewöhnlich,Kagemaru Himeno,normal,EX Holon Phantoms,EX,111
ex13-39,39,Jungglut,70,Feuer,,Rang 1,Ungewöhnlich,Kagemaru Himeno,normal,EX Holon Phantoms,EX,111
ex13-40,40,Donphan,80,Kampf,,Rang 1,Ungewöhnlich,Hisao Nakamura,normal,EX Holon Phantoms,EX,111
ex13-41,41,Kokowei,80,Kampf,,Rang 1,Ungewöhnlich,Midori Harada,normal,EX Holon Phantoms,EX,111
ex13-42,42,Duflor,70,Psycho,,Rang 1,Ungewöhnlich,Midori Harada,normal,EX Holon Phantoms,EX,111
ex13-43,43,Entoron,70,Elektro,,Rang 1,Ungewöhnlich,Midori Harada,normal,EX Holon Phantoms,EX,111
ex13-44,44,Holon-Formeo,50,Farblos,,Basis,Ungewöhnlich,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-45,45,Stollrak,80,Metall,,Rang 1,Ungewöhnlich,Masakazu Fukuda,normal,EX Holon Phantoms,EX,111
ex13-46,46,Voltenso,80,Elektro,,Rang 1,Ungewöhnlich,Midori Harada,normal,EX Holon Phantoms,EX,111
ex13-47,47,Maskeregen,70,Pflanze,,Rang 1,Ungewöhnlich,Atsuko Nishida,normal,EX Holon Phantoms,EX,111
ex13-48,48,Snobilikat,70,"Unlicht, Metall",,Rang 1,Ungewöhnlich,Midori Harada,normal,EX Holon Phantoms,EX,111
ex13-49,49,Tauboga,70,Elektro,,Rang 1,Ungewöhnlich,Atsuko Nishida,normal,EX Holon Phantoms,EX,111
ex13-50,50,Rasaff,70,Feuer,,Rang 1,Ungewöhnlich,Hajime Kusajima,normal,EX Holon Phantoms,EX,111
ex13-51,51,Raichu,80,Elektro,,Rang 1,Ungewöhnlich,Kouki Saitou,normal,EX Holon Phantoms,EX,111
ex13-52,52,Seemon,70,Feuer,,Rang 1,Ungewöhnlich,Kouki Saitou,normal,EX Holon Phantoms,EX,111
ex13-53,53,Tohaido,70,Kampf,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,normal,EX Holon Phantoms,EX,111
ex13-54,54,Vibrava,80,Pflanze,,Rang 1,Ungewöhnlich,Masakazu Fukuda,normal,EX Holon Phantoms,EX,111
ex13-55,55,Welsar,80,Kampf,,Rang 1,Ungewöhnlich,Midori Harada,normal,EX Holon Phantoms,EX,111
ex13-56,56,Woingenau,70,Psycho,,Basis,Ungewöhnlich,Katsura Tabata,normal,EX Holon Phantoms,EX,111
ex13-57,57,Anorith,70,Metall,,Rang 1,Häufig,Hajime Kusajima,normal,EX Holon Phantoms,EX,111
ex13-58,58,Stollunior,40,Metall,,Basis,Häufig,Masakazu Fukuda,normal,EX Holon Phantoms,EX,111
ex13-59,59,Puppance,50,Psycho,,Basis,Häufig,Kagemaru Himeno,normal,EX Holon Phantoms,EX,111
