id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex13-1,1,Armaldo δ,110,"Fighting, Metal",Anorith,Stage2,Rare,Masakazu Fukuda,holo,Holon Phantoms,EX,111
ex13-2,2,Cradily δ,100,"Darkness, Metal",Lileep,Stage2,Rare,Kouki Saitou,holo,Holon Phantoms,EX,111
ex13-3,3,Deoxys δ,70,Darkness,,Basic,Rare,Mitsuhiro Arita,holo,Holon Phantoms,EX,111
ex13-4,4,Deoxys δ,80,Metal,,Basic,Rare,Kagemaru Himeno,holo,Holon Phantoms,EX,111
ex13-5,5,Deoxys δ,70,Colorless,,Basic,Rare,Kouki Saitou,holo,Holon Phantoms,EX,111
ex13-6,6,Deoxys δ,60,Lightning,,Basic,Rare,Masakazu Fukuda,holo,Holon Phantoms,EX,111
ex13-7,7,Flygon δ,110,"Grass, Metal",Vibrava,Stage2,Rare,Kagemaru Himeno,normal,Holon Phantoms,EX,111
ex13-8,8,Gyarados δ,90,"Lightning, Metal",Magikarp,Stage1,Rare,Hajime Kusajima,holo,Holon Phantoms,EX,111
ex13-9,9,Kabutops δ,100,Lightning,Kabuto,Stage2,Rare,Masakazu Fukuda,holo,Holon Phantoms,EX,111
ex13-10,10,Kingdra δ,110,"Fire, Metal",Seadra,Stage2,Rare,Masakazu Fukuda,holo,Holon Phantoms,EX,111
ex13-11,11,Latias δ,70,Fire,,Basic,Rare,Masakazu Fukuda,holo,Holon Phantoms,EX,111
ex13-12,12,Latios δ,80,Water,,Basic,Rare,Mitsuhiro Arita,holo,Holon Phantoms,EX,111
ex13-13,13,Omastar δ,110,Psychic,Omanyte,Stage2,Rare,Midori Harada,holo,Holon Phantoms,EX,111
ex13-14,14,Pidgeot δ,100,"Lightning, Metal",Pidgeotto,Stage2,Rare,Kouki Saitou,holo,Holon Phantoms,EX,111
ex13-15,15,Raichu δ,70,Metal,Pikachu,Stage1,Rare,Masakazu Fukuda,holo,Holon Phantoms,EX,111
ex13-16,16,Rayquaza δ,80,"Water, Metal",,Basic,Rare,Mitsuhiro Arita,holo,Holon Phantoms,EX,111
ex13-17,17,Vileplume δ,90,"Psychic, Metal",Gloom,Stage2,Rare,Mitsuhiro Arita,holo,Holon Phantoms,EX,111
ex13-18,18,Absol,70,Darkness,,Basic,Rare,Masakazu Fukuda,normal,Holon Phantoms,EX,111
ex13-19,19,Bellossom δ,100,Water,Gloom,Stage2,Rare,Kagemaru Himeno,normal,Holon Phantoms,EX,111
ex13-20,20,Blaziken,100,Fire,Combusken,Stage2,Rare,Hiromichi Sugiyama,normal,Holon Phantoms,EX,111
ex13-21,21,Latias δ,70,Fire,,Basic,Rare,Mitsuhiro Arita,"normal, holo",Holon Phantoms,EX,111
ex13-22,22,Latios δ,80,Water,,Basic,Rare,Masakazu Fukuda,"normal, holo",Holon Phantoms,EX,111
ex13-23,23,Mawile,60,Metal,,Basic,Rare,Mitsuhiro Arita,normal,Holon Phantoms,EX,111
ex13-24,24,Mewtwo δ,70,Lightning,,Basic,Rare,Ryo Ueda,normal,Holon Phantoms,EX,111
ex13-25,25,Nosepass,60,Fighting,,Basic,Rare,Kagemaru Himeno,normal,Holon Phantoms,EX,111
ex13-26,26,Rayquaza δ,80,Fire,,Basic,Rare,Ryo Ueda,normal,Holon Phantoms,EX,111
ex13-27,27,Regice,80,Water,,Basic,Rare,Ken Sugimori,normal,Holon Phantoms,EX,111
ex13-28,28,Regirock,80,Fighting,,Basic,Rare,Ken Sugimori,normal,Holon Phantoms,EX,111
ex13-29,29,Registeel,80,Metal,,Basic,Rare,Ken Sugimori,normal,Holon Phantoms,EX,111
