id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv09-001,001,Caterpie,50,Grass,,Basic,Common,Shimaris Yukichi,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-002,002,Metapod,90,Grass,Caterpie,Stage1,Common,OKUBO,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-003,003,Butterfree,120,Grass,Metapod,Stage2,Rare,satoma,"reverse, holo",Journey Together,Scarlet & Violet,190
sv09-004,004,Paras,70,Grass,,Basic,Common,Ayako Ozaki,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-005,005,Parasect,120,Grass,Paras,Stage1,Common,Tetsu Kayama,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-006,006,Petilil,50,Grass,,Basic,Common,Shibuzoh.,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-007,007,Lilligant,110,Grass,Petilil,Stage1,Common,Jiro Sasumo,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-008,008,Maractus,110,Grass,,Basic,Uncommon,Dsuke,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-009,009,Karrablast,60,Grass,,Basic,Common,Yuka Morii,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-010,010,Foongus,50,Grass,,Basic,Common,Saboteri,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-011,011,Amoonguss ex,260,Grass,Foongus,Stage1,Double rare,PLANETA Mochizuki,holo,Journey Together,Scarlet & Violet,190
sv09-012,012,Shelmet,70,Grass,,Basic,Common,Toshinao Aoki,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-013,013,Accelgor,100,Grass,Shelmet,Stage1,Uncommon,Kazumasa Yasukuni,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-014,014,Durant,90,Grass,,Basic,Common,KEIICHIRO ITO,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-015,015,Virizion,120,Grass,,Basic,Uncommon,Anesaki Dynamic,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-016,016,Sprigatito,60,Grass,,Basic,Common,Mina Nakai,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-017,017,Floragato,90,Grass,Sprigatito,Stage1,Common,Felicia Chen,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-018,018,Meowscarada,160,Grass,Floragato,Stage2,Rare,kodama,"reverse, holo",Journey Together,Scarlet & Violet,190
sv09-019,019,Nymble,50,Grass,,Basic,Common,Ayako Ozaki,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-020,020,Magmar,80,Fire,,Basic,Common,Naoyo Kimura,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-021,021,Magmortar,130,Fire,Magmar,Stage1,Rare,Tonji Matsuno,"reverse, holo",Journey Together,Scarlet & Violet,190
sv09-022,022,Torchic,60,Fire,,Basic,Common,OKACHEKE,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-023,023,Combusken,90,Fire,Torchic,Stage1,Uncommon,Fujimoto Gold,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-024,024,Blaziken ex,320,Fire,Combusken,Stage2,Double rare,takuyoa,holo,Journey Together,Scarlet & Violet,190
sv09-025,025,Torkoal,130,Fire,,Basic,Common,kodama,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-026,026,N's Darumaka,80,Fire,,Basic,Common,Gemi,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-027,027,N's Darmanitan,140,Fire,N's Darumaka,Stage1,Uncommon,nagimiso,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-028,028,Larvesta,80,Fire,,Basic,Common,Kyoko Umemoto,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-029,029,Volcarona,140,Fire,Larvesta,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-030,030,Reshiram ex,220,Fire,,Basic,Double rare,PLANETA Mochizuki,holo,Journey Together,Scarlet & Violet,190
sv09-031,031,Volcanion ex,220,Fire,,Basic,Double rare,5ban Graphics,holo,Journey Together,Scarlet & Violet,190
sv09-032,032,Articuno,110,Water,,Basic,Uncommon,Takumi Wada,"normal, reverse, holo",Journey Together,Scarlet & Violet,190
sv09-033,033,Remoraid,60,Water,,Basic,Common,Minahamu,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-034,034,Octillery,110,Water,Remoraid,Stage1,Uncommon,Toshinao Aoki,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-035,035,Lotad,60,Water,,Basic,Common,Ayako Ozaki,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-036,036,Lombre,90,Water,Lotad,Stage1,Common,Mousho,"normal, reverse",Journey Together,Scarlet & Violet,190
sv09-037,037,Ludicolo,140,Water,Lombre,Stage2,Rare,Jerky,"reverse, holo",Journey Together,Scarlet & Violet,190
sv09-038,038,Wingull,60,Water,,Basic,Common,Mékayu,"normal, reverse",Journey Together,Scarlet & Violet,190
