id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv09-001,001,Chenipan,50,Plante,,De base,Commune,Shimaris Yukichi,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-002,002,Chrysacier,90,Plante,Chenipan,Niveau 1,Commune,OKUBO,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-003,003,Papilusion,120,Plante,Chrysacier,Niveau 2,Rare,satoma,"reverse, holo",Aventures Ensemble,Écarlate et Violet,190
sv09-004,004,Paras,70,Plante,,De base,Commune,Ayako Ozaki,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-005,005,Parasect,120,Plante,Paras,Niveau 1,Commune,Tetsu Kayama,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-006,006,Chlorobule,50,Plante,,De base,Commune,Shibuzoh.,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-007,007,Fragilady,110,Plante,Chlorobule,Niveau 1,Commune,Jiro Sasumo,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-008,008,Maracachi,110,Plante,,De base,Peu Commune,Dsuke,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-009,009,Carabing,60,Plante,,De base,Commune,Yuka Morii,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-010,010,Trompignon,50,Plante,,De base,Commune,Saboteri,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-011,011,Gaulet-ex,260,Plante,Trompignon,Niveau 1,Double rare,PLANETA Mochizuki,holo,Aventures Ensemble,Écarlate et Violet,190
sv09-012,012,Escargaume,70,Plante,,De base,Commune,Toshinao Aoki,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-013,013,Limaspeed,100,Plante,Escargaume,Niveau 1,Peu Commune,Kazumasa Yasukuni,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-014,014,Fermite,90,Plante,,De base,Commune,KEIICHIRO ITO,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-015,015,Viridium,120,Plante,,De base,Peu Commune,Anesaki Dynamic,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-016,016,Poussacha,60,Plante,,De base,Commune,Mina Nakai,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-017,017,Matourgeon,90,Plante,Poussacha,Niveau 1,Commune,Felicia Chen,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-018,018,Miascarade,160,Plante,Matourgeon,Niveau 2,Rare,kodama,"reverse, holo",Aventures Ensemble,Écarlate et Violet,190
sv09-019,019,Lilliterelle,50,Plante,,De base,Commune,Ayako Ozaki,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-020,020,Magmar,80,Feu,,De base,Commune,Naoyo Kimura,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-021,021,Maganon,130,Feu,Magmar,Niveau 1,Rare,Tonji Matsuno,"reverse, holo",Aventures Ensemble,Écarlate et Violet,190
sv09-022,022,Poussifeu,60,Feu,,De base,Commune,OKACHEKE,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-023,023,Galifeu,90,Feu,Poussifeu,Niveau 1,Peu Commune,Fujimoto Gold,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-024,024,Braségali-ex,320,Feu,Galifeu,Niveau 2,Double rare,takuyoa,holo,Aventures Ensemble,Écarlate et Violet,190
sv09-025,025,Chartor,130,Feu,,De base,Commune,kodama,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-026,026,Darumarond de N,80,Feu,,De base,Commune,Gemi,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-027,027,Darumacho de N,140,Feu,Darumarond de N,Niveau 1,Peu Commune,nagimiso,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-028,028,Pyronille,80,Feu,,De base,Commune,Kyoko Umemoto,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-029,029,Pyrax,140,Feu,Pyronille,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-030,030,Reshiram-ex,220,Feu,,De base,Double rare,PLANETA Mochizuki,holo,Aventures Ensemble,Écarlate et Violet,190
sv09-031,031,Volcanion-ex,220,Feu,,De base,Double rare,5ban Graphics,holo,Aventures Ensemble,Écarlate et Violet,190
sv09-032,032,Artikodin,110,Eau,,De base,Peu Commune,Takumi Wada,"normal, reverse, holo",Aventures Ensemble,Écarlate et Violet,190
sv09-033,033,Rémoraid,60,Eau,,De base,Commune,Minahamu,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
sv09-034,034,Octillery,110,Eau,Rémoraid,Niveau 1,Peu Commune,Toshinao Aoki,"normal, reverse",Aventures Ensemble,Écarlate et Violet,190
