id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
base2-1,1,Pixi,70,Farblos,,Rang 1,Selten,Mitsuhiro Arita,"holo, 1st edition",Dschungel,Grund,64
base2-2,2,Lektrobal,90,Elektro,,Rang 1,Selten,Mitsuhiro Arita,"holo, 1st edition",Dschungel,Grund,64
base2-3,3,Flamara,70,Feuer,,Rang 1,Selten,Kagemaru Himeno,"holo, 1st edition",Dschungel,Grund,64
base2-4,4,Blitza,70,Elektro,,Rang 1,Selten,Kagemaru Himeno,"holo, 1st edition",Dschungel,Grund,64
base2-5,5,Kangama,90,Farblos,,Basis,Selten,Mitsuhiro Arita,"holo, 1st edition",Dschungel,Grund,64
base2-6,6,Pantimos,40,Psycho,,Basis,Selten,Ken Sugimori,"holo, 1st edition",Dschungel,Grund,64
base2-7,7,Nidoqueen,90,Pflanze,,Rang 2,Selten,Ken Sugimori,"holo, 1st edition",Dschungel,Grund,64
base2-8,8,Tauboss,80,Farblos,,Rang 2,Selten,Kagemaru Himeno,"holo, 1st edition",Dschungel,Grund,64
base2-9,9,Pinsir,60,Pflanze,,Basis,Selten,Kagemaru Himeno,"holo, 1st edition",Dschungel,Grund,64
base2-10,10,Sichlor,70,Pflanze,,Basis,Selten,Ken Sugimori,"holo, 1st edition",Dschungel,Grund,64
base2-11,11,Relaxo,90,Farblos,,Basis,Selten,Ken Sugimori,"holo, 1st edition",Dschungel,Grund,64
base2-12,12,Aquana,80,Wasser,,Rang 1,Selten,Kagemaru Himeno,"holo, 1st edition",Dschungel,Grund,64
base2-13,13,Omot,70,Pflanze,,Rang 1,Selten,Ken Sugimori,"holo, 1st edition",Dschungel,Grund,64
base2-14,14,Sarzenia,80,Pflanze,,Rang 2,Selten,Ken Sugimori,"holo, 1st edition",Dschungel,Grund,64
base2-15,15,Giflor,80,Pflanze,,Rang 2,Selten,Keiji Kinebuchi,"holo, 1st edition",Dschungel,Grund,64
base2-16,16,Knuddeluff,80,Farblos,,Rang 1,Selten,Mitsuhiro Arita,"holo, 1st edition",Dschungel,Grund,64
base2-17,17,Pixi,70,Farblos,,Rang 1,Selten,Mitsuhiro Arita,"holo, 1st edition",Dschungel,Grund,64
base2-18,18,Lektrobal,90,Elektro,,Rang 1,Selten,Mitsuhiro Arita,"normal, 1st edition",Dschungel,Grund,64
base2-19,19,Flamara,70,Feuer,,Rang 1,Selten,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-20,20,Blitza,70,Elektro,,Rang 1,Selten,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-21,21,Kangama,90,Farblos,,Basis,Selten,Mitsuhiro Arita,"normal, 1st edition",Dschungel,Grund,64
base2-22,22,Pantimos,40,Psycho,,Basis,Selten,Ken Sugimori,"normal, 1st edition",Dschungel,Grund,64
base2-23,23,Nidoqueen,90,Pflanze,,Rang 2,Selten,Ken Sugimori,"normal, 1st edition",Dschungel,Grund,64
base2-24,24,Tauboss,80,Farblos,,Rang 2,Selten,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-25,25,Pinsir,60,Pflanze,,Basis,Selten,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-26,26,Sichlor,70,Pflanze,,Basis,Selten,Ken Sugimori,"normal, 1st edition",Dschungel,Grund,64
base2-27,27,Relaxo,90,Farblos,,Basis,Selten,Ken Sugimori,"normal, 1st edition",Dschungel,Grund,64
base2-28,28,Aquana,80,Wasser,,Rang 1,Selten,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-29,29,Omot,70,Pflanze,,Rang 1,Selten,Ken Sugimori,"normal, 1st edition",Dschungel,Grund,64
base2-30,30,Sarzenia,80,Pflanze,,Rang 2,Selten,Ken Sugimori,"normal, 1st edition",Dschungel,Grund,64
base2-31,31,Giflor,80,Pflanze,,Rang 2,Selten,Keiji Kinebuchi,"normal, 1st edition",Dschungel,Grund,64
base2-32,32,Knuddeluff,80,Farblos,,Rang 1,Selten,Mitsuhiro Arita,"normal, 1st edition",Dschungel,Grund,64
base2-33,33,Smettbo,70,Pflanze,,Rang 2,Ungewöhnlich,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-34,34,Dodri,70,Farblos,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, 1st edition",Dschungel,Grund,64
base2-35,35,Kokowei,80,Pflanze,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-36,36,Ibitak,70,Farblos,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, 1st edition",Dschungel,Grund,64
base2-37,37,Duflor,60,Pflanze,,Rang 1,Ungewöhnlich,Keiji Kinebuchi,"normal, 1st edition",Dschungel,Grund,64
base2-38,38,Schlurp,90,Farblos,,Basis,Ungewöhnlich,Mitsuhiro Arita,"normal, 1st edition",Dschungel,Grund,64
base2-39,39,Knogga,60,Kampf,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, 1st edition",Dschungel,Grund,64
base2-40,40,Nidorina,70,Pflanze,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, 1st edition",Dschungel,Grund,64
base2-41,41,Parasek,60,Pflanze,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, 1st edition",Dschungel,Grund,64
base2-42,42,Snobilikat,70,Farblos,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-43,43,Rasaff,70,Kampf,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-44,44,Gallopa,70,Feuer,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, 1st edition",Dschungel,Grund,64
base2-45,45,Rizeros,100,Kampf,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-46,46,Golking,70,Wasser,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
base2-47,47,Tauros,60,Farblos,,Basis,Ungewöhnlich,Kagemaru Himeno,"normal, 1st edition",Dschungel,Grund,64
