id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw11-1,1,Tangela,70,Grass,,Basic,Common,kirisAki,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-2,2,Tangrowth,120,Grass,Tangela,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-3,3,Shuckle,80,Grass,,Basic,Uncommon,MAHOU,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-4,4,Cherubi,40,Grass,,Basic,Uncommon,Atsuko Nishida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-5,5,Carnivine,80,Grass,,Basic,Uncommon,HiRON,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-6,6,Snivy,60,Grass,,Basic,Common,Aya Kusube,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-7,7,Servine,80,Grass,Snivy,Stage1,Uncommon,Shigenori Negishi,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-8,8,Serperior,130,Grass,Servine,Stage2,Rare,hatachu,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-9,9,Sewaddle,50,Grass,,Basic,Common,Yuka Morii,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-10,10,Sewaddle,50,Grass,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-11,11,Swadloon,70,Grass,Sewaddle,Stage1,Uncommon,sui,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-12,12,Leavanny,130,Grass,Swadloon,Stage2,Rare,match,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-13,13,Dwebble,60,Grass,,Basic,Common,sui,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-14,14,Crustle,100,Grass,Dwebble,Stage1,Uncommon,Naoki Saito,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-15,15,Virizion,110,Grass,,Basic,Rare,Atsuko Nishida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-16,16,Genesect,110,Grass,,Basic,Rare,Ayaka Yoshida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-17,17,Charmander,70,Fire,,Basic,Common,match,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-18,18,Charmeleon,90,Fire,Charmander,Stage1,Uncommon,Akira Komayama,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-19,19,Charizard,160,Fire,Charmeleon,Stage2,Rare,TOKIYA,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-20,20,Vulpix,60,Fire,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-21,21,Ninetales,90,Fire,Vulpix,Stage1,Rare,Satoshi Shirai,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-22,22,Moltres,120,Fire,,Basic,Rare,Mitsuhiro Arita,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-23,23,Victini,60,Fire,,Basic,Rare,Tomokazu Komiya,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-24,24,Victini-EX,110,Fire,,,Rare,Eske Yoshinob,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-25,25,Tepig,70,Fire,,Basic,Common,Kanako Eo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-26,26,Pignite,100,Fire,Tepig,Stage1,Uncommon,Kanako Eo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-27,27,Emboar,150,Fire,Pignite,Stage2,Rare,Kanako Eo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-28,28,Reshiram,130,Fire,,Basic,Rare,Aya Kusube,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-29,29,Reshiram-EX,180,Fire,,,Rare,Shizurow,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-30,30,Magikarp,30,Water,,Basic,Common,Midori Harada,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-31,31,Gyarados,130,Water,Magikarp,Stage1,Rare,hatachu,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-32,32,Articuno,120,Water,,Basic,Rare,Kagemaru Himeno,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-33,33,Piplup,60,Water,,Basic,Common,Mizue,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-34,34,Prinplup,90,Water,Piplup,Stage1,Uncommon,Miki Tanaka,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-35,35,Empoleon,140,Water,Prinplup,Stage2,Rare,kawayoo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-36,36,Phione,70,Water,,Basic,Rare,kawayoo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-37,37,Oshawott,60,Water,,Basic,Common,Midori Harada,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-38,38,Dewott,80,Water,Oshawott,Stage1,Uncommon,Mizue,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-39,39,Samurott,140,Water,Dewott,Stage2,Rare,Naoki Saito,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-40,40,Tympole,60,Water,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-41,41,Palpitoad,80,Water,Tympole,Stage1,Uncommon,Sachiko Adachi,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-42,42,Seismitoad,140,Water,Palpitoad,Stage2,Rare,Hajime Kusajima,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-43,43,Kyurem,130,Water,,Basic,Rare,Midori Harada,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-44,44,Kyurem-EX,180,Water,,,Rare,Shizurow,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-45,45,Keldeo-EX,170,Water,,,Rare,Toyste Beach,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-46,46,Zapdos,120,Lightning,,Basic,Rare,Kouki Saitou,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-47,47,Plusle,60,Lightning,,Basic,Uncommon,Kouki Saitou,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-48,48,Minun,60,Lightning,,Basic,Uncommon,Kouki Saitou,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-49,49,Emolga,70,Lightning,,Basic,Uncommon,Tomokazu Komiya,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-50,50,Thundurus,110,Lightning,,Basic,Rare,Yukiko Baba,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-51,51,Zekrom,130,Lightning,,Basic,Rare,Kagemaru Himeno,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-52,52,Zekrom-EX,180,Lightning,,,Rare,Shizurow,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-53,53,Mewtwo,120,Psychic,,Basic,Rare,Ayaka Yoshida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-54,54,Mewtwo-EX,170,Psychic,,,Rare,Shizurow,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-55,55,Natu,50,Psychic,,Basic,Common,Sanosuke Sakuma,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-56,56,Xatu,90,Psychic,Natu,Stage1,Rare,Kouki Saitou,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-57,57,Misdreavus,60,Psychic,,Basic,Common,Hitoshi Ariga,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-58,58,Mismagius,100,Psychic,Misdreavus,Stage1,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-59,59,Ralts,60,Psychic,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-60,60,Kirlia,80,Psychic,Ralts,Stage1,Uncommon,Yukiko Baba,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-61,61,Sableye,70,Psychic,,Basic,Uncommon,Hiroki Asanuma,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-62,62,Croagunk,70,Psychic,,Basic,Common,Sanosuke Sakuma,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-63,63,Toxicroak,90,Psychic,Croagunk,Stage1,Rare,Naoki Saito,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-64,64,Woobat,50,Psychic,,Basic,Common,Mizue,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-65,65,Swoobat,80,Psychic,Woobat,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-66,66,Sigilyph,90,Psychic,,Basic,Rare,Shigenori Negishi,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-67,67,Trubbish,70,Psychic,,Basic,Common,kawayoo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-68,68,Garbodor,100,Psychic,Trubbish,Stage1,Rare,Tomoaki Imakuni,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-69,69,Gothita,60,Psychic,,Basic,Common,TOKIYA,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-70,70,Gothita,50,Psychic,,Basic,Common,Akira Komayama,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-71,71,Gothorita,80,Psychic,Gothita,Stage1,Uncommon,kirisAki,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-72,72,Gothitelle,130,Psychic,Gothorita,Stage2,Rare,kawayoo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-73,73,Solosis,30,Psychic,,Basic,Common,HiRON,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-74,74,Solosis,30,Psychic,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-75,75,Duosion,60,Psychic,Solosis,Stage1,Uncommon,Suwama Chiaki,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-76,76,Reuniclus,90,Psychic,Duosion,Stage2,Rare,Kyoko Umemoto,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-77,77,Chandelure-EX,170,Psychic,,,Rare,Ryo Ueda,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-78,78,Meloetta,80,Psychic,,Basic,Rare,kawayoo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-79,79,Riolu,70,Fighting,,Basic,Uncommon,Naoyo Kimura,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-80,80,Lucario,100,Fighting,Riolu,Stage1,Rare,MAHOU,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-81,81,Gallade,140,Fighting,Kirlia,Stage2,Rare,Hajime Kusajima,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-82,82,Excadrill-EX,180,Fighting,,,Rare,Ryo Ueda,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-83,83,Stunfisk,100,Fighting,,Basic,Uncommon,Yuka Morii,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-84,84,Terrakion,130,Fighting,,Basic,Rare,Shigenori Negishi,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-85,85,Landorus,110,Fighting,,Basic,Rare,Midori Harada,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-86,86,Meloetta,90,Fighting,,Basic,Rare,Mizue,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-87,87,Spiritomb,80,Darkness,,Basic,Uncommon,Mitsuhiro Arita,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-88,88,Darkrai-EX,180,Darkness,,,Rare,Shizurow,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-89,89,Zorua,50,Darkness,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-90,90,Zoroark,100,Darkness,Zorua,Stage1,Rare,match,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-91,91,Cobalion,120,Metal,,Basic,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-92,92,Altaria,80,Dragon,Swablu,Stage1,Uncommon,Atsuko Nishida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-93,93,Rayquaza,120,Dragon,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-94,94,Gible,50,Dragon,,Basic,Common,sui,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-95,95,Gabite,80,Dragon,Gible,Stage1,Uncommon,Shigenori Negishi,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-96,96,Garchomp,140,Dragon,Gabite,Stage2,Rare,Masakazu Fukuda,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-97,97,Deino,60,Dragon,,Basic,Common,Akira Komayama,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-98,98,Zweilous,80,Dragon,Deino,Stage1,Uncommon,Yukiko Baba,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-99,99,Hydreigon,150,Dragon,Zweilous,Stage2,Rare,Tomokazu Komiya,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-100,100,Black Kyurem-EX,180,Dragon,,,Rare,Eske Yoshinob,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-101,101,White Kyurem-EX,180,Dragon,,,Rare,Eske Yoshinob,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-102,102,Lugia-EX,180,Colorless,,,Rare,Toyste Beach,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-103,103,Swablu,40,Colorless,,Basic,Common,Akira Komayama,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-104,104,Minccino,60,Colorless,,Basic,Common,Midori Harada,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-105,105,Cinccino,90,Colorless,Minccino,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-106,106,Druddigon,100,Colorless,,Basic,Uncommon,match,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-107,107,Bouffalant,100,Colorless,,Basic,Uncommon,Sanosuke Sakuma,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-108,108,Tornadus,110,Colorless,,Basic,Rare,Miki Tanaka,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-109,109,Bianca,,,,,Uncommon,Megumi Mizutani,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-110,110,Cedric Juniper,,,,,Uncommon,Ken Sugimori,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-111,111,Crushing Hammer,,,,,Uncommon,5ban Graphics,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-112,112,Energy Switch,,,,,Uncommon,Kent Kanetsuna,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-113,113,Double Colorless Energy,,,,,Uncommon,5ban Graphics,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-114,114,Reshiram,130,Fire,,Basic,Secret Rare,5ban Graphics,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-115,115,Zekrom,130,Lightning,,Basic,Secret Rare,5ban Graphics,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC1,RC1,Snivy,50,Grass,,Basic,Common,Eske Yoshinob,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC10,RC10,Gardevoir,120,Psychic,Kirlia,Stage2,Uncommon,Atsuko Nishida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC11,RC11,Meloetta-EX,110,Psychic,,,Rare,Eske Yoshinob,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC12,RC12,Stunfisk,90,Fighting,,Basic,Uncommon,Akira Komayama,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC13,RC13,Purrloin,50,Darkness,,Basic,Uncommon,Mizue,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC14,RC14,Eevee,60,Colorless,,Basic,Uncommon,kirisAki,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC15,RC15,Teddiursa,60,Colorless,,Basic,Common,kirisAki,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC16,RC16,Ursaring,130,Colorless,Teddiursa,Stage1,Common,Sanosuke Sakuma,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC17,RC17,Audino,80,Colorless,,Basic,Common,MAHOU,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC18,RC18,Minccino,60,Colorless,,Basic,Common,sui,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC19,RC19,Cinccino,90,Colorless,Minccino,Stage1,Uncommon,Kagemaru Himeno,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC2,RC2,Servine,80,Grass,Snivy,Stage1,Common,kirisAki,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC20,RC20,Elesa,,,,,Common,Yusuke Ohmura,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC21,RC21,Shaymin-EX,110,Grass,,,Ultra Rare,Kanako Eo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC22,RC22,Reshiram,130,Fire,,Basic,Ultra Rare,Kagemaru Himeno,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC23,RC23,Emolga,70,Lightning,,Basic,Ultra Rare,Atsuko Nishida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC24,RC24,Mew-EX,120,Psychic,,,Ultra Rare,MAHOU,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC25,RC25,Meloetta-EX,110,Psychic,,,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC3,RC3,Serperior,140,Grass,Servine,Stage2,Uncommon,Shin Nagasawa,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC4,RC4,Growlithe,80,Fire,,Basic,Uncommon,Sanosuke Sakuma,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC5,RC5,Torchic,60,Fire,,Basic,Common,Kanako Eo,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC6,RC6,Piplup,60,Water,,Basic,Uncommon,sui,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC7,RC7,Pikachu,60,Lightning,,Basic,Uncommon,Atsuko Nishida,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC8,RC8,Ralts,40,Psychic,,Basic,Common,Mizue,"normal, reverse, holo",Legendary Treasures,Black & White,140
bw11-RC9,RC9,Kirlia,70,Psychic,Ralts,Stage1,Common,Kagemaru Himeno,"normal, reverse, holo",Legendary Treasures,Black & White,140
