id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp6-1,1,Deoxys Normal Forme,90,Psychic,,Basic,Rare Holo,Kent Kanetsuna,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-2,2,Dragonite,140,Colorless,Dragonair,Stage2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-3,3,Froslass,90,Water,Snorunt,Stage1,Rare Holo,Kagemaru Himeno,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-4,4,Giratina,100,Psychic,,Basic,Rare Holo,Kazuaki Aihara,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-5,5,Gliscor,80,Fighting,Gligar,Stage1,Rare Holo,Kent Kanetsuna,"normal, reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-6,6,Heatran,100,Fire,,Basic,Rare Holo,Kent Kanetsuna,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-7,7,Kingdra,130,Water,Seadra,Stage2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-8,8,Luxray,120,Lightning,Luxio,Stage2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-9,9,Mamoswine,140,Water,Piloswine,Stage2,Rare Holo,Kouki Saitou,"normal, reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-10,10,Metagross,120,Metal,Metang,Stage2,Rare Holo,Kent Kanetsuna,"normal, reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-11,11,Mewtwo,80,Psychic,,Basic,Rare Holo,Ken Sugimori,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-12,12,Politoed,120,Water,Poliwhirl,Stage2,Rare Holo,Masakazu Fukuda,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-13,13,Probopass,90,Fighting,Nosepass,Stage1,Rare Holo,Kent Kanetsuna,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-14,14,Rayquaza,100,Colorless,,Basic,Rare Holo,Kent Kanetsuna,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-15,15,Regigigas,120,Colorless,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-16,16,Spiritomb,70,Psychic,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-17,17,Yanmega,90,Grass,Yanma,Stage1,Rare Holo,Kent Kanetsuna,"normal, reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-18,18,Armaldo,140,Fighting,Anorith,Stage2,Rare,Kazuaki Aihara,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-19,19,Azelf,70,Psychic,,Basic,Rare,Ken Sugimori,"normal, reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-20,20,Bellossom,100,Grass,Gloom,Stage2,Rare,Atsuko Nishida,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-21,21,Cradily,120,Grass,Lileep,Stage2,Rare,Masakazu Fukuda,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-22,22,Crawdaunt,90,Water,Corphish,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-23,23,Delcatty,80,Colorless,Skitty,Stage1,Rare,Kagemaru Himeno,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-24,24,Deoxys Attack Forme,80,Psychic,,Basic,Rare,Kent Kanetsuna,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-25,25,Deoxys Defense Forme,100,Psychic,,Basic,Rare,Kazuaki Aihara,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-26,26,Deoxys Speed Forme,70,Psychic,,Basic,Rare,Kazuaki Aihara,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-27,27,Ditto,60,Colorless,,Basic,Rare,Ken Sugimori,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-28,28,Forretress,90,Metal,Pineco,Stage1,Rare,Kent Kanetsuna,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-29,29,Groudon,100,Fighting,,Basic,Rare,Kazuaki Aihara,"normal, reverse",Legends Awakened,Diamond & Pearl,146
dp6-30,30,Heatran,100,Metal,,Basic,Rare,Kouki Saitou,"normal, reverse, holo",Legends Awakened,Diamond & Pearl,146
dp6-31,31,Jirachi,70,Metal,,Basic,Rare,Satoshi Ohta,"normal, reverse",Legends Awakened,Diamond & Pearl,146
