id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh11-001,001,Oddish,50,Grass,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-002,002,Gloom,80,Grass,Oddish,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-003,003,Vileplume,150,Grass,Gloom,Stage2,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-004,004,Paras,70,Grass,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-005,005,Parasect,120,Grass,Paras,Stage1,Rare,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-006,006,Wurmple,60,Grass,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-007,007,Silcoon,80,Grass,Wurmple,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-008,008,Beautifly,130,Grass,Silcoon,Stage2,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-009,009,Cascoon,80,Grass,Wurmple,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-010,010,Dustox,140,Grass,Cascoon,Stage2,Rare,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-011,011,Seedot,50,Grass,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-012,012,Nuzleaf,80,Grass,Seedot,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-013,013,Shiftry,160,Grass,Nuzleaf,Stage2,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-014,014,Roselia,70,Grass,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-015,015,Roserade,120,Grass,Roselia,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-016,016,Phantump,70,Grass,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-017,017,Trevenant,120,Grass,Phantump,Stage1,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-018,018,Blipbug,50,Grass,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-019,019,Dottler,80,Grass,Blipbug,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-020,020,Orbeetle,110,Grass,Dottler,Stage2,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-021,021,Slugma,70,Fire,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-022,022,Magcargo,130,Fire,Slugma,Stage1,Rare,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-023,023,Torkoal,110,Fire,,Basic,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-024,024,Litwick,60,Fire,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-025,025,Lampent,80,Fire,Litwick,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-026,026,Chandelure,150,Fire,Lampent,Stage2,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-027,027,Delphox V,210,Fire,,Basic,Holo Rare V,,holo,Lost Origin,Sword & Shield,247
swsh11-028,028,Litleo,70,Fire,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-029,029,Pyroar,120,Fire,Litleo,Stage1,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-030,030,Poliwag,60,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-031,031,Poliwhirl,90,Water,Poliwag,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-032,032,Politoed,140,Water,Poliwhirl,Stage2,Rare,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-033,033,Seel,70,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-034,034,Dewgong,120,Water,Seel,Stage1,Rare,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-035,035,Horsea,50,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-036,036,Seadra,80,Water,Horsea,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-037,037,Kingdra,150,Water,Seadra,Stage2,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-038,038,Luvdisc,70,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-039,039,Shellos,70,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-040,040,Finneon,50,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-041,041,Lumineon,90,Water,Finneon,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-042,042,Snover,80,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-043,043,Abomasnow,140,Water,Snover,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-044,044,Hisuian Basculin,50,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-045,045,Hisuian Basculegion,110,Water,Hisuian Basculin,Stage1,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-046,046,Ducklett,60,Water,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-047,047,Swanna,120,Water,Ducklett,Stage1,Uncommon,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-048,048,Kyurem V,220,Water,,Basic,Holo Rare V,,holo,Lost Origin,Sword & Shield,247
swsh11-049,049,Kyurem VMAX,330,Water,Kyurem V,VMAX,Holo Rare VMAX,,holo,Lost Origin,Sword & Shield,247
swsh11-050,050,Cramorant,110,Water,,Basic,Rare,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-051,051,Glastrier,130,Water,,Basic,Holo Rare,,"reverse, holo",Lost Origin,Sword & Shield,247
swsh11-052,052,Pikachu,60,Lightning,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-053,053,Raichu,120,Lightning,Pikachu,Stage1,Rare,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-054,054,Electrike,60,Lightning,,Basic,Common,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-055,055,Manectric,120,Lightning,Electrike,Stage1,Rare,,"normal, reverse",Lost Origin,Sword & Shield,247
swsh11-056,056,Magnezone V,210,Lightning,,Basic,Holo Rare VMAX,,holo,Lost Origin,Sword & Shield,247
swsh11-057,057,Magnezone VSTAR,270,Lightning,Magnezone V,VSTAR,Holo Rare VSTAR,,holo,Lost Origin,Sword & Shield,247
