id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh11-001,001,Mystherbe,50,Plante,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-002,002,Ortide,80,Plante,Mystherbe,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-003,003,Rafflesia,150,Plante,Ortide,Niveau 2,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-004,004,Paras,70,Plante,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-005,005,Parasect,120,Plante,Paras,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-006,006,Chenipotte,60,Plante,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-007,007,Armulys,80,Plante,Chenipotte,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-008,008,Charmillon,130,Plante,Armulys,Niveau 2,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-009,009,Blindalys,80,Plante,Chenipotte,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-010,010,Papinox,140,Plante,Blindalys,Niveau 2,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-011,011,Grainipiot,50,Plante,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-012,012,Pifeuil,80,Plante,Grainipiot,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-013,013,Tengalice,160,Plante,Pifeuil,Niveau 2,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-014,014,Rosélia,70,Plante,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-015,015,Roserade,120,Plante,Rosélia,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-016,016,Brocélôme,70,Plante,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-017,017,Desséliande,120,Plante,Brocélôme,Niveau 1,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-018,018,Larvadar,50,Plante,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-019,019,Coléodôme,80,Plante,Larvadar,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-020,020,Astronelle,110,Plante,Coléodôme,Niveau 2,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-021,021,Limagma,70,Feu,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-022,022,Volcaropod,130,Feu,Limagma,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-023,023,Chartor,110,Feu,,De base,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-024,024,Funécire,60,Feu,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-025,025,Mélancolux,80,Feu,Funécire,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-026,026,Lugulabre,150,Feu,Mélancolux,Niveau 2,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-027,027,Goupelin V,210,Feu,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-028,028,Hélionceau,70,Feu,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-029,029,Némélios,120,Feu,Hélionceau,Niveau 1,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-030,030,Ptitard,60,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-031,031,Têtarte,90,Eau,Ptitard,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-032,032,Tarpaud,140,Eau,Têtarte,Niveau 2,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-033,033,Otaria,70,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-034,034,Lamantine,120,Eau,Otaria,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-035,035,Hypotrempe,50,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-036,036,Hypocéan,80,Eau,Hypotrempe,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-037,037,Hyporoi,150,Eau,Hypocéan,Niveau 2,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-038,038,Lovdisc,70,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-039,039,Sancoki,70,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-040,040,Écayon,50,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-041,041,Luminéon,90,Eau,Écayon,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-042,042,Blizzi,80,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-043,043,Blizzaroi,140,Eau,Blizzi,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-044,044,Bargantua de Hisui,50,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-045,045,Paragruel de Hisui,110,Eau,Bargantua de Hisui,Niveau 1,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-046,046,Couaneton,60,Eau,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-047,047,Lakmécygne,120,Eau,Couaneton,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-048,048,Kyurem V,220,Eau,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-049,049,Kyurem VMAX,330,Eau,Kyurem-V,ESCOUADE,Holo Rare VMAX,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-050,050,Nigosier,110,Eau,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-051,051,Blizzeval,130,Eau,,De base,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-052,052,Pikachu,60,Électrique,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-053,053,Raichu,120,Électrique,Pikachu,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-054,054,Dynavolt,60,Électrique,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-055,055,Élecsprint,120,Électrique,Dynavolt,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-056,056,Magnézone V,210,Électrique,,De base,Holo Rare VMAX,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-057,057,Magnézone VSTAR,270,Électrique,Magnézone-V,VSTAR,Holo Rare VSTAR,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-058,058,Motisma V,190,Électrique,,De base,Holo Rare VMAX,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-059,059,Anchwatt,30,Électrique,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-060,060,Lampéroie,80,Électrique,Anchwatt,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-061,061,Ohmassacre,160,Électrique,Lampéroie,Niveau 2,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-062,062,Mélofée,60,Psy,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-063,063,Mélodelfe,100,Psy,Mélofée,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-064,064,Fantominus,40,Psy,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-065,065,Spectrum,70,Psy,Fantominus,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-066,066,Ectoplasma,120,Psy,Spectrum,Niveau 2,Holo Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-067,067,M. Mime,90,Psy,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-068,068,Lippoutou,100,Psy,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-069,069,Gardevoir Radieux,130,Psy,,De base,Radieux Rare,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-070,070,Ténéfix,80,Psy,,De base,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-071,071,Mysdibule,90,Psy,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-072,072,Polichombr,60,Psy,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-073,073,Branette,100,Psy,Polichombr,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-074,074,Cresselia,120,Psy,,De base,Holo Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-075,075,Zorua de Hisui,60,Psy,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-076,076,Zoroark de Hisui,120,Psy,Zorua de Hisui,Niveau 1,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-077,077,Sepiatop,60,Psy,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-078,078,Sepiatroce,110,Psy,Sepiatop,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-079,079,Guérilande,70,Psy,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-080,080,Mimiqui,70,Psy,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-081,081,Spectreval,120,Psy,,De base,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-082,082,Amovénus V,210,Psy,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-083,083,Caninos de Hisui,70,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-084,084,Arcanin de Hisui,130,Combat,Caninos de Hisui,Niveau 1,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-085,085,Tartard,160,Combat,Têtarte,Niveau 2,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-086,086,Machoc,70,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-087,087,Machopeur,100,Combat,Machoc,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-088,088,Mackogneur,150,Combat,Machopeur,Niveau 2,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-089,089,Rhinocorne,100,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-090,090,Rhinoféros,120,Combat,Rhinocorne,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-091,091,Rhinastoc,190,Combat,Rhinoféros,Niveau 2,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-092,092,Ptéra V,210,Combat,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-093,093,Ptéra VSTAR,260,Combat,Ptéra-V,VSTAR,Holo Rare VSTAR,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-094,094,Simularbre,110,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-095,095,Scorplane,60,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-096,096,Scorvol,120,Combat,Scorplane,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-097,097,Makuhita,80,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-098,098,Hariyama,140,Combat,Makuhita,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-099,099,Méditikka,70,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-100,100,Charmina,110,Combat,Méditikka,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-101,101,Relicanth,90,Combat,,De base,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-102,102,Tritosor,130,Combat,Sancoki,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-103,103,Kungfouine,60,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-104,104,Shaofouine,90,Combat,Kungfouine,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-105,105,Démétéros,120,Combat,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-106,106,Opermine,70,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-107,107,Golgopathe,130,Combat,Opermine,Niveau 1,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-108,108,Strassie,90,Combat,,De base,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-109,109,Rocabot,60,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-110,110,Hexadron,100,Combat,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-111,111,Dolman,140,Combat,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-112,112,Mimigal,50,Obscurité,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-113,113,Migalos,90,Obscurité,Mimigal,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-114,114,Cornèbre,60,Obscurité,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-115,115,Corboss,120,Obscurité,Cornèbre,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-116,116,Séviper,110,Obscurité,,De base,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-117,117,Spiritomb,60,Obscurité,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-118,118,Drascore V,210,Obscurité,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-119,119,Drascore VSTAR,270,Obscurité,Drascore-V,VSTAR,Holo Rare VSTAR,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-120,120,Darkrai,120,Obscurité,,De base,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-121,121,Sepiatop,50,Obscurité,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-122,122,Hoopa,120,Obscurité,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-123,123,Farfurex de Hisui Radieux,130,Obscurité,,De base,Radieux Rare,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-124,124,Steelix Radieux,170,Métal,,De base,Radieux Rare,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-125,125,Archéomire,70,Métal,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-126,126,Archéodong,130,Métal,Archéomire,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-127,127,Limonde de Galar,100,Métal,,De base,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-128,128,Magearna,90,Métal,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-129,129,Berserkatt de Galar V,200,Métal,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-130,130,Giratina V,220,Dragon,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-131,131,Giratina VSTAR,280,Dragon,Giratina-V,VSTAR,Holo Rare VSTAR,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-132,132,Mucuscule,60,Dragon,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-133,133,Colimucus de Hisui,90,Dragon,Mucuscule,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-134,134,Muplodocus de Hisui,160,Dragon,Colimucus de Hisui,Niveau 2,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-135,135,Muplodocus de Hisui V,220,Dragon,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-136,136,Muplodocus de Hisui VSTAR,270,Dragon,Muplodocus de Hisui-V,VSTAR,Holo Rare VSTAR,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-137,137,Roucarnage V,210,Incolore,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-138,138,Excelangue,110,Incolore,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-139,139,Coudlangue,140,Incolore,Excelangue,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-140,140,Porygon,60,Incolore,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-141,141,Porygon2,90,Incolore,Porygon,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-142,142,Porygon-Z,150,Incolore,Porygon2,Niveau 2,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-143,143,Ronflex,150,Incolore,,De base,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-144,144,Capumain,60,Incolore,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-145,145,Capidextre,90,Incolore,Capumain,Niveau 1,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-146,146,Zoroark de Hisui V,210,Incolore,,De base,Holo Rare V,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-147,147,Zoroark de Hisui VSTAR,270,Incolore,Zoroark de Hisui-V,VSTAR,Holo Rare VSTAR,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-148,148,Frison,130,Incolore,,De base,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-149,149,Dodoala,100,Incolore,,De base,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-150,150,Rongourmand,60,Incolore,,De base,Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-151,151,Rongrigou,130,Incolore,Rongourmand,Niveau 1,Rare,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-152,152,Smarceus,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-153,153,Marcia,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-154,154,Boîte à Désastre,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-155,155,Expérience de Nikolaï,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-156,156,Pompe à Dégâts,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-157,157,Kiméra,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-158,158,Graham,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-159,159,Mademoiselle,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-160,160,Lac Savoir,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-161,161,Ville Perdue,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-162,162,Aspirateur Perdu,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-163,163,Portail Mirage,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-164,164,Les Détroussœurs,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-165,165,Masque de Panique,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-166,166,Armand,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-167,167,Cardus,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-168,168,Caisse à Outils,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-169,169,Percupio,,,,,Holo Rare,,"reverse, holo",Origine Perdue,Épée et Bouclier,247
swsh11-170,170,Bras à Remontoir,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-171,171,Énergie Cadeau,,,,,Peu Commune,,"normal, reverse",Origine Perdue,Épée et Bouclier,247
swsh11-172,172,Électrode de Hisui V,210,Plante,,De base,Ultra Rare,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-173,173,Goupelin V,210,Feu,,De base,Ultra Rare,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-174,174,Kyurem V,220,Eau,,De base,Ultra Rare,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-175,175,Magnézone V,210,Électrique,,De base,Ultra Rare,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-176,176,Motisma V,190,Électrique,,De base,Ultra Rare,,holo,Origine Perdue,Épée et Bouclier,247
swsh11-177,177,Motisma V,190,Électrique,,De base,Ultra Rare,,holo,Origine Perdue,Épée et Bouclier,247
