id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm8-1,1,Tangela,80,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-2,2,Tangrowth,140,Grass,Tangela,Stage1,Rare,Atsuko Nishida,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-3,3,Scyther,80,Grass,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-4,4,Pinsir,110,Grass,,Basic,Uncommon,Suwama Chiaki,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-5,5,Chikorita,60,Grass,,Basic,Common,Aya Kusube,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-6,6,Chikorita,70,Grass,,Basic,Common,sowsow,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-7,7,Bayleef,100,Grass,Chikorita,Stage1,Uncommon,Kagemaru Himeno,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-8,8,Meganium,150,Grass,Bayleef,Stage2,Rare,nagimiso,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-9,9,Spinarak,50,Grass,,Basic,Common,Misa Tsutsui,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-10,10,Ariados,110,Grass,Spinarak,Stage1,Uncommon,Suwama Chiaki,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-11,11,Hoppip,30,Grass,,Basic,Common,Mizue,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-12,12,Hoppip,40,Grass,,Basic,Common,kawayoo,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-13,13,Skiploom,60,Grass,Hoppip,Stage1,Uncommon,Hitoshi Ariga,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-14,14,Jumpluff,70,Grass,Skiploom,Stage2,Rare,Masakazu Fukuda,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-15,15,Pineco,60,Grass,,Basic,Common,Misa Tsutsui,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-16,16,Shuckle,60,Grass,,Basic,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-17,17,Shuckle GX,170,Grass,,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-18,18,Heracross,120,Grass,,Basic,Uncommon,Ken Sugimori,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-19,19,Celebi ◇,90,Grass,,Basic,Rare,Masakazu Fukuda,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-20,20,Treecko,60,Grass,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-21,21,Grovyle,80,Grass,Treecko,Stage1,Uncommon,Ayaka Yoshida,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-22,22,Sceptile GX,230,Grass,Grovyle,,Ultra Rare,Yoshinobu Saito,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-23,23,Wurmple,60,Grass,,Basic,Common,kirisAki,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-24,24,Wurmple,60,Grass,,Basic,Common,Mina Nakai,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-25,25,Silcoon,80,Grass,Wurmple,Stage1,Uncommon,Satoshi Shirai,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-26,26,Beautifly,130,Grass,Silcoon,Stage2,Rare,0313,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-27,27,Cascoon,70,Grass,Wurmple,Stage1,Uncommon,Aya Kusube,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-28,28,Dustox,140,Grass,Cascoon,Stage2,Rare,Midori Harada,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-29,29,Nincada,40,Grass,,Basic,Common,SATOSHI NAKAI,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-30,30,Ninjask,80,Grass,Nincada,Stage1,Uncommon,kirisAki,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-31,31,Combee,40,Grass,,Basic,Common,Akira Komayama,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
sm8-32,32,Vespiquen,120,Grass,Combee,Stage1,Uncommon,chibi,"normal, reverse, holo",Lost Thunder,Sun & Moon,236
