id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
mep-001,001,Meganie,160,Pflanze,,Rang 2,Keine,Uninori,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-002,002,Intelleon,150,Wasser,,Rang 2,Keine,Kazumasa Yasukuni,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-003,003,Simsala,140,Psycho,,Rang 2,Keine,cochi8i,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-004,004,Lunastein,110,Kampf,,Basis,Keine,Ounishi,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-005,005,Driftlon,70,Psycho,,Basis,Keine,Shimaris Yukichi,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-006,006,Drifzepeli,110,Psycho,,Rang 1,Keine,Shimaris Yukichi,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-007,007,Enton,70,Wasser,,Basis,Keine,Jiro Sasumo,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-008,008,Entoron,120,Wasser,,Rang 1,Keine,Jiro Sasumo,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-009,009,Simsala,140,Psycho,,Rang 2,Keine,Aya Kusube,holo,MEP Black Star Promos,Mega-Entwicklung,10
mep-010,010,Riolu,80,Kampf,,Basis,Keine,GOSSAN,holo,MEP Black Star Promos,Mega-Entwicklung,10
