id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
2012bw-1,1,Servine,80,Grass,,Stage1,None,Kagemaru Himeno,holo,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-2,2,Pansage,70,Grass,,Basic,None,Kouki Saitou,holo,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-3,3,Dwebble,60,Grass,,Basic,None,MAHOU,holo,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-4,4,Pignite,100,Fire,,Stage1,None,Kouki Saitou,,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-5,5,Dewott,90,Water,,Stage1,None,Masakazu Fukuda,,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-6,6,Emolga,70,Lightning,,Basic,None,Kouki Saitou,holo,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-7,7,Woobat,60,Psychic,,Basic,None,Masakazu Fukuda,holo,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-8,8,Drilbur,70,Fighting,,Basic,None,match,holo,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-9,9,Purrloin,60,Darkness,,Basic,None,Atsuko Nishida,holo,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-10,10,Scraggy,60,Darkness,,Basic,None,Masakazu Fukuda,,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-11,11,Klang,80,Metal,,Stage1,None,Kouki Saitou,,Macdonald's Collection 2012,McDonald's Collection,12
2012bw-12,12,Axew,60,Colorless,,Basic,None,Atsuko Nishida,,Macdonald's Collection 2012,McDonald's Collection,12
