id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
2016xy-1,1,Vulpix,,,,Basic,None,kirisAki,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-2,2,Torchic,,,,Basic,None,sui,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-3,3,Fennekin,,,,Basic,None,5ban Graphics,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-4,4,Magikarp,,,,Basic,None,Akira Komayama,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-5,5,Totodile,,,,Basic,None,Kagemaru Himeno,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-6,6,Pikachu,,,,Basic,None,Naoki Saito,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-7,7,Scraggy,,,,Basic,None,Tomokazu Komiya,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-8,8,Jigglypuff,,,,Basic,None,Kanako Eo,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-9,9,Togepi,,,,Basic,None,HiRON,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-10,10,Dedenne,,,,Basic,None,5ban Graphics,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-11,11,Meowth,,,,Basic,None,Kanako Eo,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
2016xy-12,12,Eevee,,,,Basic,None,Kouki Saitou,"normal, reverse, holo",Macdonald's Collection 2016,McDonald's Collection,12
