id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
2017sm-1,1,Rowlet,60,Grass,,Basic,None,,,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-2,2,Grubbin,70,Grass,,Basic,None,,holo,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-3,3,Litten,70,Fire,,Basic,None,,,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-4,4,Popplio,70,Water,,Basic,None,,holo,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-5,5,Pikachu,70,Lightning,,Basic,None,,holo,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-6,6,Cosmog,60,Psychic,,Basic,None,,holo,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-7,7,Crabrawler,80,Fighting,,Basic,None,,holo,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-8,8,Alolan Meowth,70,Darkness,,Basic,None,,,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-9,9,Alolan Diglett,50,Metal,,Basic,None,,holo,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-10,10,Cutiefly,30,Fairy,,Basic,None,,,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-11,11,Pikipek,50,Colorless,,Basic,None,,,Macdonald's Collection 2017,McDonald's Collection,12
2017sm-12,12,Yungoos,70,Colorless,,Basic,None,,,Macdonald's Collection 2017,McDonald's Collection,12
