id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
2021swsh-1,1,Bulbasaur,70,Grass,,Basic,None,Mizue,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-2,2,Chikorita,70,Grass,,Basic,None,sowsow,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-3,3,Treecko,60,Grass,,Basic,None,Akira Komayama,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-4,4,Turtwig,80,Grass,,Basic,None,OOYAMA,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-5,5,Snivy,60,Grass,,Basic,None,Ken Sugimori,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-6,6,Chespin,60,Grass,,Basic,None,5ban Graphics,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-7,7,Rowlet,60,Grass,,Basic,None,Megumi Mizutani,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-8,8,Grookey,60,Grass,,Basic,None,kirisAki,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-9,9,Charmander,70,Fire,,Basic,None,Kagemaru Himeno,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-10,10,Cyndaquil,70,Fire,,Basic,None,kirisAki,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-11,11,Torchic,60,Fire,,Basic,None,sui,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-12,12,Chimchar,60,Fire,Chimchar,Basic,None,Kouki Saitou,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-13,13,Tepig,70,Fire,,Basic,None,Ken Sugimori,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-14,14,Fennekin,60,Fire,,Basic,None,5ban Graphics,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-15,15,Litten,70,Fire,,Basic,None,Akira Komayama,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-16,16,Scorbunny,60,Fire,,Basic,None,Hitoshi Ariga,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-17,17,Squirtle,60,Water,,Basic,None,tetsuya koizumi,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-18,18,Totodile,60,Water,,Basic,None,Kagemaru Himeno,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-19,19,Mudkip,60,Water,,Basic,None,Aya Kusube,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-20,20,Piplup,70,Water,,Basic,None,Shibuzoh.,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-21,21,Oshawott,60,Water,,Basic,None,Ken Sugimori,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-22,22,Froakie,60,Water,,Basic,None,5ban Graphics,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-23,23,Popplio,70,Water,,Basic,None,Kouki Saitou,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-24,24,Sobble,60,Water,,Basic,None,Mizue,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
2021swsh-25,25,Pikachu,60,Lightning,,Basic,None,Sanosuke Sakuma,"normal, holo",Macdonald's Collection 2021,McDonald's Collection,25
