id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
2021swsh-5,5,Vipélierre,60,Plante,,De base,Sans Rareté,Ken Sugimori,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-6,6,Marisson,60,Plante,,De base,Sans Rareté,5ban Graphics,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-7,7,Brindibou,60,Plante,,De base,Sans Rareté,Megumi Mizutani,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-8,8,Ouistempo,60,Plante,,De base,Sans Rareté,kirisAki,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-9,9,Salamèche,70,Feu,,De base,Sans Rareté,Kagemaru Himeno,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-10,10,Héricendre,70,Feu,,De base,Sans Rareté,kirisAki,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-11,11,Poussifeu,60,Feu,,De base,Sans Rareté,sui,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-12,12,Chimpenfeu,60,Feu,Ouisticram,De base,Sans Rareté,Kouki Saitou,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-13,13,Gruikui,70,Feu,,De base,Sans Rareté,Ken Sugimori,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-14,14,Feunnec,60,Feu,,De base,Sans Rareté,5ban Graphics,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-15,15,Flamiaou,70,Feu,,De base,Sans Rareté,Akira Komayama,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-16,16,Flambino,60,Feu,,De base,Sans Rareté,Hitoshi Ariga,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-17,17,Carapuce,60,Eau,,De base,Sans Rareté,tetsuya koizumi,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-18,18,Kaiminus,60,Eau,,De base,Sans Rareté,Kagemaru Himeno,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-19,19,Gobou,60,Eau,,De base,Sans Rareté,Aya Kusube,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-20,20,Tiplouf,70,Eau,,De base,Sans Rareté,Shibuzoh.,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-21,21,Moustillon,60,Eau,,De base,Sans Rareté,Ken Sugimori,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-22,22,Grenousse,60,Eau,,De base,Sans Rareté,5ban Graphics,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-23,23,Otaquin,70,Eau,,De base,Sans Rareté,Kouki Saitou,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-24,24,Larméléon,60,Eau,,De base,Sans Rareté,Mizue,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
2021swsh-25,25,Pikachu,60,Électrique,,De base,Sans Rareté,Sanosuke Sakuma,"normal, holo",Promo McDonald's 2021,Promo McDonald's,25
