id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp5-1,1,Arktos,100,Wasser,,Basis,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-2,2,Cresselia,70,Psycho,,Basis,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-3,3,Darkrai,80,Unlicht,,Basis,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-4,4,Dialga,100,Metall,,Basis,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-5,5,Glaziola,80,Wasser,,Rang 1,"Selten, Holografisch",Atsuko Nishida,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-6,6,Kabutops,120,Kampf,,Rang 2,"Selten, Holografisch",Kouki Saitou,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-7,7,Folipurba,90,Pflanze,,Rang 1,"Selten, Holografisch",Kouki Saitou,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-8,8,Manaphy,70,Wasser,,Basis,"Selten, Holografisch",Suwama Chiaki,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-9,9,Mewtu,90,Psycho,,Basis,"Selten, Holografisch",Kent Kanetsuna,"normal, reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-10,10,Lavados,100,Feuer,,Basis,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-11,11,Palkia,100,Wasser,,Basis,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-12,12,Phione,60,Wasser,,Basis,"Selten, Holografisch",Daisuke Ito,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-13,13,Rotom,60,Elektro,,Basis,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-14,14,Zapdos,100,Elektro,,Basis,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Majestätischer Morgen,Diamant & Perl,100
dp5-15,15,Aerodactyl,80,Farblos,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Majestätischer Morgen,Diamant & Perl,100
dp5-16,16,Bronzong,90,Psycho,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Majestätischer Morgen,Diamant & Perl,100
dp5-17,17,Impoleon,130,Wasser,,Rang 2,Selten,Kent Kanetsuna,"normal, reverse",Majestätischer Morgen,Diamant & Perl,100
