id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp5-1,1,Articuno,100,Water,,Basic,Rare Holo,Masakazu Fukuda,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-2,2,Cresselia,70,Psychic,,Basic,Rare Holo,Mitsuhiro Arita,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-3,3,Darkrai,80,Darkness,,Basic,Rare Holo,Mitsuhiro Arita,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-4,4,Dialga,100,Metal,,Basic,Rare Holo,Masakazu Fukuda,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-5,5,Glaceon,80,Water,Eevee,Stage1,Rare Holo,Atsuko Nishida,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-6,6,Kabutops,120,Fighting,Kabuto,Stage2,Rare Holo,Kouki Saitou,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-7,7,Leafeon,90,Grass,Eevee,Stage1,Rare Holo,Kouki Saitou,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-8,8,Manaphy,70,Water,,Basic,Rare Holo,Suwama Chiaki,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-9,9,Mewtwo,90,Psychic,,Basic,Rare Holo,Kent Kanetsuna,"normal, reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-10,10,Moltres,100,Fire,,Basic,Rare Holo,Kagemaru Himeno,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-11,11,Palkia,100,Water,,Basic,Rare Holo,Masakazu Fukuda,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-12,12,Phione,60,Water,,Basic,Rare Holo,Daisuke Ito,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-13,13,Rotom,60,Lightning,,Basic,Rare Holo,Kagemaru Himeno,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-14,14,Zapdos,100,Lightning,,Basic,Rare Holo,Mitsuhiro Arita,"reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-15,15,Aerodactyl,80,Colorless,Old Amber,Stage1,Rare,Kouki Saitou,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-16,16,Bronzong,90,Psychic,Bronzor,Stage1,Rare,Kouki Saitou,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-17,17,Empoleon,130,Water,Prinplup,Stage2,Rare,Kent Kanetsuna,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-18,18,Espeon,80,Psychic,Eevee,Stage1,Rare,Naoyo Kimura,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-19,19,Flareon,90,Fire,Eevee,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-20,20,Glaceon,90,Water,Eevee,Stage1,Rare,Masakazu Fukuda,"normal, reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-21,21,Hippowdon,100,Fighting,Hippopotas,Stage1,Rare,Kent Kanetsuna,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-22,22,Infernape,110,Fire,Monferno,Stage2,Rare,Daisuke Ito,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-23,23,Jolteon,80,Lightning,Eevee,Stage1,Rare,Midori Harada,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-24,24,Leafeon,90,Grass,Eevee,Stage1,Rare,Masakazu Fukuda,"normal, reverse, holo",Majestic Dawn,Diamond & Pearl,100
dp5-25,25,Minun,60,Lightning,,Basic,Rare,Suwama Chiaki,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
dp5-26,26,Omastar,110,Water,Omanyte,Stage2,Rare,Masakazu Fukuda,"normal, reverse",Majestic Dawn,Diamond & Pearl,100
