id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
me01-001,001,Bisasam,80,Pflanze,,Basis,Häufig,HYOGONOSUKE,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-002,002,Bisaknosp,110,Pflanze,Bisasam,Rang 1,Häufig,Takumi Wada,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-003,003,Mega-Bisaflor-ex,380,Pflanze,Bisaknosp,Rang 2,Doppelselten,5ban Graphics,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-004,004,Owei,60,Pflanze,,Basis,Häufig,aspara,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-005,005,Kokowei,140,Pflanze,Owei,Rang 1,Ungewöhnlich,Kazumasa Yasukuni,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-006,006,Tangela,80,Pflanze,,Basis,Häufig,Yuriko Akase,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-007,007,Tangoloss,150,Pflanze,Tangela,Rang 1,Ungewöhnlich,REND,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-008,008,Endivie,70,Pflanze,,Basis,Häufig,kamonabe,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-009,009,Lorblatt,110,Pflanze,Endivie,Rang 1,Häufig,nisimono,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-010,010,Meganie,160,Pflanze,Lorblatt,Rang 2,Selten,Yoriyuki Ikegami,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-011,011,Pottrott,80,Pflanze,,Basis,Ungewöhnlich,Shinya Komatsu,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-012,012,Celebi,80,Pflanze,,Basis,Ungewöhnlich,Naoki Saito,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-013,013,Samurzel,60,Pflanze,,Basis,Häufig,Miki Tanaka,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-014,014,Blanas,100,Pflanze,Samurzel,Rang 1,Häufig,takashi shiraishi,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-015,015,Tengulist,160,Pflanze,Blanas,Rang 2,Ungewöhnlich,Uninori,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-016,016,Nincada,50,Pflanze,,Basis,Häufig,Kuroimori,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-017,017,Ninjask,80,Pflanze,Nincada,Rang 1,Ungewöhnlich,Apios,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-018,018,Moruda,120,Pflanze,,Basis,Häufig,Haru Akasaka,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
me01-019,019,Vulpix,70,Feuer,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Mega-Entwicklung,Mega-Entwicklung,188
