id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
me01-001,001,Bulbasaur,80,Grass,,Basic,Common,HYOGONOSUKE,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-002,002,Ivysaur,110,Grass,Bulbasaur,Stage1,Common,Takumi Wada,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-003,003,Mega Venusaur ex,380,Grass,Ivysaur,Stage2,Double rare,5ban Graphics,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-004,004,Exeggcute,60,Grass,,Basic,Common,aspara,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-005,005,Exeggutor,140,Grass,Exeggcute,Stage1,Uncommon,Kazumasa Yasukuni,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-006,006,Tangela,80,Grass,,Basic,Common,Yuriko Akase,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-007,007,Tangrowth,150,Grass,Tangela,Stage1,Uncommon,REND,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-008,008,Chikorita,70,Grass,,Basic,Common,kamonabe,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-009,009,Bayleef,110,Grass,Chikorita,Stage1,Common,nisimono,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-010,010,Meganium,160,Grass,Bayleef,Stage2,Rare,Yoriyuki Ikegami,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-011,011,Shuckle,80,Grass,,Basic,Uncommon,Shinya Komatsu,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-012,012,Celebi,80,Grass,,Basic,Uncommon,Naoki Saito,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-013,013,Seedot,60,Grass,,Basic,Common,Miki Tanaka,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-014,014,Nuzleaf,100,Grass,Seedot,Stage1,Common,takashi shiraishi,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-015,015,Shiftry,160,Grass,Nuzleaf,Stage2,Uncommon,Uninori,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-016,016,Nincada,50,Grass,,Basic,Common,Kuroimori,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-017,017,Ninjask,80,Grass,Nincada,Stage1,Uncommon,Apios,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-018,018,Dhelmise,120,Grass,,Basic,Common,Haru Akasaka,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-019,019,Vulpix,70,Fire,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-020,020,Ninetales,120,Fire,Vulpix,Stage1,Uncommon,satoma,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-021,021,Numel,80,Fire,,Basic,Common,Wintr Wandr,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-022,022,Mega Camerupt ex,340,Fire,Numel,Stage1,Double rare,5ban Graphics,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-023,023,Litleo,70,Fire,,Basic,Common,Kurata So,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-024,024,Pyroar,130,Fire,Litleo,Stage1,Uncommon,KEIICHIRO ITO,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-025,025,Volcanion,130,Fire,,Basic,Uncommon,GIDORA,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-026,026,Scorbunny,70,Fire,,Basic,Common,svlt,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-027,027,Raboot,100,Fire,Scorbunny,Stage1,Common,Narumi Sato,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-028,028,Cinderace,160,Fire,Raboot,Stage2,Rare,REND,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-029,029,Sizzlipede,80,Fire,,Basic,Common,GIDORA,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-030,030,Centiskorch,140,Fire,Sizzlipede,Stage1,Uncommon,Shiburingaru,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-031,031,Chi-Yu,110,Fire,,Basic,Uncommon,Gemi,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-032,032,Mantine,110,Water,,Basic,Common,Shimaris Yukichi,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-033,033,Corphish,80,Water,,Basic,Common,Sanosuke Sakuma,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-034,034,Kyogre,150,Water,,Basic,Rare,Nisota Niso,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-035,035,Snover,90,Water,,Basic,Common,Pani Kobayashi,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-036,036,Mega Abomasnow ex,350,Water,Snover,Stage1,Double rare,5ban Graphics,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-037,037,Clauncher,80,Water,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-038,038,Clawitzer,130,Water,Clauncher,Stage1,Rare,Anesaki Dynamic,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-039,039,Sobble,70,Water,,Basic,Common,Taira Akitsu,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-040,040,Drizzile,100,Water,Sobble,Stage1,Common,Souichirou Gunjima,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-041,041,Inteleon,150,Water,Drizzile,Stage2,Uncommon,akagi,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-042,042,Snom,50,Water,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-043,043,Frosmoth,110,Water,Snom,Stage1,Uncommon,miki kudo,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-044,044,Eiscue,110,Water,,Basic,Common,Akira Komayama,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-045,045,Magnemite,70,Lightning,,Basic,Common,Krgc,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-046,046,Magneton,90,Lightning,Magnemite,Stage1,Common,Saboteri,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-047,047,Magnezone,160,Lightning,Magneton,Stage2,Uncommon,nagimiso,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-048,048,Raikou,120,Lightning,,Basic,Rare,Takumi Wada,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-049,049,Electrike,70,Lightning,,Basic,Common,Naoki Saito,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-050,050,Mega Manectric ex,330,Lightning,Electrike,Stage1,Double rare,5ban Graphics,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-051,051,Pachirisu,70,Lightning,,Basic,Common,tono,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-052,052,Helioptile,70,Lightning,,Basic,Common,Yuka Morii,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-053,053,Heliolisk,120,Lightning,Helioptile,Stage1,Common,Nakamura Ippan,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-054,054,Abra,50,Psychic,,Basic,Common,Orca,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-055,055,Kadabra,80,Psychic,Abra,Stage1,Uncommon,Saboteri,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-056,056,Alakazam,140,Psychic,Kadabra,Stage2,Rare,Bun Toujo,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-057,057,Jynx,110,Psychic,,Basic,Common,Minahamu,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-058,058,Ralts,70,Psychic,,Basic,Common,Terada Tera,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-059,059,Kirlia,100,Psychic,Ralts,Stage1,Common,satoma,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-060,060,Mega Gardevoir ex,360,Psychic,Kirlia,Stage2,Double rare,takuyoa,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-061,061,Shedinja,60,Psychic,Nincada,Stage1,Uncommon,IKEDA Saki,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-062,062,Spoink,70,Psychic,,Basic,Common,toi8,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-063,063,Grumpig,120,Psychic,Spoink,Stage1,Uncommon,cochi8i,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-064,064,Xerneas,120,Psychic,,Basic,Rare,Kazumasa Yasukuni,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-065,065,Greavard,80,Psychic,,Basic,Common,Narumi Sato,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-066,066,Houndstone,140,Psychic,Greavard,Stage1,Uncommon,matazo,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-067,067,Gimmighoul,70,Psychic,,Basic,Common,Takeshi Nakamura,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-068,068,Sandshrew,70,Fighting,,Basic,Common,Shinji Kanda,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-069,069,Sandslash,120,Fighting,Sandshrew,Stage1,Common,imoniii,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-070,070,Onix,120,Fighting,,Basic,Common,Uta,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-071,071,Tyrogue,30,Fighting,,Basic,Common,OKUBO,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-072,072,Makuhita,80,Fighting,,Basic,Common,Jerky,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-073,073,Hariyama,150,Fighting,Makuhita,Stage1,Rare,GOSSAN,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-074,074,Lunatone,110,Fighting,,Basic,Rare,Whisker,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-075,075,Solrock,110,Fighting,,Basic,Uncommon,Whisker,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-076,076,Riolu,80,Fighting,,Basic,Common,hncl,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-077,077,Mega Lucario ex,340,Fighting,Riolu,Stage1,Double rare,5ban Graphics,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-078,078,Croagunk,70,Fighting,,Basic,Common,matazo,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-079,079,Toxicroak,130,Fighting,Croagunk,Stage1,Common,Hasuno,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-080,080,Marshadow,90,Fighting,,Basic,Uncommon,Tomomi Ozaki,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-081,081,Stonjourner,130,Fighting,,Basic,Uncommon,Hitoshi Ariga,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-082,082,Nacli,70,Fighting,,Basic,Common,sowsow,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-083,083,Naclstack,110,Fighting,Nacli,Stage1,Common,kodama,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-084,084,Garganacl,180,Fighting,Naclstack,Stage2,Uncommon,danciao,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-085,085,Crawdaunt,130,Darkness,Corphish,Stage1,Uncommon,kawayoo,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-086,086,Mega Absol ex,280,Darkness,,Basic,Double rare,aky CG Works,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
me01-087,087,Spiritomb,80,Darkness,,Basic,Uncommon,mingo,"normal, reverse, holo",Mega Evolution,Mega Evolution,188
