id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
me01-001,001,Bulbizarre,80,Plante,,De base,Commune,HYOGONOSUKE,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-002,002,Herbizarre,110,Plante,Bulbizarre,Niveau 1,Commune,Takumi Wada,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-003,003,Méga-Florizarre-ex,380,Plante,Herbizarre,Niveau 2,Double rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-004,004,Noeunoeuf,60,Plante,,De base,Commune,aspara,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-005,005,Noadkoko,140,Plante,Noeunoeuf,Niveau 1,Peu Commune,Kazumasa Yasukuni,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-006,006,Saquedeneu,80,Plante,,De base,Commune,Yuriko Akase,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-007,007,Bouldeneu,150,Plante,Saquedeneu,Niveau 1,Peu Commune,REND,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-008,008,Germignon,70,Plante,,De base,Commune,kamonabe,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-009,009,Macronium,110,Plante,Germignon,Niveau 1,Commune,nisimono,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-010,010,Méganium,160,Plante,Macronium,Niveau 2,Rare,Yoriyuki Ikegami,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-011,011,Caratroc,80,Plante,,De base,Peu Commune,Shinya Komatsu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-012,012,Celebi,80,Plante,,De base,Peu Commune,Naoki Saito,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-013,013,Grainipiot,60,Plante,,De base,Commune,Miki Tanaka,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-014,014,Pifeuil,100,Plante,Grainipiot,Niveau 1,Commune,takashi shiraishi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-015,015,Tengalice,160,Plante,Pifeuil,Niveau 2,Peu Commune,Uninori,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-016,016,Ningale,50,Plante,,De base,Commune,Kuroimori,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-017,017,Ninjask,80,Plante,Ningale,Niveau 1,Peu Commune,Apios,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-018,018,Sinistrail,120,Plante,,De base,Commune,Haru Akasaka,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-019,019,Goupix,70,Feu,,De base,Commune,Naoyo Kimura,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-020,020,Feunard,120,Feu,Goupix,Niveau 1,Peu Commune,satoma,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-021,021,Chamallot,80,Feu,,De base,Commune,Wintr Wandr,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-022,022,Méga-Camérupt-ex,340,Feu,Chamallot,Niveau 1,Double rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-023,023,Hélionceau,70,Feu,,De base,Commune,Kurata So,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-024,024,Némélios,130,Feu,Hélionceau,Niveau 1,Peu Commune,KEIICHIRO ITO,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-025,025,Volcanion,130,Feu,,De base,Peu Commune,GIDORA,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-026,026,Flambino,70,Feu,,De base,Commune,svlt,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-027,027,Lapyro,100,Feu,Flambino,Niveau 1,Commune,Narumi Sato,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-028,028,Pyrobut,160,Feu,Lapyro,Niveau 2,Rare,REND,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-029,029,Grillepattes,80,Feu,,De base,Commune,GIDORA,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-030,030,Scolocendre,140,Feu,Grillepattes,Niveau 1,Peu Commune,Shiburingaru,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-031,031,Yuyu,110,Feu,,De base,Peu Commune,Gemi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-032,032,Démanta,110,Eau,,De base,Commune,Shimaris Yukichi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-033,033,Écrapince,80,Eau,,De base,Commune,Sanosuke Sakuma,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-034,034,Kyogre,150,Eau,,De base,Rare,Nisota Niso,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-035,035,Blizzi,90,Eau,,De base,Commune,Pani Kobayashi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-036,036,Méga-Blizzaroi-ex,350,Eau,Blizzi,Niveau 1,Double rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-037,037,Flingouste,80,Eau,,De base,Commune,Tomokazu Komiya,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-038,038,Gamblast,130,Eau,Flingouste,Niveau 1,Rare,Anesaki Dynamic,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-039,039,Larméléon,70,Eau,,De base,Commune,Taira Akitsu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-040,040,Arrozard,100,Eau,Larméléon,Niveau 1,Commune,Souichirou Gunjima,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-041,041,Lézargus,150,Eau,Arrozard,Niveau 2,Peu Commune,akagi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-042,042,Frissonille,50,Eau,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-043,043,Beldeneige,110,Eau,Frissonille,Niveau 1,Peu Commune,miki kudo,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-044,044,Bekaglaçon,110,Eau,,De base,Commune,Akira Komayama,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-045,045,Magnéti,70,Électrique,,De base,Commune,Krgc,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-046,046,Magnéton,90,Électrique,Magnéti,Niveau 1,Commune,Saboteri,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-047,047,Magnézone,160,Électrique,Magnéton,Niveau 2,Peu Commune,nagimiso,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-048,048,Raikou,120,Électrique,,De base,Rare,Takumi Wada,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-049,049,Dynavolt,70,Électrique,,De base,Commune,Naoki Saito,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-050,050,Méga-Élecsprint-ex,330,Électrique,Dynavolt,Niveau 1,Double rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-051,051,Pachirisu,70,Électrique,,De base,Commune,tono,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-052,052,Galvaran,70,Électrique,,De base,Commune,Yuka Morii,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-053,053,Iguolta,120,Électrique,Galvaran,Niveau 1,Commune,Nakamura Ippan,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-054,054,Abra,50,Psy,,De base,Commune,Orca,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-055,055,Kadabra,80,Psy,Abra,Niveau 1,Peu Commune,Saboteri,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-056,056,Alakazam,140,Psy,Kadabra,Niveau 2,Rare,Bun Toujo,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-057,057,Lippoutou,110,Psy,,De base,Commune,Minahamu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-058,058,Tarsal,70,Psy,,De base,Commune,Terada Tera,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-059,059,Kirlia,100,Psy,Tarsal,Niveau 1,Commune,satoma,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-060,060,Méga-Gardevoir-ex,360,Psy,Kirlia,Niveau 2,Double rare,takuyoa,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-061,061,Munja,60,Psy,Ningale,Niveau 1,Peu Commune,IKEDA Saki,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-062,062,Spoink,70,Psy,,De base,Commune,toi8,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-063,063,Groret,120,Psy,Spoink,Niveau 1,Peu Commune,cochi8i,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-064,064,Xerneas,120,Psy,,De base,Rare,Kazumasa Yasukuni,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-065,065,Toutombe,80,Psy,,De base,Commune,Narumi Sato,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-066,066,Tomberro,140,Psy,Toutombe,Niveau 1,Peu Commune,matazo,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-067,067,Mordudor,70,Psy,,De base,Commune,Takeshi Nakamura,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-068,068,Sabelette,70,Combat,,De base,Commune,Shinji Kanda,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-069,069,Sablaireau,120,Combat,Sabelette,Niveau 1,Commune,imoniii,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-070,070,Onix,120,Combat,,De base,Commune,Uta,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-071,071,Debugant,30,Combat,,De base,Commune,OKUBO,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-072,072,Makuhita,80,Combat,,De base,Commune,Jerky,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-073,073,Hariyama,150,Combat,Makuhita,Niveau 1,Rare,GOSSAN,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-074,074,Séléroc,110,Combat,,De base,Rare,Whisker,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-075,075,Solaroc,110,Combat,,De base,Peu Commune,Whisker,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-076,076,Riolu,80,Combat,,De base,Commune,hncl,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-077,077,Méga-Lucario-ex,340,Combat,Riolu,Niveau 1,Double rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-078,078,Cradopaud,70,Combat,,De base,Commune,matazo,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-079,079,Coatox,130,Combat,Cradopaud,Niveau 1,Commune,Hasuno,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-080,080,Marshadow,90,Combat,,De base,Peu Commune,Tomomi Ozaki,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-081,081,Dolman,130,Combat,,De base,Peu Commune,Hitoshi Ariga,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-082,082,Selutin,70,Combat,,De base,Commune,sowsow,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-083,083,Amassel,110,Combat,Selutin,Niveau 1,Commune,kodama,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-084,084,Gigansel,180,Combat,Amassel,Niveau 2,Peu Commune,danciao,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-085,085,Colhomard,130,Obscurité,Écrapince,Niveau 1,Peu Commune,kawayoo,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-086,086,Méga-Absol-ex,280,Obscurité,,De base,Double rare,aky CG Works,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-087,087,Spiritomb,80,Obscurité,,De base,Peu Commune,mingo,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-088,088,Yveltal,110,Obscurité,,De base,Rare,akagi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-089,089,Goupilou,70,Obscurité,,De base,Commune,Souichirou Gunjima,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-090,090,Roublenard,120,Obscurité,Goupilou,Niveau 1,Commune,ryoma uratsuka,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-091,091,Gribouraigne,60,Obscurité,,De base,Commune,osare,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-092,092,Tag-Tag,100,Obscurité,Gribouraigne,Niveau 1,Commune,Dsuke,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-093,093,Steelix,200,Métal,Onix,Niveau 1,Rare,Anesaki Dynamic,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-094,094,Méga-Mysdibule-ex,270,Métal,,De base,Double rare,aky CG Works,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-095,095,Dialga,140,Métal,,De base,Rare,Teeziro,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-096,096,Forgerette,70,Métal,,De base,Commune,You Iribi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-097,097,Forgella,90,Métal,Forgerette,Niveau 1,Commune,KEIICHIRO ITO,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-098,098,Forgelina,160,Métal,Forgella,Niveau 2,Peu Commune,toriyufu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-099,099,Gromago,130,Métal,Mordudor,Niveau 1,Peu Commune,Yukihiro Tada,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-100,100,Méga-Latias-ex,280,Dragon,,De base,Double rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-101,101,Latios,130,Dragon,,De base,Peu Commune,Uninori,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-102,102,Piafabec,60,Incolore,,De base,Commune,Scav,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-103,103,Rapasdepic,100,Incolore,Piafabec,Niveau 1,Commune,Saboteri,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-104,104,Méga-Kangourex-ex,300,Incolore,,De base,Double rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-105,105,Cadoizo,90,Incolore,,De base,Commune,Naoyo Kimura,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-106,106,Écrémeuh,120,Incolore,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-107,107,Laporeille,70,Incolore,,De base,Commune,ryoma uratsuka,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-108,108,Lockpin,110,Incolore,Laporeille,Niveau 1,Commune,Oswaldo KATO,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-109,109,Manglouton,70,Incolore,,De base,Commune,Mékayu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-110,110,Argouste,100,Incolore,Manglouton,Niveau 1,Peu Commune,Shigenori Negishi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-111,111,Nounourson,70,Incolore,,De base,Commune,Shibuzoh.,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-112,112,Chelours,130,Incolore,Nounourson,Niveau 1,Commune,HYOGONOSUKE,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-113,113,Espièglerie de Margie,,,,,Peu Commune,Yuu Nishida,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-114,114,Ordres du Boss,,,,,Peu Commune,NC Empire,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-115,115,Échange d'Énergie,,,,,Commune,Studio Bora Inc.,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-116,116,Gong de Combat,,,,,Peu Commune,Toyste Beach,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-117,117,Forêt de Vitalité,,,,,Peu Commune,AYUMI ODASHIMA,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-118,118,Défense de Fer,,,,,Peu Commune,Studio Bora Inc.,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-119,119,Détermination de Lilie,,,,,Peu Commune,Atsushi Furusawa,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-120,120,Négociation de Major Bob,,,,,Peu Commune,Hideki Ishikawa,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-121,121,Méga Signal,,,,,Peu Commune,inose yukie,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-122,122,Jardin Mystère,,,,,Peu Commune,AYUMI ODASHIMA,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-123,123,Dame du Centre Pokémon,,,,,Commune,Tomowaka,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-124,124,Puissance Premium Pro,,,,,Peu Commune,Toyste Beach,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-125,125,Super Bonbon,,,,,Commune,Studio Bora Inc.,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-126,126,Repousse,,,,,Peu Commune,Studio Bora Inc.,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-127,127,Ruines Risquées,,,,,Peu Commune,imoniii,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-128,128,Compteur de Temps Étrange,,,,,Peu Commune,Toyste Beach,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-129,129,Plage de Surf,,,,,Peu Commune,AYUMI ODASHIMA,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-130,130,Échange,,,,,Commune,Studio Bora Inc.,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-131,131,Hyper Ball,,,,,Commune,Ayaka Yoshida,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-132,132,Compassion de Timmy,,,,,Peu Commune,Iori Suzuki,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-133,133,Bulbizarre,80,Plante,,De base,Illustration rare,mashu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-134,134,Herbizarre,110,Plante,Bulbizarre,Niveau 1,Illustration rare,mashu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-135,135,Noadkoko,140,Plante,Noeunoeuf,Niveau 1,Illustration rare,Yukihiro Tada,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-136,136,Caratroc,80,Plante,,De base,Illustration rare,OKUBO,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-137,137,Ninjask,80,Plante,Ningale,Niveau 1,Illustration rare,Tetsu Kayama,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-138,138,Goupix,70,Feu,,De base,Illustration rare,saino misaki,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-139,139,Hélionceau,70,Feu,,De base,Illustration rare,Teeziro,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-140,140,Blizzi,90,Eau,,De base,Illustration rare,Nurikabe,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-141,141,Gamblast,130,Eau,Flingouste,Niveau 1,Illustration rare,Mori Yuu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-142,142,Lézargus,150,Eau,Arrozard,Niveau 2,Illustration rare,Ligton,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-143,143,Galvaran,70,Électrique,,De base,Illustration rare,Akira Komayama,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-144,144,Munja,60,Psy,Ningale,Niveau 1,Illustration rare,Tetsu Kayama,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-145,145,Tomberro,140,Psy,Toutombe,Niveau 1,Illustration rare,Arai Kiriko,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-146,146,Marshadow,90,Combat,,De base,Illustration rare,0313,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-147,147,Gigansel,180,Combat,Amassel,Niveau 2,Illustration rare,Yano Keiji,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-148,148,Spiritomb,80,Obscurité,,De base,Illustration rare,IKEDA Saki,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-149,149,Gribouraigne,60,Obscurité,,De base,Illustration rare,Shimaris Yukichi,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-150,150,Steelix,200,Métal,Onix,Niveau 1,Illustration rare,Tonji Matsuno,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-151,151,Piafabec,60,Incolore,,De base,Illustration rare,MINAMINAMI Take,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-152,152,Cadoizo,90,Incolore,,De base,Illustration rare,Takeshi Nakamura,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-153,153,Argouste,100,Incolore,Manglouton,Niveau 1,Illustration rare,Mina Nakai,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-154,154,Nounourson,70,Incolore,,De base,Illustration rare,OKACHEKE,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-155,155,Méga-Florizarre-ex,380,Plante,Herbizarre,Niveau 2,Ultra Rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-156,156,Méga-Camérupt-ex,340,Feu,Chamallot,Niveau 1,Ultra Rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-157,157,Méga-Blizzaroi-ex,350,Eau,Blizzi,Niveau 1,Ultra Rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-158,158,Méga-Élecsprint-ex,330,Électrique,Dynavolt,Niveau 1,Ultra Rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-159,159,Méga-Gardevoir-ex,360,Psy,Kirlia,Niveau 2,Ultra Rare,takuyoa,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-160,160,Méga-Lucario-ex,340,Combat,Riolu,Niveau 1,Ultra Rare,takuyoa,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-161,161,Méga-Absol-ex,280,Obscurité,,De base,Ultra Rare,aky CG Works,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-162,162,Méga-Mysdibule-ex,270,Métal,,De base,Ultra Rare,aky CG Works,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-163,163,Méga-Latias-ex,280,Dragon,,De base,Ultra Rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-164,164,Méga-Kangourex-ex,300,Incolore,,De base,Ultra Rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-165,165,Espièglerie de Margie,,,,,Ultra Rare,Yuu Nishida,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-166,166,Ballon,,,,,Ultra Rare,Studio Bora Inc.,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-167,167,Poffin Copain-Copain,,,,,Ultra Rare,AYUMI ODASHIMA,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-168,168,Gong de Combat,,,,,Ultra Rare,Toyste Beach,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-169,169,Détermination de Lilie,,,,,Ultra Rare,Atsushi Furusawa,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-170,170,Négociation de Major Bob,,,,,Ultra Rare,Hideki Ishikawa,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-171,171,Méga Signal,,,,,Ultra Rare,inose yukie,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-172,172,Jardin Mystère,,,,,Ultra Rare,AYUMI ODASHIMA,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-173,173,Civière Nocturne,,,,,Ultra Rare,Toyste Beach,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-174,174,Puissance Premium Pro,,,,,Ultra Rare,Toyste Beach,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-175,175,Super Bonbon,,,,,Ultra Rare,Studio Bora Inc.,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-176,176,Compassion de Timmy,,,,,Ultra Rare,Iori Suzuki,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-177,177,Méga-Florizarre-ex,380,Plante,Herbizarre,Niveau 2,Illustration spéciale rare,mashu,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-178,178,Méga-Gardevoir-ex,360,Psy,Kirlia,Niveau 2,Illustration spéciale rare,Raita Kazama,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-179,179,Méga-Lucario-ex,340,Combat,Riolu,Niveau 1,Illustration spéciale rare,Atsushi Furusawa,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-180,180,Méga-Absol-ex,280,Obscurité,,De base,Illustration spéciale rare,Mitsuhiro Arita,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-181,181,Méga-Latias-ex,280,Dragon,,De base,Illustration spéciale rare,AKIRA EGAWA,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-182,182,Méga-Kangourex-ex,300,Incolore,,De base,Illustration spéciale rare,GOTO minori,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-183,183,Espièglerie de Margie,,,,,Illustration spéciale rare,sui,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-184,184,Détermination de Lilie,,,,,Illustration spéciale rare,satoma,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-185,185,Négociation de Major Bob,,,,,Illustration spéciale rare,osare,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-186,186,Compassion de Timmy,,,,,Illustration spéciale rare,Jiro Sasumo,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-187,187,Méga-Gardevoir-ex,360,Psy,Kirlia,Niveau 2,Méga Hyper Rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
me01-188,188,Méga-Lucario-ex,340,Combat,Riolu,Niveau 1,Méga Hyper Rare,5ban Graphics,"normal, reverse, holo",Méga-Évolution,Méga-Évolution,188
