id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp2-1,1,Stollos,130,Metall,,Rang 2,"Selten, Holografisch",Kouki Saitou,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-2,2,Simsala,100,Psycho,,Rang 2,"Selten, Holografisch",Kouki Saitou,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-3,3,Ambidiffel,80,Farblos,,Rang 1,"Selten, Holografisch",Kouki Saitou,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-4,4,Tobutz,60,Psycho,,Basis,"Selten, Holografisch",Ryo Ueda,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-5,5,Heiteira,130,Farblos,,Rang 1,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-6,6,Bronzong,90,Metall,,Rang 1,"Selten, Holografisch",Daisuke Ito,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-7,7,Celebi,60,Pflanze,,Basis,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-8,8,Impergator,130,Wasser,,Rang 2,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-9,9,Knakrack,130,Farblos,,Rang 2,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-10,10,Kramshef,90,Unlicht,,Rang 1,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-11,11,Lumineon,80,Wasser,,Rang 1,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-12,12,Magbrant,100,Feuer,,Rang 1,"Selten, Holografisch",Hiroaki Ito,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-13,13,Meganie,130,Pflanze,,Rang 2,"Selten, Holografisch",Daisuke Ito,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-14,14,Vesprit,60,Psycho,,Basis,"Selten, Holografisch",Ryo Ueda,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-15,15,Raichu,90,Elektro,,Rang 1,"Selten, Holografisch",Daisuke Ito,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-16,16,Tornupto,110,Feuer,,Rang 2,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-17,17,Despotar,140,Unlicht,,Rang 2,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-18,18,Selfe,60,Psycho,,Basis,"Selten, Holografisch",Ryo Ueda,"reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-19,19,Rexblisar,100,Pflanze,,Rang 1,Selten,Kazuyuki Kano,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-20,20,Ariados,80,Pflanze,,Rang 1,Selten,Midori Harada,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-21,21,Bollterus,130,Metall,,Rang 2,Selten,Kazuyuki Kano,"normal, reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-22,22,Palimpalim,70,Psycho,,Basis,Selten,Daisuke Ito,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-23,23,Iksbat,100,Psycho,,Rang 2,Selten,Masakazu Fukuda,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-24,24,Kokowei,90,Pflanze,,Rang 1,Selten,Masakazu Fukuda,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-25,25,Firnontor,90,Wasser,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-26,26,Garados,120,Wasser,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-27,27,Zirpeise,80,Pflanze,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-28,28,Voltenso,80,Elektro,,Rang 1,Selten,Atsuko Nishida,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-29,29,Mantax,80,Wasser,,Basis,Selten,Masakazu Fukuda,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-30,30,Pantimos,70,Psycho,,Basis,Selten,Kagemaru Himeno,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-31,31,Nidoqueen,120,Psycho,,Rang 2,Selten,Kagemaru Himeno,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-32,32,Vulnona,80,Feuer,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-33,33,Rameidon,120,Kampf,,Rang 2,Selten,Kazuyuki Kano,"normal, reverse, holo",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-34,34,Letarking,140,Farblos,,Rang 2,Selten,Kouki Saitou,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
dp2-35,35,Mogelbaum,80,Kampf,,Basis,Selten,Atsuko Nishida,"normal, reverse",Geheimnisvolle Schätze,Diamant & Perl,124
