id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp2-1,1,Aggron,130,Metal,Lairon,Stage2,Rare Holo,Kouki Saitou,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-2,2,Alakazam,100,Psychic,Kadabra,Stage2,Rare Holo,Kouki Saitou,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-3,3,Ambipom,80,Colorless,Aipom,Stage1,Rare Holo,Kouki Saitou,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-4,4,Azelf,60,Psychic,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-5,5,Blissey,130,Colorless,Chansey,Stage1,Rare Holo,Kagemaru Himeno,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-6,6,Bronzong,90,Metal,Bronzor,Stage1,Rare Holo,Daisuke Ito,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-7,7,Celebi,60,Grass,,Basic,Rare Holo,Kagemaru Himeno,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-8,8,Feraligatr,130,Water,Croconaw,Stage2,Rare Holo,Kazuyuki Kano,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-9,9,Garchomp,130,Colorless,Gabite,Stage2,Rare Holo,Kazuyuki Kano,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-10,10,Honchkrow,90,Darkness,Murkrow,Stage1,Rare Holo,Kazuyuki Kano,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-11,11,Lumineon,80,Water,Finneon,Stage1,Rare Holo,Mitsuhiro Arita,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-12,12,Magmortar,100,Fire,Magmar,Stage1,Rare Holo,Hiroaki Ito,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-13,13,Meganium,130,Grass,Bayleef,Stage2,Rare Holo,Daisuke Ito,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-14,14,Mesprit,60,Psychic,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-15,15,Raichu,90,Lightning,Pikachu,Stage1,Rare Holo,Daisuke Ito,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-16,16,Typhlosion,110,Fire,Quilava,Stage2,Rare Holo,Kazuyuki Kano,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-17,17,Tyranitar,140,Darkness,Pupitar,Stage2,Rare Holo,Masakazu Fukuda,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-18,18,Uxie,60,Psychic,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-19,19,Abomasnow,100,Grass,Snover,Stage1,Rare,Kazuyuki Kano,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-20,20,Ariados,80,Grass,Spinarak,Stage1,Rare,Midori Harada,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-21,21,Bastiodon,130,Metal,Shieldon,Stage2,Rare,Kazuyuki Kano,"normal, reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-22,22,Chimecho,70,Psychic,,Basic,Rare,Daisuke Ito,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-23,23,Crobat,100,Psychic,Golbat,Stage2,Rare,Masakazu Fukuda,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-24,24,Exeggutor,90,Grass,Exeggcute,Stage1,Rare,Masakazu Fukuda,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-25,25,Glalie,90,Water,Snorunt,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-26,26,Gyarados,120,Water,Magikarp,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-27,27,Kricketune,80,Grass,Kricketot,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-28,28,Manectric,80,Lightning,Electrike,Stage1,Rare,Atsuko Nishida,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-29,29,Mantine,80,Water,,Basic,Rare,Masakazu Fukuda,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-30,30,Mr. Mime,70,Psychic,,Basic,Rare,Kagemaru Himeno,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-31,31,Nidoqueen,120,Psychic,Nidorina,Stage2,Rare,Kagemaru Himeno,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-32,32,Ninetales,80,Fire,Vulpix,Stage1,Rare,Kouki Saitou,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-33,33,Rampardos,120,Fighting,Cranidos,Stage2,Rare,Kazuyuki Kano,"normal, reverse, holo",Mysterious Treasures,Diamond & Pearl,124
dp2-34,34,Slaking,140,Colorless,Vigoroth,Stage2,Rare,Kouki Saitou,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-35,35,Sudowoodo,80,Fighting,,Basic,Rare,Atsuko Nishida,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-36,36,Toxicroak,90,Psychic,Croagunk,Stage1,Rare,Daisuke Ito,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-37,37,Unown I,50,Psychic,,Basic,Rare,Daisuke Ito,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-38,38,Ursaring,100,Colorless,Teddiursa,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-39,39,Walrein,130,Water,Sealeo,Stage2,Rare,Midori Harada,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-40,40,Whiscash,90,Water,Barboach,Stage1,Rare,Daisuke Ito,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-41,41,Bayleef,80,Grass,Chikorita,Stage1,Uncommon,Midori Harada,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-42,42,Chingling,40,Psychic,,Basic,Uncommon,Emi Yoshida,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-43,43,Cranidos,70,Fighting,Skull Fossil,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-44,44,Croconaw,80,Water,Totodile,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-45,45,Dewgong,90,Water,Seel,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-46,46,Dodrio,80,Colorless,Doduo,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-47,47,Dunsparce,60,Colorless,,Basic,Uncommon,Midori Harada,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-48,48,Gabite,80,Colorless,Gible,Stage1,Uncommon,Ken Sugimori,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-49,49,Girafarig,70,Colorless,,Basic,Uncommon,Midori Harada,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-50,50,Golbat,70,Psychic,Zubat,Stage1,Uncommon,Kazuyuki Kano,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-51,51,Graveler,90,Fighting,Geodude,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-52,52,Happiny,60,Colorless,,Basic,Uncommon,Yuka Morii,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-53,53,Lairon,80,Metal,Aron,Stage1,Uncommon,Midori Harada,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-54,54,Magmar,70,Fire,,Basic,Uncommon,Mitsuhiro Arita,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-55,55,Masquerain,70,Grass,Surskit,Stage1,Uncommon,Midori Harada,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-56,56,Nidorina,80,Psychic,Nidoran♀,Stage1,Uncommon,Atsuko Nishida,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-57,57,Octillery,80,Water,Remoraid,Stage1,Uncommon,Kagemaru Himeno,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
dp2-58,58,Parasect,90,Grass,Paras,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse",Mysterious Treasures,Diamond & Pearl,124
