id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A1a-001,001,Exeggcute,50,Grass,,Basic,One Diamond,Yuka Morii,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-002,002,Exeggutor,130,Grass,Exeggcute,Stage1,Two Diamond,Masakazu Fukuda,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-003,003,Celebi ex,130,Grass,,Basic,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-004,004,Snivy,70,Grass,,Basic,One Diamond,Kagemaru Himeno,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-005,005,Servine,80,Grass,Snivy,Stage1,Two Diamond,Shigenori Negishi,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-006,006,Serperior,110,Grass,Servine,Stage2,Three Diamond,Yoshioka,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-007,007,Morelull,60,Grass,,Basic,One Diamond,Saya Tsuruta,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-008,008,Shiinotic,90,Grass,Morelull,Stage1,Two Diamond,Mizue,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-009,009,Dhelmise,100,Grass,,Basic,Two Diamond,Hasuno,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-010,010,Ponyta,60,Fire,,Basic,One Diamond,Tomokazu Komiya,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-011,011,Rapidash,100,Fire,Ponyta,Stage1,Two Diamond,AKIRA EGAWA,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-012,012,Magmar,80,Fire,,Basic,Two Diamond,sui,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-013,013,Larvesta,80,Fire,,Basic,One Diamond,kawayoo,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-014,014,Volcarona,120,Fire,Larvesta,Stage1,Three Diamond,DOM,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-015,015,Salandit,60,Fire,,Basic,One Diamond,Naoki Saito,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-016,016,Salazzle,80,Fire,Salandit,Stage1,One Diamond,Mitsuhiro Arita,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-017,017,Magikarp,30,Water,,Basic,One Diamond,Mitsuhiro Arita,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-018,018,Gyarados ex,180,Water,Magikarp,Stage1,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-019,019,Vaporeon,120,Water,Eevee,Stage1,Three Diamond,LINNE,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-020,020,Finneon,60,Water,,Basic,One Diamond,sui,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-021,021,Lumineon,80,Water,Finneon,Stage1,Two Diamond,Sekio,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-022,022,Chewtle,80,Water,,Basic,One Diamond,Taiga Kayama,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-023,023,Drednaw,130,Water,Chewtle,Stage1,Two Diamond,nisimono,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-024,024,Cramorant,80,Water,,Basic,One Diamond,Jerky,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-025,025,Pikachu,60,Lightning,,Basic,One Diamond,Naoyo Kimura,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-026,026,Raichu,120,Lightning,Pikachu,Stage1,Three Diamond,hncl,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-027,027,Electabuzz,70,Lightning,,Basic,Two Diamond,Naoyo Kimura,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-028,028,Joltik,40,Lightning,,Basic,One Diamond,MINAMINAMI Take,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-029,029,Galvantula,80,Lightning,Joltik,Stage1,Two Diamond,Mitsuhiro Arita,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-030,030,Dedenne,60,Lightning,,Basic,One Diamond,Taiga Kayama,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-031,031,Mew,60,Psychic,,Basic,Three Diamond,Saya Tsuruta,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
A1a-032,032,Mew ex,130,Psychic,,Basic,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Mythical Island,Pokémon TCG Pocket,86
