id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo4-1,1,Dark Ampharos,70,Lightning,Flaaffy,Stage2,Rare,Kagemaru Himeno,"holo, 1st edition",Neo Destiny,Neo,113
neo4-2,2,Dark Crobat,70,Grass,Zubat,Stage2,Rare,,"holo, 1st edition",Neo Destiny,Neo,113
neo4-3,3,Dark Donphan,60,Fighting,Phanpy,Stage1,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-4,4,Dark Espeon,60,Psychic,Eevee,Stage1,Rare,Atsuko Nishida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-5,5,Dark Feraligatr,80,Water,Croconaw,Stage2,Rare,Atsuko Nishida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-6,6,Dark Gengar,70,Psychic,Haunter,Stage2,Rare,Aya Kusube,"holo, 1st edition",Neo Destiny,Neo,113
neo4-7,7,Dark Houndoom,60,Fire,Houndour,Stage1,Rare,Kagemaru Himeno,"holo, 1st edition",Neo Destiny,Neo,113
neo4-8,8,Dark Porygon2,60,Colorless,Porygon,Stage1,Rare,,"holo, 1st edition",Neo Destiny,Neo,113
neo4-9,9,Dark Scizor,70,Metal,Scyther,Stage1,Rare,Mitsuhiro Arita,"holo, 1st edition",Neo Destiny,Neo,113
neo4-10,10,Dark Typhlosion,80,Fire,Quilava,Stage2,Rare,Mitsuhiro Arita,"holo, 1st edition",Neo Destiny,Neo,113
neo4-11,11,Dark Tyranitar,90,Fighting,Pupitar,Stage2,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-12,12,Light Arcanine,100,Fire,Growlithe,Stage1,Rare,Atsuko Nishida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-13,13,Light Azumarill,80,Water,Marill,Stage1,Rare,Yuka Morii,"holo, 1st edition",Neo Destiny,Neo,113
neo4-14,14,Light Dragonite,100,Colorless,Dragonair,Stage2,Rare,Atsuko Nishida,"holo, 1st edition",Neo Destiny,Neo,113
neo4-15,15,Light Togetic,60,Colorless,Togepi,Stage1,Rare,Naoyo Kimura,"holo, 1st edition",Neo Destiny,Neo,113
neo4-16,16,Miracle Energy,,,,,Rare,Milky Isobe,"holo, 1st edition",Neo Destiny,Neo,113
neo4-17,17,Dark Ariados,60,Grass,Spinarak,Stage1,Rare,Toshinao Aoki,"normal, 1st edition",Neo Destiny,Neo,113
neo4-18,18,Dark Magcargo,60,Fire,Slugma,Stage1,Rare,Toshinao Aoki,"normal, 1st edition",Neo Destiny,Neo,113
neo4-19,19,Dark Omastar,70,Water,Omanyte,Stage2,Rare,Tomokazu Komiya,"normal, 1st edition",Neo Destiny,Neo,113
neo4-20,20,Dark Slowking,60,Psychic,Slowpoke,Stage1,Rare,Tomokazu Komiya,"normal, 1st edition",Neo Destiny,Neo,113
neo4-21,21,Dark Ursaring,60,Colorless,Teddiursa,Stage1,Rare,Mitsuhiro Arita,"normal, 1st edition",Neo Destiny,Neo,113
neo4-22,22,Light Dragonair,80,Colorless,Dratini,Stage1,Rare,Atsuko Nishida,"normal, 1st edition",Neo Destiny,Neo,113
neo4-23,23,Light Lanturn,80,Lightning,Chinchou,Stage1,Rare,Miki Tanaka,"normal, 1st edition",Neo Destiny,Neo,113
neo4-24,24,Light Ledian,70,Grass,Ledyba,Stage1,Rare,Tomokazu Komiya,"normal, 1st edition",Neo Destiny,Neo,113
neo4-25,25,Light Machamp,100,Fighting,Machoke,Stage2,Rare,Miki Tanaka,"normal, 1st edition",Neo Destiny,Neo,113
neo4-26,26,Light Piloswine,90,Water,Swinub,Stage1,Rare,Yukiko Baba,"normal, 1st edition",Neo Destiny,Neo,113
neo4-27,27,Unown [G],40,Psychic,,Basic,Rare,CR CG gangs,"normal, 1st edition",Neo Destiny,Neo,113
neo4-28,28,Unown [H],40,Psychic,,Basic,Rare,CR CG gangs,"normal, 1st edition",Neo Destiny,Neo,113
neo4-29,29,Unown [W],40,Psychic,,Basic,Rare,CR CG gangs,"normal, 1st edition",Neo Destiny,Neo,113
neo4-30,30,Unown [X],40,Psychic,,Basic,Rare,CR CG gangs,"normal, 1st edition",Neo Destiny,Neo,113
neo4-31,31,Chansey,90,Colorless,,Basic,Uncommon,Yuka Morii,"normal, 1st edition",Neo Destiny,Neo,113
neo4-32,32,Dark Croconaw,60,Water,Totodile,Stage1,Uncommon,Shin-ichi Yoshida,"normal, 1st edition",Neo Destiny,Neo,113
neo4-33,33,Dark Exeggutor,60,Psychic,Exeggcute,Stage1,Uncommon,Toshinao Aoki,"normal, 1st edition",Neo Destiny,Neo,113
neo4-34,34,Dark Flaaffy,60,Lightning,Mareep,Stage1,Uncommon,Kagemaru Himeno,"normal, 1st edition",Neo Destiny,Neo,113
neo4-35,35,Dark Forretress,60,Grass,Pineco,Stage1,Uncommon,Mitsuhiro Arita,"normal, 1st edition",Neo Destiny,Neo,113
neo4-36,36,Dark Haunter,50,Psychic,Gastly,Stage1,Uncommon,Aya Kusube,"normal, 1st edition",Neo Destiny,Neo,113
neo4-37,37,Dark Omanyte,40,Water,,Stage1,Uncommon,Tomokazu Komiya,"normal, 1st edition",Neo Destiny,Neo,113
neo4-38,38,Dark Pupitar,60,Fighting,Larvitar,Stage1,Uncommon,Mitsuhiro Arita,"normal, 1st edition",Neo Destiny,Neo,113
neo4-39,39,Dark Quilava,60,Fire,Cyndaquil,Stage1,Uncommon,Mitsuhiro Arita,"normal, 1st edition",Neo Destiny,Neo,113
neo4-40,40,Dark Wigglytuff,60,Colorless,Jigglypuff,Stage1,Uncommon,Miki Tanaka,"normal, 1st edition",Neo Destiny,Neo,113
neo4-41,41,Heracross,60,Grass,,Basic,Uncommon,,"normal, 1st edition",Neo Destiny,Neo,113
neo4-42,42,Hitmonlee,60,Fighting,,Basic,Uncommon,Yukiko Baba,"normal, 1st edition",Neo Destiny,Neo,113
neo4-43,43,Houndour,40,Darkness,,Basic,Uncommon,Yukiko Baba,"normal, 1st edition",Neo Destiny,Neo,113
neo4-44,44,Jigglypuff,50,Colorless,,Basic,Uncommon,Yuka Morii,"normal, 1st edition",Neo Destiny,Neo,113
neo4-45,45,Light Dewgong,80,Water,Seel,Stage1,Uncommon,Masako Yamashita,"normal, 1st edition",Neo Destiny,Neo,113
neo4-46,46,Light Flareon,80,Fire,Eevee,Stage1,Uncommon,Atsuko Nishida,"normal, 1st edition",Neo Destiny,Neo,113
neo4-47,47,Light Golduck,80,Water,Psyduck,Stage1,Uncommon,Atsuko Nishida,"normal, 1st edition",Neo Destiny,Neo,113
neo4-48,48,Light Jolteon,70,Lightning,Eevee,Stage1,Uncommon,Naoyo Kimura,"normal, 1st edition",Neo Destiny,Neo,113
neo4-49,49,Light Machoke,80,Fighting,Machop,Stage1,Uncommon,Miki Tanaka,"normal, 1st edition",Neo Destiny,Neo,113
neo4-50,50,Light Ninetales,90,Fire,Vulpix,Stage1,Uncommon,Masako Yamashita,"normal, 1st edition",Neo Destiny,Neo,113
neo4-51,51,Light Slowbro,80,Psychic,Slowpoke,Stage1,Uncommon,Tomokazu Komiya,"normal, 1st edition",Neo Destiny,Neo,113
neo4-52,52,Light Vaporeon,80,Water,Eevee,Stage1,Uncommon,Kagemaru Himeno,"normal, 1st edition",Neo Destiny,Neo,113
neo4-53,53,Light Venomoth,80,Grass,Venonat,Stage1,Uncommon,Masako Yamashita,"normal, 1st edition",Neo Destiny,Neo,113
neo4-54,54,Light Wigglytuff,80,Colorless,Jigglypuff,Stage1,Uncommon,Naoyo Kimura,"normal, 1st edition",Neo Destiny,Neo,113
neo4-55,55,Scyther,60,Grass,,Basic,Uncommon,Shin-ichi Yoshida,"normal, 1st edition",Neo Destiny,Neo,113
neo4-56,56,Togepi,40,Colorless,,Basic,Uncommon,Yuka Morii,"normal, 1st edition",Neo Destiny,Neo,113
neo4-57,57,Unown [C],40,Psychic,,Basic,Uncommon,CR CG gangs,"normal, 1st edition",Neo Destiny,Neo,113
neo4-58,58,Unown [P],40,Psychic,,Basic,Uncommon,CR CG gangs,"normal, 1st edition",Neo Destiny,Neo,113
neo4-59,59,Unown [Q],40,Psychic,,Basic,Uncommon,CR CG gangs,"normal, 1st edition",Neo Destiny,Neo,113
neo4-60,60,Unown [Z],40,Psychic,,Basic,Uncommon,CR CG gangs,"normal, 1st edition",Neo Destiny,Neo,113
neo4-61,61,Cyndaquil,40,Fire,,Basic,Common,Yukiko Baba,"normal, 1st edition",Neo Destiny,Neo,113
neo4-62,62,Dark Octillery,60,Water,Remoraid,Stage1,Common,Shin-ichi Yoshida,"normal, 1st edition",Neo Destiny,Neo,113
neo4-63,63,Dratini,40,Colorless,,Basic,Common,Yuka Morii,"normal, 1st edition",Neo Destiny,Neo,113
neo4-64,64,Exeggcute,40,Psychic,,Basic,Common,Toshinao Aoki,"normal, 1st edition",Neo Destiny,Neo,113
neo4-65,65,Gastly,40,Psychic,,Basic,Common,Aya Kusube,"normal, 1st edition",Neo Destiny,Neo,113
neo4-66,66,Girafarig,60,Colorless,,Basic,Common,Yuka Morii,"normal, 1st edition",Neo Destiny,Neo,113
neo4-67,67,Gligar,50,Fighting,,Basic,Common,Ken Sugimori,"normal, 1st edition",Neo Destiny,Neo,113
