id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo4-001,001,ヴェノナト,40,Grass,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-002,002,レディバ,40,Grass,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-003,003,サンカーン,40,Grass,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-004,004,軽いサンフロラ,80,Grass,,Stage1,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-005,005,Pineco,40,Grass,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-006,006,軽い毒,80,Grass,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-007,007,スキスター,60,Grass,,Basic,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-008,008,暗いforretress,60,Grass,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-009,009,ヘラクロス,60,Grass,,Basic,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-010,010,軽いレディアン,70,Grass,,Stage1,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-011,011,ダークアリアドス,60,Grass,,Stage1,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-012,012,暗いクロバット,70,Grass,,Stage2,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-013,013,輝くセレビ,50,Grass,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-014,014,Vulpix,50,Fire,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-015,015,うなり声,50,Fire,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-016,016,シンダキル,40,Fire,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-017,017,slugma,50,Fire,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-018,018,軽いニネタール,90,Fire,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-019,019,軽いフレアロン,80,Fire,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-020,020,ダークキラバ,60,Fire,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-021,021,軽アルカニン,100,Fire,,Stage1,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-022,022,暗い染色,80,Fire,,Stage2,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-023,023,ダークマグカルゴ,60,Fire,,Stage1,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-025,025,輝くチャリザード,100,Fire,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-026,026,Psyduck,50,Water,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-027,027,シール,50,Water,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-028,028,totodile,50,Water,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-029,029,swinub,50,Water,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-030,030,REMORAID,40,Water,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-031,031,マンティン,60,Water,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-032,032,ライトゴルダック,80,Water,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-033,033,軽いデューゴン,80,Water,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-034,034,軽いvaporeon,80,Water,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-035,035,暗いオマニテ,40,Water,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-036,036,暗いワニ,60,Water,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-037,037,ダークオクタリリー,60,Water,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-038,038,ダークオマスター,70,Water,,Stage2,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-039,039,暗いferaligatr,80,Water,,Stage2,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-040,040,軽いアズマリル,80,Water,,Stage1,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-041,041,軽いピロスワイン,90,Water,,Stage1,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-042,042,Mareep,50,Lightning,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-043,043,ライトジョルテオン,70,Lightning,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-044,044,暗いフラフィ,60,Lightning,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-045,045,ライトラントン,80,Lightning,,Stage1,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-046,046,暗いアンファロ,70,Lightning,,Stage2,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-047,047,輝くライチュ,70,Lightning,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-048,048,ガストリー,40,Psychic,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-049,049,exeggcute,40,Psychic,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-050,050,l,50,Psychic,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-051,051,s,50,Psychic,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-052,052,未定のt,40,Psychic,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-053,053,v,40,Psychic,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-054,054,軽いスローブロ,80,Psychic,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-055,055,暗いハンター,50,Psychic,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-056,056,暗いexeggutor,60,Psychic,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-057,057,c,40,Psychic,,Basic,Uncommon,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-058,058,未定のp,40,Psychic,,Basic,Uncommon,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-059,059,Q,40,Psychic,,Basic,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-060,060,ZなしZ,40,Psychic,,Basic,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-061,061,暗いスローキング,60,Psychic,,Stage1,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-062,062,g,40,Psychic,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-063,063,hなしh,40,Psychic,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-064,064,w,40,Psychic,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-065,065,未作たx,50,Psychic,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-066,066,ダークジェンガー,70,Psychic,,Stage2,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-067,067,暗いエスペオン,60,Psychic,,Stage1,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-068,068,輝くミュウツー,70,Psychic,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-069,069,マチョップ,40,Fighting,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-070,070,ヒットモンチャン,60,Fighting,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-071,071,グリガー,50,Fighting,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-072,072,ファンピー,40,Fighting,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-073,073,幼虫,40,Fighting,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-074,074,ライトマチョーク,80,Fighting,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-075,075,Hitmonlee,60,Fighting,,Basic,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-076,076,ダークプリター,60,Fighting,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-077,077,軽いマチャンプ,100,Fighting,,Stage2,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-078,078,ダークドンファン,60,Fighting,,Stage1,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-079,079,ダークタイラナター,90,Fighting,,Stage2,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-080,080,輝くカブトップ,80,Fighting,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-081,081,猟犬,40,Darkness,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-082,082,輝くタイラニター,80,Darkness,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-083,083,ダークシゾール,70,Metal,,Stage1,Holo Rare,,holo,闇、そして光へ...,ポケモンカード★neo,113
neo4-084,084,Shining Steelix,90,Metal,,Basic,Rare,,"normal, reverse, holo",闇、そして光へ...,ポケモンカード★neo,113
neo4-085,085,jigglypuff,50,Colorless,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-086,086,ポリゴン,50,Colorless,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-087,087,ドラチーニ,40,Colorless,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-088,088,togepi,40,Colorless,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-089,089,Girafarig,60,Colorless,,Basic,Common,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-090,090,軽いウィグリティフ,80,Colorless,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-091,091,ダークウィッグラット,60,Colorless,,Stage1,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-092,092,チャンジー,90,Colorless,,Basic,Uncommon,,normal,闇、そして光へ...,ポケモンカード★neo,113
neo4-093,093,ライトドラゴンエア,80,Colorless,,Stage1,Rare,,normal,闇、そして光へ...,ポケモンカード★neo,113
