id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo2-1,1,Psiana,80,Psycho,,Rang 1,Selten,Atsuko Nishida,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-2,2,Forstellka,80,Metall,,Rang 1,Selten,CR CG gangs,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-3,3,Kapoera,60,Kampf,,Basis,Selten,Sumiyoshi Kizuki,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-4,4,Hundemon,70,Unlicht,,Rang 1,Selten,Shin-ichi Yoshida,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-5,5,Hunduster,50,Feuer,,Basis,Selten,Aya Kusube,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-6,6,Kabutops,90,Wasser,,Rang 2,Selten,Kimiya Masago,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-7,7,Magnetilo,40,Metall,,Basis,Selten,,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-8,8,Quaxo,100,Wasser,,Rang 2,Selten,Tomokazu Komiya,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-9,9,Quappo,90,Kampf,,Rang 2,Selten,Shin-ichi Yoshida,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-10,10,Scherox,80,Metall,,Rang 1,Selten,Kimiya Masago,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-11,11,Farbeagle,50,Farblos,,Basis,Selten,Hironobu Yoshida,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-12,12,Despotar,100,Unlicht,,Rang 2,Selten,Hironobu Yoshida,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-13,13,Nachtara,80,Unlicht,,Rang 1,Selten,Kimiya Masago,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-14,14,Icognito A,40,Psycho,,Basis,Selten,CR CG gangs,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-15,15,Ursaring,80,Farblos,,Rang 1,Selten,Naoyo Kimura,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-16,16,Woingenau,90,Psycho,,Basis,Selten,Hironobu Yoshida,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-17,17,Yanma,60,Pflanze,,Basis,Selten,Atsuko Nishida,"holo, 1st edition",Neo Entdeckung,Neo,75
neo2-18,18,Bibor,80,Pflanze,,Rang 2,Selten,Aya Kusube,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-19,19,Smettbo,80,Pflanze,,Rang 2,Selten,Atsuko Nishida,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-20,20,Psiana,70,Psycho,,Rang 1,Selten,Naoyo Kimura,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-21,21,Forstellka,80,Metall,,Rang 1,Selten,CR CG gangs,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-22,22,Kapoera,60,Kampf,,Basis,Selten,Sumiyoshi Kizuki,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-23,23,Hundemon,70,Unlicht,,Rang 1,Selten,Shin-ichi Yoshida,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-24,24,Hunduster,50,Feuer,,Basis,Selten,Aya Kusube,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-25,25,Kabutops,90,Wasser,,Rang 2,Selten,Kimiya Masago,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-26,26,Magnetilo,40,Metall,,Basis,Selten,,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-27,27,Quaxo,100,Wasser,,Rang 2,Selten,Tomokazu Komiya,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-28,28,Quappo,90,Kampf,,Rang 2,Selten,Shin-ichi Yoshida,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-29,29,Scherox,80,Metall,,Rang 1,Selten,Kimiya Masago,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-30,30,Farbeagle,50,Farblos,,Basis,Selten,Hironobu Yoshida,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-31,31,Despotar,100,Unlicht,,Rang 2,Selten,Hironobu Yoshida,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-32,32,Nachtara,70,Unlicht,,Rang 1,Selten,Naoyo Kimura,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-33,33,Icognito A,40,Psycho,,Basis,Selten,CR CG gangs,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-34,34,Ursaring,80,Farblos,,Rang 1,Selten,Naoyo Kimura,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-35,35,Woingenau,90,Psycho,,Basis,Selten,Hironobu Yoshida,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-36,36,Yanma,60,Pflanze,,Basis,Selten,Atsuko Nishida,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-37,37,Corasonn,50,Wasser,,Basis,Ungewöhnlich,Yuka Morii,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-38,38,Evoli,50,Farblos,,Basis,Ungewöhnlich,Aya Kusube,"normal, 1st edition",Neo Entdeckung,Neo,75
neo2-39,39,Hunduster,40,Unlicht,,Basis,Ungewöhnlich,Shin-ichi Yoshida,"normal, 1st edition",Neo Entdeckung,Neo,75
