id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo2-1,1,Espeon,80,Psychic,Dodrio,Stage1,Rare,Atsuko Nishida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-2,2,Forretress,80,Metal,Pineco,Stage1,Rare,CR CG gangs,"holo, 1st edition",Neo Discovery,Neo,75
neo2-3,3,Hitmontop,60,Fighting,,Basic,Rare,Sumiyoshi Kizuki,"holo, 1st edition",Neo Discovery,Neo,75
neo2-4,4,Houndoom,70,Darkness,Houndour,Stage1,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-5,5,Houndour,50,Fire,,Basic,Rare,Aya Kusube,"holo, 1st edition",Neo Discovery,Neo,75
neo2-6,6,Kabutops,90,Water,Kabuto,Stage2,Rare,Kimiya Masago,"holo, 1st edition",Neo Discovery,Neo,75
neo2-7,7,Magnemite,40,Metal,,Basic,Rare,,"holo, 1st edition",Neo Discovery,Neo,75
neo2-8,8,Politoed,100,Water,Poliwhirl,Stage2,Rare,Tomokazu Komiya,"holo, 1st edition",Neo Discovery,Neo,75
neo2-9,9,Poliwrath,90,Fighting,Poliwhirl,Stage2,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-10,10,Scizor,80,Metal,Scyther,Stage1,Rare,Kimiya Masago,"holo, 1st edition",Neo Discovery,Neo,75
neo2-11,11,Smeargle,50,Colorless,,Basic,Rare,Hironobu Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-12,12,Tyranitar,100,Darkness,Piloswine,Stage2,Rare,Hironobu Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-13,13,Umbreon,80,Darkness,Eevee,Stage1,Rare,Kimiya Masago,"holo, 1st edition",Neo Discovery,Neo,75
neo2-14,14,Unown [A],40,Psychic,,Basic,Rare,CR CG gangs,"holo, 1st edition",Neo Discovery,Neo,75
neo2-15,15,Ursaring,80,Colorless,Teddiursa,Stage1,Rare,Naoyo Kimura,"holo, 1st edition",Neo Discovery,Neo,75
neo2-16,16,Wobbuffet,90,Psychic,,Basic,Rare,Hironobu Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-17,17,Yanma,60,Grass,,Basic,Rare,Atsuko Nishida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-18,18,Beedrill,80,Grass,Kakuna,Stage2,Rare,Aya Kusube,"normal, 1st edition",Neo Discovery,Neo,75
neo2-19,19,Butterfree,80,Grass,Metapod,Stage2,Rare,Atsuko Nishida,"normal, 1st edition",Neo Discovery,Neo,75
neo2-20,20,Espeon,70,Psychic,Eevee,Stage1,Rare,Naoyo Kimura,"normal, 1st edition",Neo Discovery,Neo,75
