id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo2-1,1,Mentali,80,Psy,,Niveau 1,Rare,Atsuko Nishida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-2,2,Foretress,80,Métal,,Niveau 1,Rare,CR CG gangs,"holo, 1st edition",Neo Discovery,Neo,75
neo2-3,3,Kapoera,60,Combat,,De base,Rare,Sumiyoshi Kizuki,"holo, 1st edition",Neo Discovery,Neo,75
neo2-4,4,Démolosse,70,Obscurité,,Niveau 1,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-5,5,Malosse,50,Feu,,De base,Rare,Aya Kusube,"holo, 1st edition",Neo Discovery,Neo,75
neo2-6,6,Kabutops,90,Eau,,Niveau 2,Rare,Kimiya Masago,"holo, 1st edition",Neo Discovery,Neo,75
neo2-7,7,Magneti,40,Métal,,De base,Rare,,"holo, 1st edition",Neo Discovery,Neo,75
neo2-8,8,Tarpaud,100,Eau,,Niveau 2,Rare,Tomokazu Komiya,"holo, 1st edition",Neo Discovery,Neo,75
neo2-9,9,Tartard,90,Combat,,Niveau 2,Rare,Shin-ichi Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-10,10,Cizayox,80,Métal,,Niveau 1,Rare,Kimiya Masago,"holo, 1st edition",Neo Discovery,Neo,75
neo2-11,11,Queulorior,50,Incolore,,De base,Rare,Hironobu Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-12,12,Tyranocif,100,Obscurité,,Niveau 2,Rare,Hironobu Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-13,13,Noctali,80,Obscurité,,Niveau 1,Rare,Kimiya Masago,"holo, 1st edition",Neo Discovery,Neo,75
neo2-14,14,Zarbi A,40,Psy,,De base,Rare,CR CG gangs,"holo, 1st edition",Neo Discovery,Neo,75
neo2-15,15,Ursaring,80,Incolore,,Niveau 1,Rare,Naoyo Kimura,"holo, 1st edition",Neo Discovery,Neo,75
neo2-16,16,Qulbutoke,90,Psy,,De base,Rare,Hironobu Yoshida,"holo, 1st edition",Neo Discovery,Neo,75
neo2-17,17,Yanma,60,Plante,,De base,Rare,Atsuko Nishida,"holo, 1st edition",Neo Discovery,Neo,75
