id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo1-001,001,奇妙な,40,Grass,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-002,002,チコリータ,40,Grass,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-003,003,レディバ,40,Grass,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-004,004,スパラク,40,Grass,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-005,005,ホッピップ,50,Grass,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-006,006,サンカーン,40,Grass,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-007,007,シャックル,50,Grass,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-008,008,暗闇,60,Grass,,Stage1,Uncommon,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-009,009,Bayleef,80,Grass,,Stage1,Uncommon,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-010,010,レディアン,60,Grass,,Stage1,Uncommon,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-011,011,アリアドス,60,Grass,,Stage1,Uncommon,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-012,012,スキプルーム,60,Grass,,Stage1,Uncommon,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-013,013,サンフロラ,70,Grass,,Stage1,Uncommon,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-014,014,ミーガニウム,100,Grass,,Stage2,Holo Rare,,holo,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-015,015,Bellossom,70,Grass,,Stage2,Holo Rare,,holo,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-016,016,ジャンプラフ,70,Grass,,Stage2,Holo Rare,,holo,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-017,017,ヘラクロス,60,Grass,,Basic,Holo Rare,,holo,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-018,018,シンダキル,50,Fire,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-019,019,マグマー,70,Fire,,Basic,Uncommon,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-020,020,キラバ,70,Fire,,Stage1,Uncommon,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-021,021,染色,100,Fire,,Stage2,Holo Rare,,holo,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-022,022,マグビー,30,Fire,,Baby,Rare,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-023,023,馬,50,Water,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-024,024,totodile,50,Water,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-025,025,マリル,40,Water,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-026,026,ウーパー,50,Water,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-027,027,swinub,40,Water,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
neo1-028,028,マンティン,60,Water,,Basic,Common,,normal,金、銀、新世界へ...,ポケモンカード★neo,96
