id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
neo3-1,1,Ampharos,90,Elektro,,Rang 2,Selten,Toshinao Aoki,"holo, 1st edition",Neo Revelation,Neo,66
neo3-2,2,Heiteira,120,Farblos,,Rang 1,Selten,Yuka Morii,"holo, 1st edition",Neo Revelation,Neo,66
neo3-3,3,Celebi,50,Psycho,,Basis,Selten,Hironobu Yoshida,"holo, 1st edition",Neo Revelation,Neo,66
neo3-4,4,Iksbat,90,Pflanze,,Rang 2,Selten,Shin-ichi Yoshida,"holo, 1st edition",Neo Revelation,Neo,66
neo3-5,5,Botogel,60,Farblos,,Basis,Selten,Tomokazu Komiya,"holo, 1st edition",Neo Revelation,Neo,66
neo3-6,6,Entei,80,Feuer,,Basis,Selten,Ken Sugimori,"holo, 1st edition",Neo Revelation,Neo,66
neo3-7,7,Ho-oh,90,Feuer,,Basis,Selten,Kimiya Masago,"holo, 1st edition",Neo Revelation,Neo,66
neo3-8,8,Hundemon,70,Unlicht,,Rang 1,Selten,Mitsuhiro Arita,"holo, 1st edition",Neo Revelation,Neo,66
neo3-9,9,Papungha,70,Pflanze,,Rang 2,Selten,Kagemaru Himeno,"holo, 1st edition",Neo Revelation,Neo,66
neo3-10,10,Magneton,80,Metall,,Rang 1,Selten,,"holo, 1st edition",Neo Revelation,Neo,66
neo3-11,11,Traunfugil,50,Psycho,,Basis,Selten,Ken Sugimori,"holo, 1st edition",Neo Revelation,Neo,66
neo3-12,12,Porygon2,70,Farblos,,Rang 1,Selten,Keiji Kinebuchi,"holo, 1st edition",Neo Revelation,Neo,66
neo3-13,13,Raikou,80,Elektro,,Basis,Selten,Ken Sugimori,"holo, 1st edition",Neo Revelation,Neo,66
neo3-14,14,Suicune,70,Wasser,,Basis,Selten,Ken Sugimori,"holo, 1st edition",Neo Revelation,Neo,66
