id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw4-1,1,Pinsir,80,Pflanze,,Basis,Selten,Masakazu Fukuda,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-2,2,Samurzel,40,Pflanze,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-3,3,Zirpurze,60,Pflanze,,Basis,Häufig,MAHOU,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-4,4,Zirpeise,90,Pflanze,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-5,5,Shaymin-EX,110,Pflanze,,,Selten,Shizurow,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-6,6,Vegimak,70,Pflanze,,Basis,Häufig,Megumi Mizutani,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-7,7,Vegichita,90,Pflanze,,Rang 1,Selten,kawayoo,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-8,8,Tarnpignon,40,Pflanze,,Basis,Häufig,Masakazu Fukuda,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-9,9,Hutsassa,90,Pflanze,,Rang 1,Selten,Kouki Saitou,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-10,10,Fukano,80,Feuer,,Basis,Häufig,Masakazu Fukuda,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-11,11,Fukano,80,Feuer,,Basis,Häufig,Mizue,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-12,12,Arkani,130,Feuer,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-13,13,Arkani,120,Feuer,,Rang 1,Ungewöhnlich,Ryo Ueda,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-14,14,Lavados,120,Feuer,,Basis,Selten,Ryo Ueda,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-15,15,Grillmak,70,Feuer,,Basis,Häufig,James Turner,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-16,16,Grillchita,90,Feuer,,Rang 1,Selten,Kouki Saitou,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-17,17,Flampion,80,Feuer,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-18,18,Lichtel,60,Feuer,,Basis,Häufig,Kanako Eo,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-19,19,Laternecto,80,Feuer,,Rang 1,Ungewöhnlich,Midori Harada,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-20,20,Skelabra,120,Feuer,,Rang 2,Selten,5ban Graphics,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-21,21,Reshiram,130,Feuer,,Basis,Selten,5ban Graphics,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-22,22,Reshiram-EX,180,Feuer,,,Selten,Shizurow,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-23,23,Sterndu,60,Wasser,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-24,24,Starmie,90,Wasser,,Rang 1,Ungewöhnlich,Shin Nagasawa,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-25,25,Lapras,100,Wasser,,Basis,Selten,Kouki Saitou,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-26,26,Lapras,90,Wasser,,Basis,Ungewöhnlich,Mizue,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-27,27,Arktos,120,Wasser,,Basis,Selten,Ryo Ueda,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-28,28,Sodamak,70,Wasser,,Basis,Häufig,Reiko Tanoue,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-29,29,Sodachita,90,Wasser,,Rang 1,Selten,Akira Komayama,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-30,30,Barschuft,80,Wasser,,Basis,Ungewöhnlich,Kagemaru Himeno,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-31,31,Gelatini,60,Wasser,,Basis,Häufig,Kanako Eo,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-32,32,Gelatroppo,80,Wasser,,Rang 1,Ungewöhnlich,Mizue,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-33,33,Gelatwino,130,Wasser,,Rang 2,Selten,Akira Komayama,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-34,34,Quabbel,80,Wasser,,Basis,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-35,35,Apoquallyp,120,Wasser,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-36,36,Petznief,70,Wasser,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-37,37,Siberio,120,Wasser,,Rang 1,Selten,kawayoo,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-38,38,Kyurem-EX,180,Wasser,,,Selten,Shizurow,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-39,39,Pikachu,60,Elektro,,Basis,Häufig,Akira Komayama,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-40,40,Raichu,90,Elektro,,Rang 1,Ungewöhnlich,Naoki Saito,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
bw4-41,41,Zapdos,120,Elektro,,Basis,Selten,Ryo Ueda,"normal, reverse, holo",Kommende Schicksale,Schwarz & Weiß,103
