id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw4-1,1,Pinsir,80,Grass,,Basic,Rare,Masakazu Fukuda,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-2,2,Seedot,40,Grass,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-3,3,Kricketot,60,Grass,,Basic,Common,MAHOU,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-4,4,Kricketune,90,Grass,Kricketot,Stage1,Uncommon,Naoyo Kimura,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-5,5,Shaymin-EX,110,Grass,,,Rare,Shizurow,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-6,6,Pansage,70,Grass,,Basic,Common,Megumi Mizutani,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-7,7,Simisage,90,Grass,Pansage,Stage1,Rare,kawayoo,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-8,8,Foongus,40,Grass,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-9,9,Amoonguss,90,Grass,Foongus,Stage1,Rare,Kouki Saitou,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-10,10,Growlithe,80,Fire,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-11,11,Growlithe,80,Fire,,Basic,Common,Mizue,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-12,12,Arcanine,130,Fire,Growlithe,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-13,13,Arcanine,120,Fire,Growlithe,Stage1,Uncommon,Ryo Ueda,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-14,14,Moltres,120,Fire,,Basic,Rare,Ryo Ueda,"normal, reverse, holo",Next Destinies,Black & White,103
bw4-15,15,Pansear,70,Fire,,Basic,Common,James Turner,"normal, reverse, holo",Next Destinies,Black & White,103
