id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw4-1,1,Scarabrute,80,Plante,,De base,Rare,Masakazu Fukuda,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-2,2,Grainipiot,40,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-3,3,Crikzik,60,Plante,,De base,Commune,MAHOU,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-4,4,Mélokrik,90,Plante,Crikzik,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-5,5,Shaymin-EX,110,Plante,,,Rare,Shizurow,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-6,6,Feuillajou,70,Plante,,De base,Commune,Megumi Mizutani,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-7,7,Feuiloutan,90,Plante,Feuillajou,Niveau 1,Rare,kawayoo,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-8,8,Trompignon,40,Plante,,De base,Commune,Masakazu Fukuda,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-9,9,Gaulet,90,Plante,Trompignon,Niveau 1,Rare,Kouki Saitou,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-10,10,Caninos,80,Feu,,De base,Commune,Masakazu Fukuda,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-11,11,Caninos,80,Feu,,De base,Commune,Mizue,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-12,12,Arcanin,130,Feu,Caninos,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-13,13,Arcanin,120,Feu,Caninos,Niveau 1,Peu Commune,Ryo Ueda,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-14,14,Sulfura,120,Feu,,De base,Rare,Ryo Ueda,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
bw4-15,15,Flamajou,70,Feu,,De base,Commune,James Turner,"normal, reverse, holo",Destinées Futures,Noir & Blanc,103
