id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw3-1,1,Strawickl,50,Pflanze,,Basis,Häufig,Mizue,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-2,2,Folikon,70,Pflanze,,Rang 1,Ungewöhnlich,Midori Harada,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-3,3,Matrifol,130,Pflanze,,Rang 2,Selten,5ban Graphics,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-4,4,Lilminip,60,Pflanze,,Basis,Häufig,Shigenori Negishi,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-5,5,Dressella,80,Pflanze,,Rang 1,Selten,Akira Komayama,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-6,6,Lithomith,60,Pflanze,,Basis,Häufig,MAHOU,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-7,7,Castellith,100,Pflanze,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-8,8,Laukaps,60,Pflanze,,Basis,Häufig,sui,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-9,9,Tarnpignon,40,Pflanze,,Basis,Häufig,match,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-10,10,Hutsassa,90,Pflanze,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-11,11,Schnuthelm,60,Pflanze,,Basis,Häufig,Midori Harada,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-12,12,Hydragil,90,Pflanze,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-13,13,Viridium,110,Pflanze,,Basis,Selten,5ban Graphics,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-14,14,Victini,60,Feuer,,Basis,Selten,5ban Graphics,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-15,15,Victini,70,Feuer,,Basis,Selten,Naoki Saito,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-16,16,Grillmak,70,Feuer,,Basis,Häufig,Shin Nagasawa,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-17,17,Grillchita,90,Feuer,,Rang 1,Ungewöhnlich,Shin Nagasawa,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-18,18,Furnifraß,90,Feuer,,Basis,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-19,19,Ignivor,70,Feuer,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-20,20,Ignivor,80,Feuer,,Basis,Häufig,Naoki Saito,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-21,21,Ramoth,110,Feuer,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
bw3-22,22,Schallquap,60,Wasser,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Königliche Siege,Schwarz & Weiß,102
