id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw3-1,1,Sewaddle,50,Grass,,Basic,Common,Mizue,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-2,2,Swadloon,70,Grass,Sewaddle,Stage1,Uncommon,Midori Harada,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-3,3,Leavanny,130,Grass,Swadloon,Stage2,Rare,5ban Graphics,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-4,4,Petilil,60,Grass,,Basic,Common,Shigenori Negishi,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-5,5,Lilligant,80,Grass,Petilil,Stage1,Rare,Akira Komayama,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-6,6,Dwebble,60,Grass,,Basic,Common,MAHOU,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-7,7,Crustle,100,Grass,Dwebble,Stage1,Uncommon,Naoyo Kimura,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-8,8,Karrablast,60,Grass,,Basic,Common,sui,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-9,9,Foongus,40,Grass,,Basic,Common,match,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-10,10,Amoonguss,90,Grass,Foongus,Stage1,Uncommon,Kagemaru Himeno,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-11,11,Shelmet,60,Grass,,Basic,Common,Midori Harada,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-12,12,Accelgor,90,Grass,Shelmet,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-13,13,Virizion,110,Grass,,Basic,Rare,5ban Graphics,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-14,14,Victini,60,Fire,,Basic,Rare,5ban Graphics,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-15,15,Victini,70,Fire,,Basic,Rare,Naoki Saito,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-16,16,Pansear,70,Fire,,Basic,Common,Shin Nagasawa,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-17,17,Simisear,90,Fire,Pansear,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-18,18,Heatmor,90,Fire,,Basic,Uncommon,Kouki Saitou,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-19,19,Larvesta,70,Fire,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-20,20,Larvesta,80,Fire,,Basic,Common,Naoki Saito,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-21,21,Volcarona,110,Fire,Larvesta,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-22,22,Tympole,60,Water,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-23,23,Palpitoad,80,Water,Tympole,Stage1,Uncommon,sui,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-24,24,Seismitoad,140,Water,Palpitoad,Stage2,Rare,Masakazu Fukuda,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-25,25,Tirtouga,90,Water,,RESTORED,Uncommon,Naoyo Kimura,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-26,26,Carracosta,140,Water,Tirtouga,Stage1,Rare,match,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-27,27,Vanillite,50,Water,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-28,28,Vanillish,80,Water,Vanillite,Stage1,Uncommon,match,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-29,29,Vanilluxe,130,Water,Vanillish,Stage2,Rare,Kagemaru Himeno,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-30,30,Frillish,80,Water,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-31,31,Jellicent,110,Water,Frillish,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-32,32,Cryogonal,80,Water,,Basic,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-33,33,Cryogonal,80,Water,,Basic,Rare,Kagemaru Himeno,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-34,34,Kyurem,130,Water,,Basic,Rare,5ban Graphics,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-35,35,Blitzle,60,Lightning,,Basic,Common,Shin Nagasawa,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-36,36,Zebstrika,90,Lightning,Blitzle,Stage1,Rare,match,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-37,37,Emolga,70,Lightning,,Basic,Uncommon,Naoki Saito,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-38,38,Tynamo,40,Lightning,,Basic,Common,sui,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-39,39,Tynamo,30,Lightning,,Basic,Common,Naoki Saito,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-40,40,Eelektrik,90,Lightning,Tynamo,Stage1,Uncommon,MAHOU,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-41,41,Eelektross,140,Lightning,Eelektrik,Stage2,Rare,Masakazu Fukuda,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-42,42,Stunfisk,90,Lightning,,Basic,Common,Shin Nagasawa,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-43,43,Victini,60,Psychic,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-44,44,Yamask,60,Psychic,,Basic,Common,Midori Harada,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-45,45,Yamask,60,Psychic,,Basic,Common,Shin Nagasawa,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-46,46,Cofagrigus,90,Psychic,Yamask,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-47,47,Cofagrigus,90,Psychic,Yamask,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-48,48,Trubbish,60,Psychic,,Basic,Common,MAHOU,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-49,49,Garbodor,100,Psychic,Trubbish,Stage1,Uncommon,match,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-50,50,Solosis,30,Psychic,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-51,51,Duosion,60,Psychic,Solosis,Stage1,Uncommon,sui,"normal, reverse, holo",Noble Victories,Black & White,102
bw3-52,52,Reuniclus,90,Psychic,Duosion,Stage2,Rare,Kagemaru Himeno,"normal, reverse, holo",Noble Victories,Black & White,102
