id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw3-1,1,Larveyette,50,Plante,,De base,Commune,Mizue,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-2,2,Couverdure,70,Plante,Larveyette,Niveau 1,Peu Commune,Midori Harada,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-3,3,Manternel,130,Plante,Couverdure,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-4,4,Chlorobule,60,Plante,,De base,Commune,Shigenori Negishi,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-5,5,Fragilady,80,Plante,Chlorobule,Niveau 1,Rare,Akira Komayama,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-6,6,Crabicoque,60,Plante,,De base,Commune,MAHOU,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-7,7,Crabaraque,100,Plante,Crabicoque,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-8,8,Carabing,60,Plante,,De base,Commune,sui,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-9,9,Trompignon,40,Plante,,De base,Commune,match,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-10,10,Gaulet,90,Plante,Trompignon,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-11,11,Escargaume,60,Plante,,De base,Commune,Midori Harada,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-12,12,Limaspeed,90,Plante,Escargaume,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-13,13,Viridium,110,Plante,,De base,Rare,5ban Graphics,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-14,14,Victini,60,Feu,,De base,Rare,5ban Graphics,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-15,15,Victini,70,Feu,,De base,Rare,Naoki Saito,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-16,16,Flamajou,70,Feu,,De base,Commune,Shin Nagasawa,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
bw3-17,17,Flamoutan,90,Feu,Flamajou,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse, holo",Nobles Victoires,Noir & Blanc,102
