id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv03-001,001,Oddish,50,Grass,,Basic,Common,Midori Harada,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-002,002,Gloom,80,Grass,Oddish,Stage1,Common,Haru Akasaka,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-003,003,Bellossom,130,Grass,Gloom,Stage2,Uncommon,sui,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-004,004,Scyther,80,Grass,,Basic,Common,Shin Nagasawa,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-005,005,Shuckle,80,Grass,,Basic,Common,Kurata So,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-006,006,Surskit,60,Grass,,Basic,Common,Saya Tsuruta,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-007,007,Masquerain,100,Grass,Surskit,Stage1,Uncommon,Haru Akasaka,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-008,008,Combee,50,Grass,,Basic,Common,HYOGONOSUKE,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-009,009,Foongus,50,Grass,,Basic,Common,You Iribi,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-010,010,Amoonguss,110,Grass,Foongus,Stage1,Uncommon,Nobuhiro Imagawa,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-011,011,Phantump,60,Grass,,Basic,Common,Narumi Sato,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-012,012,Trevenant,140,Grass,Phantump,Stage1,Uncommon,Anesaki Dynamic,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-013,013,Rowlet,70,Grass,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Obsidian Flames,Scarlet & Violet,230
sv03-014,014,Dartrix,90,Grass,Rowlet,Stage1,Uncommon,sui,"normal, reverse, holo",Obsidian Flames,Scarlet & Violet,230
sv03-015,015,Decidueye ex,320,Grass,Dartrix,Stage2,Double rare,PLANETA Mochizuki,holo,Obsidian Flames,Scarlet & Violet,230
sv03-016,016,Bounsweet,60,Grass,,Basic,Common,Kurata So,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
sv03-017,017,Steenee,90,Grass,Bounsweet,Stage1,Common,nagimiso,"normal, reverse",Obsidian Flames,Scarlet & Violet,230
