id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pop1-1,1,Brasegali,110,Feu,,Niveau 2,Rare,Katsura Tabata,"normal, reverse, holo",POP Série 1,POP,17
pop1-2,2,Metalosse,100,Métal,,Niveau 2,Rare,Ken Sugimori,"normal, reverse, holo",POP Série 1,POP,17
pop1-3,3,Rayquaza,80,Incolore,,De base,Rare,Katsura Tabata,"normal, reverse, holo",POP Série 1,POP,17
pop1-5,5,Laggron,100,Eau,,Niveau 2,Rare,Hiromichi Sugiyama,"normal, reverse, holo",POP Série 1,POP,17
pop1-6,6,Charmillon,100,Plante,,Niveau 2,Rare,Ken Sugimori,"normal, reverse, holo",POP Série 1,POP,17
pop1-7,7,Maskadra,70,Plante,,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, reverse, holo",POP Série 1,POP,17
pop1-8,8,Cornèbre,60,Obscurité,,De base,Peu Commune,Ken Sugimori,"normal, reverse, holo",POP Série 1,POP,17
pop1-9,9,Ymphect,70,Combat,,Niveau 1,Peu Commune,Hisao Nakamura,"normal, reverse, holo",POP Série 1,POP,17
pop1-10,10,Chartor,80,Combat,,De base,Peu Commune,Ken Sugimori,"normal, reverse, holo",POP Série 1,POP,17
pop1-11,11,Embrylex,40,Combat,,De base,Commune,Hisao Nakamura,"normal, reverse, holo",POP Série 1,POP,17
pop1-12,12,Negapi,50,Électrique,,De base,Commune,Ken Sugimori,"normal, reverse, holo",POP Série 1,POP,17
pop1-13,13,Posipi,50,Électrique,,De base,Commune,Ken Sugimori,"normal, reverse, holo",POP Série 1,POP,17
pop1-14,14,Arakdo,50,Eau,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",POP Série 1,POP,17
pop1-15,15,Heledelle,70,Incolore,,Niveau 1,Commune,Kagemaru Himeno,"normal, reverse, holo",POP Série 1,POP,17
pop1-16,16,Armaldo ex,160,Combat,,Niveau 2,Rare,Hikaru Koike,"normal, reverse, holo",POP Série 1,POP,17
pop1-17,17,Tyranocif ex,150,Obscurité,,Niveau 2,Rare,Hisao Nakamura,"normal, reverse, holo",POP Série 1,POP,17
