id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv02-001,001,Hoppspross,50,Pflanze,,Basis,Häufig,Yukiko Baba,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-002,002,Hubelupf,70,Pflanze,Hoppspross,Rang 1,Ungewöhnlich,Yoriyuki Ikegami,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-003,003,Papungha,90,Pflanze,Hubelupf,Rang 2,Selten,Naoyo Kimura,"reverse, holo",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-004,004,Tannza,70,Pflanze,,Basis,Häufig,Kouki Saitou,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-005,005,Forstellka-ex,270,Pflanze,Tannza,Rang 1,Doppelselten,5ban Graphics,holo,Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-006,006,Skaraborn,130,Pflanze,,Basis,Ungewöhnlich,GOSSAN,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-007,007,Tropius,110,Pflanze,,Basis,Häufig,Taira Akitsu,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-008,008,Wadribie,50,Pflanze,,Basis,Häufig,Yoriyuki Ikegami,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-009,009,Honweisel,120,Pflanze,Wadribie,Rang 1,Ungewöhnlich,Megumi Higuchi,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-010,010,Shnebedeck,90,Pflanze,,Basis,Häufig,Taira Akitsu,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-011,011,Rexblisar,150,Pflanze,Shnebedeck,Rang 1,Selten,Ryuta Fuse,"reverse, holo",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-012,012,Felori,60,Pflanze,,Basis,Häufig,Megumi Mizutani,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-013,013,Felori,70,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-014,014,Feliospa,90,Pflanze,Felori,Rang 1,Ungewöhnlich,nagimiso,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-015,015,Maskagato-ex,310,Pflanze,Feliospa,Rang 2,Doppelselten,5ban Graphics,holo,Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-016,016,Tarundel,50,Pflanze,,Basis,Häufig,Kyoko Umemoto,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-017,017,Tarundel,60,Pflanze,,Basis,Häufig,Mina Nakai,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-018,018,Spinsidias,110,Pflanze,Tarundel,Rang 1,Ungewöhnlich,Oswaldo KATO,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-019,019,Micrick,40,Pflanze,,Basis,Häufig,Shin Nagasawa,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
sv02-020,020,Micrick,50,Pflanze,,Basis,Häufig,Sekio,"normal, reverse",Entwicklungen in Paldea,Karmesin & Purpur,279
