id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv02-001,001,Hoppip,50,Grass,,Basic,Common,Yukiko Baba,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-002,002,Skiploom,70,Grass,Hoppip,Stage1,Uncommon,Yoriyuki Ikegami,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-003,003,Jumpluff,90,Grass,Skiploom,Stage2,Rare,Naoyo Kimura,"reverse, holo",Paldea Evolved,Scarlet & Violet,279
sv02-004,004,Pineco,70,Grass,,Basic,Common,Kouki Saitou,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-005,005,Forretress ex,270,Grass,Pineco,Stage1,Double rare,5ban Graphics,holo,Paldea Evolved,Scarlet & Violet,279
sv02-006,006,Heracross,130,Grass,,Basic,Uncommon,GOSSAN,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-007,007,Tropius,110,Grass,,Basic,Common,Taira Akitsu,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-008,008,Combee,50,Grass,,Basic,Common,Yoriyuki Ikegami,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-009,009,Vespiquen,120,Grass,Combee,Stage1,Uncommon,Megumi Higuchi,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-010,010,Snover,90,Grass,,Basic,Common,Taira Akitsu,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-011,011,Abomasnow,150,Grass,Snover,Stage1,Rare,Ryuta Fuse,"reverse, holo",Paldea Evolved,Scarlet & Violet,279
sv02-012,012,Sprigatito,60,Grass,,Basic,Common,Megumi Mizutani,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-013,013,Sprigatito,70,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-014,014,Floragato,90,Grass,Sprigatito,Stage1,Uncommon,nagimiso,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-015,015,Meowscarada ex,310,Grass,Floragato,Stage2,Double rare,5ban Graphics,holo,Paldea Evolved,Scarlet & Violet,279
sv02-016,016,Tarountula,50,Grass,,Basic,Common,Kyoko Umemoto,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-017,017,Tarountula,60,Grass,,Basic,Common,Mina Nakai,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-018,018,Spidops,110,Grass,Tarountula,Stage1,Uncommon,Oswaldo KATO,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-019,019,Nymble,40,Grass,,Basic,Common,Shin Nagasawa,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-020,020,Nymble,50,Grass,,Basic,Common,Sekio,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-021,021,Lokix,120,Grass,Nymble,Stage1,Rare,Anesaki Dynamic,"reverse, holo",Paldea Evolved,Scarlet & Violet,279
sv02-022,022,Bramblin,40,Grass,,Basic,Common,Pani Kobayashi,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-023,023,Bramblin,50,Grass,,Basic,Common,Miki Tanaka,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-024,024,Brambleghast,100,Grass,Bramblin,Stage1,Uncommon,KEIICHIRO ITO,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-025,025,Rellor,40,Grass,,Basic,Common,Kouki Saitou,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-026,026,Rellor,50,Grass,,Basic,Common,Anesaki Dynamic,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-027,027,Wo-Chien ex,230,Grass,,Basic,Double rare,5ban Graphics,holo,Paldea Evolved,Scarlet & Violet,279
sv02-028,028,Paldean Tauros,130,Fire,,Basic,Uncommon,AKIRA EGAWA,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-029,029,Fletchinder,80,Fire,Fletchling,Stage1,Uncommon,kurumitsu,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-030,030,Talonflame,150,Fire,Fletchinder,Stage2,Uncommon,Nisota Niso,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-031,031,Litleo,70,Fire,,Basic,Common,Yuu Nishida,"normal, reverse, holo",Paldea Evolved,Scarlet & Violet,279
sv02-032,032,Pyroar,120,Fire,Litleo,Stage1,Uncommon,Uta,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-033,033,Oricorio,90,Fire,,Basic,Rare,Haru Akasaka,"reverse, holo",Paldea Evolved,Scarlet & Violet,279
sv02-034,034,Fuecoco,80,Fire,,Basic,Common,Kagemaru Himeno,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-035,035,Fuecoco,90,Fire,,Basic,Common,ryoma uratsuka,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-036,036,Crocalor,110,Fire,Fuecoco,Stage1,Uncommon,Hitoshi Ariga,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-037,037,Skeledirge ex,340,Fire,Crocalor,Stage2,Double rare,5ban Graphics,holo,Paldea Evolved,Scarlet & Violet,279
sv02-038,038,Charcadet,60,Fire,,Basic,Common,takuyoa,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-039,039,Charcadet,80,Fire,,Basic,Common,KEIICHIRO ITO,"normal, reverse",Paldea Evolved,Scarlet & Violet,279
sv02-040,040,Chi-Yu ex,190,Fire,,Basic,Double rare,5ban Graphics,holo,Paldea Evolved,Scarlet & Violet,279
