id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv02-001,001,Granivol,50,Plante,,De base,Commune,Yukiko Baba,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-002,002,Floravol,70,Plante,Granivol,Niveau 1,Peu Commune,Yoriyuki Ikegami,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-003,003,Cotovol,90,Plante,Floravol,Niveau 2,Rare,Naoyo Kimura,"reverse, holo",Évolutions à Paldea,Écarlate et Violet,279
sv02-004,004,Pomdepik,70,Plante,,De base,Commune,Kouki Saitou,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-005,005,Foretress-ex,270,Plante,Pomdepik,Niveau 1,Double rare,5ban Graphics,holo,Évolutions à Paldea,Écarlate et Violet,279
sv02-006,006,Scarhino,130,Plante,,De base,Peu Commune,GOSSAN,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-007,007,Tropius,110,Plante,,De base,Commune,Taira Akitsu,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-008,008,Apitrini,50,Plante,,De base,Commune,Yoriyuki Ikegami,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-009,009,Apireine,120,Plante,Apitrini,Niveau 1,Peu Commune,Megumi Higuchi,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-010,010,Blizzi,90,Plante,,De base,Commune,Taira Akitsu,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-011,011,Blizzaroi,150,Plante,Blizzi,Niveau 1,Rare,Ryuta Fuse,"reverse, holo",Évolutions à Paldea,Écarlate et Violet,279
sv02-012,012,Poussacha,60,Plante,,De base,Commune,Megumi Mizutani,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-013,013,Poussacha,70,Plante,,De base,Commune,Naoyo Kimura,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-014,014,Matourgeon,90,Plante,Poussacha,Niveau 1,Peu Commune,nagimiso,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-015,015,Miascarade-ex,310,Plante,Matourgeon,Niveau 2,Double rare,5ban Graphics,holo,Évolutions à Paldea,Écarlate et Violet,279
sv02-016,016,Tissenboule,50,Plante,,De base,Commune,Kyoko Umemoto,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-017,017,Tissenboule,60,Plante,,De base,Commune,Mina Nakai,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-018,018,Filentrappe,110,Plante,Tissenboule,Niveau 1,Peu Commune,Oswaldo KATO,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-019,019,Lilliterelle,40,Plante,,De base,Commune,Shin Nagasawa,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-020,020,Lilliterelle,50,Plante,,De base,Commune,Sekio,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-021,021,Gambex,120,Plante,Lilliterelle,Niveau 1,Rare,Anesaki Dynamic,"reverse, holo",Évolutions à Paldea,Écarlate et Violet,279
sv02-022,022,Virovent,40,Plante,,De base,Commune,Pani Kobayashi,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-023,023,Virovent,50,Plante,,De base,Commune,Miki Tanaka,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-024,024,Virevorreur,100,Plante,Virovent,Niveau 1,Peu Commune,KEIICHIRO ITO,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-025,025,Léboulérou,40,Plante,,De base,Commune,Kouki Saitou,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-026,026,Léboulérou,50,Plante,,De base,Commune,Anesaki Dynamic,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-027,027,Chongjian-ex,230,Plante,,De base,Double rare,5ban Graphics,holo,Évolutions à Paldea,Écarlate et Violet,279
sv02-028,028,Tauros de Paldea,130,Feu,,De base,Peu Commune,AKIRA EGAWA,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
sv02-029,029,Braisillon,80,Feu,Passerouge,Niveau 1,Peu Commune,kurumitsu,"normal, reverse",Évolutions à Paldea,Écarlate et Violet,279
