id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv04.5-001,001,Pineco,70,Grass,,Basic,Common,Kouki Saitou,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-002,002,Forretress ex,270,Grass,Pineco,Stage1,Double rare,5ban Graphics,holo,Paldean Fates,Scarlet & Violet,245
sv04.5-003,003,Maractus,110,Grass,,Basic,Common,Masako Tomii,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-004,004,Toedscool,50,Grass,,Basic,Common,Shin Nagasawa,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-005,005,Toedscruel ex,270,Grass,Toedscool,Stage1,Double rare,5ban Graphics,holo,Paldean Fates,Scarlet & Violet,245
sv04.5-006,006,Espathra ex,260,Grass,Flittle,Stage1,Double rare,takuyoa,holo,Paldean Fates,Scarlet & Violet,245
sv04.5-007,007,Charmander,70,Fire,,Basic,Common,GIDORA,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-008,008,Charmeleon,90,Fire,Charmander,Stage1,Uncommon,Tonji Matsuno,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-009,009,Magmar,80,Fire,,Basic,Common,miki kudo,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-010,010,Magmortar,140,Fire,Magmar,Stage1,Rare,Hasuno,"reverse, holo",Paldean Fates,Scarlet & Violet,245
sv04.5-011,011,Numel,80,Fire,,Basic,Common,Mina Nakai,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-012,012,Camerupt,130,Fire,Numel,Stage1,Uncommon,satoma,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-013,013,Heat Rotom,90,Fire,,Basic,Rare,Scav,"reverse, holo",Paldean Fates,Scarlet & Violet,245
sv04.5-014,014,Charcadet,70,Fire,,Basic,Common,nagimiso,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-015,015,Armarouge,130,Fire,Charcadet,Stage1,Rare,AKIRA EGAWA,"reverse, holo",Paldean Fates,Scarlet & Violet,245
sv04.5-016,016,Lapras,110,Water,,Basic,Common,Gemi,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-017,017,Frigibax,70,Water,,Basic,Common,rika,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-018,018,Pikachu,70,Lightning,,Basic,Common,OKACHEKE,"normal, reverse",Paldean Fates,Scarlet & Violet,245
sv04.5-019,019,Raichu,120,Lightning,Pikachu,Stage1,Rare,Naoyo Kimura,"reverse, holo",Paldean Fates,Scarlet & Violet,245
