id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv04-001,001,Surskit,50,Grass,,Basic,Common,Yoriyuki Ikegami,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-002,002,Masquerain,100,Grass,Surskit,Stage1,Uncommon,kantaro,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-003,003,Froslass ex,250,Grass,Snorunt,Stage1,Double rare,5ban Graphics,holo,Paradox Rift,Scarlet & Violet,266
sv04-004,004,Pansage,70,Grass,,Basic,Common,Jerky,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-005,005,Simisage,100,Grass,Pansage,Stage1,Uncommon,Kurata So,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-006,006,Dwebble,60,Grass,,Basic,Common,Scav,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-007,007,Crustle,130,Grass,Dwebble,Stage1,Common,Shin Nagasawa,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-008,008,Bounsweet,60,Grass,,Basic,Common,Kouki Saitou,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-009,009,Steenee,90,Grass,Bounsweet,Stage1,Uncommon,Kariya,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-010,010,Blipbug,50,Grass,,Basic,Common,OKUBO,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-011,011,Dottler,80,Grass,Blipbug,Stage1,Common,Haru Akasaka,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-012,012,Orbeetle,130,Grass,Dottler,Stage2,Uncommon,Oku,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-013,013,Nymble,40,Grass,,Basic,Common,Pani Kobayashi,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-014,014,Nymble,50,Grass,,Basic,Common,Kouki Saitou,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-015,015,Toedscool,50,Grass,,Basic,Common,Tomokazu Komiya,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-016,016,Toedscool,60,Grass,,Basic,Common,Souichirou Gunjima,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-017,017,Toedscruel,120,Grass,Toedscool,Stage1,Uncommon,Toshinao Aoki,"normal, reverse",Paradox Rift,Scarlet & Violet,266
sv04-018,018,Wo-Chien,130,Grass,,Basic,Rare,Kouki Saitou,holo,Paradox Rift,Scarlet & Violet,266
